"","Description","Creator","First public release date","Latest stable version","Latest Stable Release Date","USD , URL: /wiki/United_States_dollar
","Software license , URL: /wiki/Software_license
"
"Ability Photopaint , URL: /wiki/Ability_Photopaint
","part oft Ability Office, Graphics editor with some advanced features","Ability Software","March 2001","10","May 1, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"ACDSee Home , URL: /wiki/ACDSee
","changed name 2021 to Photo Studio Home","","","2020","December 18, 2019","$59","Proprietary , URL: /wiki/Proprietary_software
"
"ACDSee Pro , URL: /wiki/ACDSee
","changed name 2021 to Photo Studio Pro","","","2020","December 18, 2019","$99","Proprietary , URL: /wiki/Proprietary_software
"
"ACDSee Ultimate , URL: /wiki/ACDSee
","changed name 2021 to Photo Studio Ultimate","","","2020","December 18, 2019","$149","Proprietary , URL: /wiki/Proprietary_software
"
"Acorn Image Editor , URL: /wiki/Acorn_Image_Editor
","macOS , URL: /wiki/MacOS
","Flying Meat Inc.","September 10, 2007","6.6.3","November 19, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Adobe Fireworks , URL: /wiki/Adobe_Fireworks
","Alternative to 1 targeted at web designers, discontinued after CS6","Macromedia , URL: /wiki/Macromedia
","1998","CS6 / 12.0","May 7, 2012","Discontinued","Proprietary , URL: /wiki/Proprietary_software
"
"Adobe Photoshop , URL: /wiki/Adobe_Photoshop
","Professional image editor and graphics creation tool","Adobe Systems , URL: /wiki/Adobe_Systems
","February 19, 1990","CC 2021/ 22.4.1","May 19, 2021","$9.99/month","Proprietary , URL: /wiki/Proprietary_software
"
"Adobe Photoshop Elements , URL: /wiki/Adobe_Photoshop_Elements
","Raster graphics editor for entry-level photographers, image editors and hobbyists","","","2021","October 8, 2020","$99","Proprietary , URL: /wiki/Proprietary_software
"
"Adobe Photoshop Lightroom , URL: /wiki/Adobe_Photoshop_Lightroom
","Photo editor","Adobe Systems , URL: /wiki/Adobe_Systems
","February 19, 2007","10.0","October 19, 2020","$9.99/month","Proprietary , URL: /wiki/Proprietary_software
"
"Affinity Photo , URL: /wiki/Affinity_Photo
","Professional image editor for Windows, macOS and iOS","Serif Europe , URL: /wiki/Serif_Europe
","July 9, 2015","1.9.0","February 4, 2021","$49.99","Proprietary , URL: /wiki/Proprietary_software
"
"Artipic , URL: /wiki/Artipic
","Image editor for Windows and macOS","Artipic AB","2014","2.6","October 30, 2017","","Proprietary , URL: /wiki/Proprietary_software
"
"ArtRage , URL: /wiki/ArtRage
","tablet computers , URL: /wiki/Tablet_computer
","Ambient Design","2004","6","June 2019","","Proprietary , URL: /wiki/Proprietary_software
"
"Artweaver , URL: /wiki/Artweaver
","Emulates physical painting experience on a computer","Boris Eyrich","2002","7.0.10","October 3, 2021","","Freeware , URL: /wiki/Freeware
"
"Autodesk SketchBook Pro , URL: /wiki/Autodesk_SketchBook_Pro
","tablet computers , URL: /wiki/Tablet_computer
","Autodesk , URL: /wiki/Autodesk
","2004","8.4.3 (Android 4.0.6, iOS 4.1)","","","Freeware , URL: /wiki/Freeware
"
"Bibble , URL: /wiki/Bibble_(software)
","Photo editor and organizer with camera raw file support","Bibble Labs","2000","5.2.3","2011","","Proprietary , URL: /wiki/Proprietary_software
"
"Bloom , URL: /wiki/Bloom_Image_Editor
","Procedural node-based image editor","Sad Cat Software","2015","1.0.467","August 5, 2016","","Proprietary , URL: /wiki/Proprietary_software
"
"Brush Strokes Image Editor , URL: /wiki/Brush_Strokes_Image_Editor
","Image editor like Windows Paint","Paul Bird","2004","2.0","","no progress","Freeware"
"Capture One , URL: /wiki/Capture_One
","Professional raw converter and image editor","Phase One , URL: /wiki/Phase_One_(company)
","2002","13.1.3","October 24, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Chasys Draw IES , URL: /wiki/Chasys_Draw_IES
","Image Editor with layers, animation, icon edit, super-res, batch and camera raw","John Paul Chacha","2001","5.09.01","October 28, 2021","","Freeware"
"CinePaint , URL: /wiki/CinePaint
","Moving picture, photo and graphics editor","Robin Rowe","July 4, 2002","
URL: https://www.wikidata.org/wiki/Q390346?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-30","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"CodedColor PhotoStudio Pro , URL: /wiki/CodedColor_PhotoStudio_Pro
","An bitmap graphics editor and image organizer for Windows pc","1STEIN Corp.","2001","8.2","February 8, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Corel PaintShop Pro , URL: /wiki/Corel_PaintShop_Pro
","Advanced image editor and graphics creator","Jasc Software , URL: /wiki/Jasc_Software
","1992","2021 Update 1","October 22, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Corel Painter , URL: /wiki/Corel_Painter
","Made to create natural-looking artistic images (for Professional)","Mark Zimmer, Tom Hedges, John Derry","August 1991","2022","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Corel Painter Essentials , URL: /wiki/Corel_Painter_Essentials
","Made to create natural-looking artistic images (for beginner)","Mark Zimmer, Tom Hedges, John Derry","August 2003","8","December 12, 2020","$39.99","Proprietary , URL: /wiki/Proprietary_software
"
"Corel PHOTO-PAINT , URL: /wiki/Corel_PHOTO-PAINT
","Professional image editor and graphics creator with advanced features, part of Corel Draw Graphics Suite","Corel Corporation , URL: /wiki/Corel_Corporation
","1992","2021","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"darktable , URL: /wiki/Darktable
","Photography workflow application and raw developer","Johannes Hanika","April 2009","3.6.0","July 3, 2021","","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Deluxe Paint , URL: /wiki/Deluxe_Paint
","Efficient bitmap and true-color paint program with rendering features and advanced animation capabilities.","Dan Silva","1985","5.2","1995","","Proprietary , URL: /wiki/Proprietary_software
"
"Deneba Canvas , URL: /wiki/Deneba_Canvas
","vector graphics , URL: /wiki/Vector_graphics
","Jorge Miranda, Joaquin de Soto, Manny Menendez","September 1987","14","2020","","Proprietary , URL: /wiki/Proprietary_software
"
"DigiKam , URL: /wiki/DigiKam
","Free photo organizer and image editor","Renchi Raju, Gilles Caulier","2002","7.1.0","September 4, 2020","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Digital Photo Professional , URL: /wiki/Digital_Photo_Professional
","Photo organizer and image editor from Canon","Canon Inc. , URL: /wiki/Canon_Inc.
","","4.14.0","March 10, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Erdas Imagine , URL: /wiki/Erdas_Imagine
","remote sensing , URL: /wiki/Remote_sensing
GIS , URL: /wiki/GIS
multispectral , URL: /wiki/Multispectral
","ERDAS, Inc.","1980","2016 (16)","June 14, 2016","","Proprietary , URL: /wiki/Proprietary_software
"
"Fatpaint , URL: /wiki/Fatpaint
","Full featured web-based graphic design and photo editing application","Mersica Inc.","2010","1.99.55","","","Freeware"
"Fotografix , URL: /wiki/Fotografix
","Freeware, portable image editor","L. Madhavan","April 14, 2009","2.0.3","December 31, 2012","no progress","Freeware"
"F-Spot , URL: /wiki/F-Spot
","GNOME , URL: /wiki/GNOME
","Ettore Perazzoli","2005","0.8.2","December 19, 2010","","MIT , URL: /wiki/MIT_License
"
"G'MIC , URL: /wiki/G%27MIC
","Free command line software for 2D or 3D image processing and visualization","David Tschumperlé","October 2008","2.9.7","June 26, 2021","","CECILL-2.1 , URL: /wiki/CeCILL
CECILL-C , URL: /wiki/CeCILL
"
"GIMP , URL: /wiki/GIMP
","Free image editor and graphics creator","Spencer Kimball , URL: /wiki/Spencer_Kimball_(computer_programmer)
Peter Mattis , URL: /wiki/Peter_Mattis
","January 1996","
URL: https://www.wikidata.org/wiki/Q8038?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-21 (2021-12-21)","","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"GimPhoto , URL: /wiki/GimPhoto
","Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop.","Ek Kian","","24.1","December 30, 2014","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"GIMPshop , URL: /wiki/GIMPshop
","GUI , URL: /wiki/GUI
","Scott Moschella","","2.2.11","2006","no progress","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"GNU Paint , URL: /wiki/GNU_Paint
","Free and open-source raster graphics editor for GTK 2","Andy Tai","September 10, 2007","0.3.3-6","October 24, 2015","no progress","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"GrafX2 , URL: /wiki/GrafX2
","GUI , URL: /wiki/GUI
","Sunset Design (Guillaume Dorme, Karl Maritaud)","1996","2.8","March 24, 2021","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"GraphicConverter , URL: /wiki/GraphicConverter
","Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins","Thorsten Lemke","1992","11.5.1","July 1, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"GraphicsMagick , URL: /wiki/GraphicsMagick
","Commandline image converter and editor","GraphicsMagick Group","2002","1.3.37","December 12, 2021","","MIT , URL: /wiki/MIT_License
"
"gThumb , URL: /wiki/GThumb
","Image viewer and organizer for the GNOME desktop environment","Paolo Bacchilega","2001","3.12","September 19, 2021","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
