"File manager","DOS , URL: /wiki/DOS
","OS/2 , URL: /wiki/OS/2
eCS , URL: /wiki/EComStation
","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","OpenVMS , URL: /wiki/OpenVMS
"
"Directory Opus , URL: /wiki/Directory_Opus
","No","No","Yes","No","No","No","No","Yes[42]","No"
"Dired , URL: /wiki/Dired
","Yes[43]","Yes[44]","Yes[45]","Yes[46]","Yes","Yes","Yes","Yes[47]","Yes[48]"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","No","No","KDE , URL: /wiki/KDE
","Yes[50]","Yes","Yes","Yes","No","No"
"Double Commander , URL: /wiki/Double_Commander
","No","No","Yes","Yes","Yes","Yes","Yes","No","No"
"DOS Navigator , URL: /wiki/DOS_Navigator
","Yes","Yes","Yes","No","No","No","No","No","No"
"emelFM2 , URL: /wiki/EmelFM2
","No","No","No","No","Yes","Yes","Yes","No","No"
"File Commander , URL: /wiki/File_Commander
","No","Yes","Yes","No","Yes","Yes","Yes","No","No"
"fman , URL: /wiki/Fman
","No","No","Yes","Yes","Yes","No","No","No","No"
"GNOME Commander , URL: /wiki/GNOME_Commander
","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Konqueror , URL: /wiki/Konqueror
","No","No","KDE , URL: /wiki/KDE
","Yes[50]","Yes","Yes","Yes","No","No"
"Krusader , URL: /wiki/Krusader
","No","No","No","X , URL: /wiki/X_Window_System
","Yes","Yes","Yes","No","No"
"Midnight Commander , URL: /wiki/Midnight_Commander
","Yes","No","Yes[51]","Yes[52]","Yes","Yes","Yes","Yes","No"
"muCommander , URL: /wiki/MuCommander
","No","No","Yes","Yes","Yes","Yes","Yes","?","Yes"
"nnn , URL: /wiki/Nnn_(file_manager)
","No","No","No","Yes","Yes","Yes","Yes","No","No"
"GNOME Files (Nautilus) , URL: /wiki/GNOME_Files
","No","No","No","No","Yes","Yes","Yes","No","No"
"Nemo , URL: /wiki/Nemo_(file_manager)
","No","No","No","No","Yes","Yes","Yes","No","No"
"PathMinder , URL: /wiki/PathMinder
","Yes","No","Yes","No","No","No","No","No","No"
"PCManFM , URL: /wiki/PCMan_File_Manager
","No","POSIX , URL: /wiki/POSIX
","POSIX , URL: /wiki/POSIX
","POSIX , URL: /wiki/POSIX
","Yes","Yes","Yes","No","Yes"
"Ranger , URL: /wiki/Ranger_(file_manager)
","No","No","No","Yes","Yes","Yes","Yes","No","No"
"ROX-Filer , URL: /wiki/ROX-Filer
","No","No","","","Yes","Yes","Yes","No","No"
"Thunar , URL: /wiki/Thunar
","No","No","No","No","Yes","Yes","Yes","No","No"
"Total Commander , URL: /wiki/Total_Commander
","No","No","Yes","No","No","No","No","No","No"
"Volkov Commander , URL: /wiki/Volkov_Commander
","Yes","Yes","Yes","No","No","No","No","No","No"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","No","No","No","No","Yes","?","?","No","No"
"Xfe , URL: /wiki/Xfe
","No","X , URL: /wiki/X_Window_System
","X , URL: /wiki/X_Window_System
","X , URL: /wiki/X_Window_System
","Yes","Yes","Yes","X , URL: /wiki/X_Window_System
","Yes"
"Xfm , URL: /wiki/Xfm_(file_manager)
","No","X , URL: /wiki/X_Window_System
","X , URL: /wiki/X_Window_System
","X , URL: /wiki/X_Window_System
","Yes","Yes","Yes","No","Yes"
"ZTreeWin , URL: /wiki/ZTreeWin
","No","Yes","Yes","No","No","No","No","No","No"
"File manager","DOS , URL: /wiki/DOS
","OS/2 , URL: /wiki/OS/2
eCS , URL: /wiki/EComStation
","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","OpenVMS , URL: /wiki/OpenVMS
"
