"Name","Developer","Initial release","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Cost"
"Name","Developer","Version","Date","Platform","Version","Date","License , URL: /wiki/Software_license
","Cost"
"Altap Salamander , URL: /wiki/Altap_Salamander
","Altap","","1997-08-15","Windows","
URL: https://www.wikidata.org/wiki/Q3509597?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-06-11","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"Commander One , URL: /wiki/Commander_One
","Eltima Software","","2015-08-04","macOS","
URL: https://www.wikidata.org/wiki/Q21043313?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-10","Proprietary , URL: /wiki/Proprietary_software
","US$29.95[a]"
"Directory Opus , URL: /wiki/Directory_Opus
","Jonathan Potter GPSoftware","1","1990-01-03","AmigaOS","4.16[4]","2001-07-04","GPL-2.0 , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Directory Opus , URL: /wiki/Directory_Opus
","Jonathan Potter GPSoftware","1","1990-01-03","AmigaOS","5.91[5]","2015-08-30","APL , URL: /wiki/AROS_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Directory Opus , URL: /wiki/Directory_Opus
","Jonathan Potter GPSoftware","1","1990-01-03","AROS","5.91[5]","2015-08-30","APL , URL: /wiki/AROS_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Directory Opus , URL: /wiki/Directory_Opus
","Jonathan Potter GPSoftware","1","1990-01-03","MorphOS","5.91[5]","2015-08-30","APL , URL: /wiki/AROS_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Directory Opus , URL: /wiki/Directory_Opus
","Jonathan Potter GPSoftware","6","2001-06-18","Windows","12.26","2021-12-02","Proprietary , URL: /wiki/Proprietary_software
","A$ , URL: /wiki/Australian_dollar
A$ , URL: /wiki/Australian_dollar
"
"Dired , URL: /wiki/Dired
","Emacs , URL: /wiki/Emacs
GNU project , URL: /wiki/GNU_project
","","1974?","","
URL: https://www.wikidata.org/wiki/Q1227545?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-07-30","GPL-1.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","KDE , URL: /wiki/KDE
","0.5","2006-06-07","BSD","
URL: https://www.wikidata.org/wiki/Q816725?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-29","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","KDE , URL: /wiki/KDE
","0.5","2006-06-07","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q816725?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-29","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","KDE , URL: /wiki/KDE
","0.5","2006-06-07","macOS","
URL: https://www.wikidata.org/wiki/Q816725?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-29","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","KDE , URL: /wiki/KDE
","0.5","2006-06-07","Unix","
URL: https://www.wikidata.org/wiki/Q816725?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-29","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","KDE , URL: /wiki/KDE
","0.5","2006-06-07","Windows","
URL: https://www.wikidata.org/wiki/Q816725?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-29","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"DOS Navigator , URL: /wiki/DOS_Navigator
","Ritlabs , URL: /w/index.php?title=Ritlabs&action=edit&redlink=1
","0.90","1991","DOS","
URL: https://www.wikidata.org/wiki/Q1250911?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","1999-04-19","BSD-3-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"DOS Navigator , URL: /wiki/DOS_Navigator
","Ritlabs , URL: /w/index.php?title=Ritlabs&action=edit&redlink=1
","0.90","1991","OS/2","
URL: https://www.wikidata.org/wiki/Q1250911?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","1999-04-19","BSD-3-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"DOS Navigator , URL: /wiki/DOS_Navigator
","Ritlabs , URL: /w/index.php?title=Ritlabs&action=edit&redlink=1
","0.90","1991","Windows","
URL: https://www.wikidata.org/wiki/Q1250911?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","1999-04-19","BSD-3-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"DOS Shell , URL: /wiki/DOS_Shell
","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","","1988","DOS","","1998","Proprietary , URL: /wiki/Proprietary_software
","Bundled[b]"
"Double Commander , URL: /wiki/Double_Commander
","Alexander Koblov[c]","","2007","BSD","
URL: https://www.wikidata.org/wiki/Q4037550?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Double Commander , URL: /wiki/Double_Commander
","Alexander Koblov[c]","","2007","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q4037550?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
