"Name","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","Android , URL: /wiki/Android_(operating_system)
","Chrome OS , URL: /wiki/Chrome_OS
","iOS , URL: /wiki/IOS
","iPadOS , URL: /wiki/IPadOS
"
"Ability Office , URL: /wiki/Ability_Office
","Yes","No","No","No","No","No","No","No","No"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Discontinued - Breadbox Office , URL: /wiki/GEOS_(16-bit_operating_system)#Breadbox_Ensemble
","DOS , URL: /wiki/MS-DOS
Windows , URL: /wiki/Microsoft_Windows
","No","No","No","No","No","No","No","No"
"Calligra Suite , URL: /wiki/Calligra_Suite
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Collabora Online , URL: /wiki/Collabora_Online
","Yes","Yes","Yes","Online","Online","Yes","Yes","Yes","Yes"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","Online","Online","Online","Online","Online","No","No","No","No"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Discontinued - Gobe Productive , URL: /wiki/Gobe_Software
","Yes","No","No","No","No","No","No","No","No"
"Google Workspace , URL: /wiki/Google_Workspace
","Yes Offline and Online","Yes Offline and Online","Yes Offline and Online","No","No","Yes Offline and Online","Yes Offline and Online","Yes Offline and Online","Yes Offline and Online"
"Hancom Office , URL: /wiki/Hancom_Office
","Offline and Online","Online","Online","Online","Online","Yes","No","No","No"
"iWork , URL: /wiki/IWork
","iCloud , URL: /wiki/ICloud
","Yes","Online (iCloud)","Online (iCloud)","Online (iCloud)","No","No","Yes","Yesh"
"KOffice , URL: /wiki/KOffice
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"LibreOffice , URL: /wiki/LibreOffice
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Lotus SmartSuite , URL: /wiki/Lotus_SmartSuite
","Yes","No","Wine , URL: /wiki/Wine_software
","No","No","No","No","No","No"
"Microsoft Office , URL: /wiki/Microsoft_Office
","Yes","Partial[a]","Wine , URL: /wiki/Wine_software
","No","No","Yes","No","Yes","Yes"
"Microsoft Works , URL: /wiki/Microsoft_Works
","Yes","Dropped[b]","Wine , URL: /wiki/Wine_software
","No","No","No","No","No","No"
"OfficeSuite , URL: /wiki/OfficeSuite
","Yes","No","No","No","No","No","Yes","No","No"
"NeoOffice , URL: /wiki/NeoOffice
","No","Yes","No","No","No","No","No","No","No"
"OnlyOffice , URL: /wiki/OnlyOffice
","Yes","Yes","Yes","Online","Online","Yes","Yes","Yes","Yes"
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","Yes","Yes","Yes","Dropped (2006)","No","Yes","Yes","No","No"
"StarOffice , URL: /wiki/StarOffice
","Yes","Yes (Intel only)","Yes","Yes","Yes","No","No","No","No"
"TeamLab , URL: /wiki/TeamLab
","Online","Online","Online","Online","Online","No","No","No","No"
"Tiki Wiki CMS Groupware , URL: /wiki/Tiki_Wiki_CMS_Groupware
","Online","Online","Online","Online","Online","No","No","No","No"
"WordPerfect Office , URL: /wiki/WordPerfect_Office
","Yes","No","Some (v.2000)","No","No","No","No","No","No"
"WPS Office , URL: /wiki/WPS_Office
","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes"
"Zoho Office Suite , URL: /wiki/Zoho_Office_Suite
","Online","Online","Online","Online","Online","No","Yes","No","No"
"Name","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","Android , URL: /wiki/Android_(operating_system)
","Chrome OS , URL: /wiki/Chrome_OS
","iOS , URL: /wiki/IOS
","iPadOS , URL: /wiki/IPadOS
"
