"Code Name (Console Model)","Launch","GPU Code Name and/or Architecture","Fab , URL: /wiki/Semiconductor_device_fabrication
","Transistors , URL: /wiki/Transistor_count
","Core config1,2,4","Core clock (MHz)","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Ray-tracing , URL: /wiki/Ray_tracing_(graphics)
","Ray-tracing , URL: /wiki/Ray_tracing_(graphics)
","ML , URL: /wiki/Machine_learning
","ML , URL: /wiki/Machine_learning
","Memory","Memory","Memory","Memory","Memory","Bus interface","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","Architecture features"
"Code Name (Console Model)","Launch","GPU Code Name and/or Architecture","Fab , URL: /wiki/Semiconductor_device_fabrication
","Transistors , URL: /wiki/Transistor_count
","Core config1,2,4","Core clock (MHz)","MOperations/s","MPixels/s","MTexels/s","MTri/s","GRays/s (triangles)","GRays/s (voxels or boxes)","TOPS , URL: /wiki/Operations_per_second
","TOPS , URL: /wiki/Operations_per_second
","MiB , URL: /wiki/Mebibyte
","Clock (MHz)","RAM type","bit , URL: /wiki/Bit
","GB , URL: /wiki/Gigabyte
","Bus interface","Direct3D","OpenGL , URL: /wiki/OpenGL
","other","GFLOPS , URL: /wiki/GFLOPS
","Architecture features"
"Project Dolphin , URL: /wiki/Nintendo_GameCube_technical_specifications
GameCube , URL: /wiki/Nintendo_GameCube
","September 14, 2001","Flipper , URL: /wiki/GameCube
","NEC , URL: /wiki/NEC
180 nm , URL: /wiki/180_nm
","51[473] (GPU + eDRAM)","4:1:4:4","162","7,500","648","648","60","-","-","-","-","24 internal 16 shared 3 eDRAM","324 81 162","1T-SRAM , URL: /wiki/1T-SRAM
SDRAM , URL: /wiki/SDRAM
eDRAM , URL: /wiki/EDRAM
","64 8 384/512","3.2 1.6 7.8/10.4","Integrated","No","Unknown","GX","7.5","T&L , URL: /wiki/Transform_and_lighting
"
"Xenon , URL: /wiki/Xenon_(Xbox)
Xbox 360 , URL: /wiki/Xbox_360
","November 22, 2005","Xenos , URL: /wiki/Xenos_(graphics_chip)
GPU , URL: /wiki/GPU
TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","TSMC , URL: /wiki/TSMC
90 nm , URL: /wiki/90_nm
65 nm , URL: /wiki/65_nm
45 nm , URL: /wiki/45_nanometer
","232[474] (GPU) 105 (eDRAM)[475]","240:16:8 eDRAM (192 parallel pixel processors)","500","240,000","4000 eDRAM (16000 with 4x MSAA)","8000","500","-","-","-","-","512 (shared) 10 eDRAM","700 500","GDDR3 , URL: /wiki/GDDR3
","128","ROP , URL: /wiki/Render_output_unit
","Integrated","9.0c+","No","Unknown","240","Surface tessellation , URL: /wiki/Tessellation#Tessellations_and_computer_graphics
"
"Revolution , URL: /wiki/Revolution_Wii
Wii , URL: /wiki/Wii
","November 19, 2006","Hollywood , URL: /wiki/Hollywood_(graphics_chip)
","90 nm , URL: /wiki/90_nm
","107[476] (GPU + eDRAM)","4:1:4:4","243","11,250","972","972","70","-","-","-","-","24 internal 64 shared 3 eDRAM","486 486 243","1T-SRAM GDDR3 eDRAM","64 64 384/512","3.88 3.88 11.2/15.6","Integrated","No","Unknown","GX","11.25","Fixed-function T&L, TEV register combiner"
"Project Café , URL: /wiki/Project_Caf%C3%A9
WiiU , URL: /wiki/WiiU
","November 18, 2012","Latte , URL: /wiki/Wii_U
GPU , URL: /wiki/GPU
TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","Renesas , URL: /wiki/Renesas
45 nm , URL: /wiki/45_nm
","880[477] GPU + eDRAM","160:16:8","550","176,000","4400","8800","550","-","-","-","-","2048 (shared) 32 eDRAM, 1024-bit wide","800 (1600 effective) 550","DDR3 eDRAM","64 1024","12.8 70.4","Integrated","No","Unknown","GX2","176","T&L , URL: /wiki/Transform_and_lighting
"
"Xbox One , URL: /wiki/Xbox_One
","November 22, 2013","GCN 1 , URL: /wiki/Graphics_Core_Next
","One S , URL: /wiki/Xbox_One_S
","4,800[479]GPU + eSRAM GPU probably ~2,000","768:48:16","853, (One S) 914","1,310,208, (One S) 1,403,904","13,648, (One S) 14,624","40,944, (One S) 43,872","1300","-","-","-","-","8192 (shared) 32 eSRAM","1066.5 (2133 effective) 1706 (3412 effective)","DDR3 , URL: /wiki/DDR3
eSRAM , URL: /wiki/ESRAM
","","68.3 218, 219 (One S)","Integrated","11.2[480] 12","No","Mantle , URL: /wiki/Mantle_(API)
","1310.2, (One S) 1403.9","Tiled resources, (One S) Upscaled 4K HDR support"
"PlayStation 4 , URL: /wiki/PlayStation_4
","November 15, 2013","GCN 1 , URL: /wiki/Graphics_Core_Next
","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
16 nm , URL: /w/index.php?title=16_nm&action=edit&redlink=1
","probably ~2,800","1152:72:32","800","1,843,200","25,600","57,600","1707","-","-","-","-","8192 (shared)","1375 (5500 effective)","GDDR5 , URL: /wiki/GDDR5
","256","176","Integrated","No","4.2","GNM, GNMX, PlayStation Shader Language , URL: /wiki/PlayStation_4_system_software#Technology
Mantle , URL: /wiki/Mantle_(API)
","1843.2","HDR possible (only 2K)"
"PlayStation 4 Pro , URL: /wiki/PlayStation_4_Pro
","November 10, 2016","GCN 4 , URL: /wiki/Graphics_Core_Next
","16 nm , URL: /w/index.php?title=16_nm&action=edit&redlink=1
","5,700","2304:144:32","911","4,197,888","29,152","131,200","3078","-","-","-","-","8192 (shared)","1700 (6800 effective)","GDDR5 , URL: /wiki/GDDR5
","256","217.6","Integrated","No","4.2 (4.5)","GNM, GNMX, PlayStation Shader Language , URL: /wiki/PlayStation_4_system_software#Technology
Mantle , URL: /wiki/Mantle_(API)
","4197.8","4K HDR possible, fully compatible PS4 mode with reduced power consumption"
"Xbox One X , URL: /wiki/Xbox_One_X
","November 7, 2017","GCN 4 , URL: /wiki/Graphics_Core_Next
","16 nm , URL: /w/index.php?title=16_nm&action=edit&redlink=1
","6,600[479]","2560:160:40","1172","6,000,640","46,880","187,520","4400","-","-","-","-","12288 (shared)","1700 (6800 effective)","GDDR5 , URL: /wiki/GDDR5
","384","326.4","Integrated","11.2 12","No","Unknown","6000.6","4K HDR support, supersampling"
