"","First public release","First public release","First stable release","First stable release","Latest stable release"
"Client , URL: /wiki/Client_(computing)
","Date","Version","Date","Version","Latest stable release"
"AdiIRC","2005","1.0","","","3.5 (June 30, 2019; 2 years ago (2019-06-30)[22]) [±]"
"Bersirc , URL: /wiki/Bersirc
","1999","","","","2.2.14 (12 August 2005; 16 years ago (2005-08-12)) [±]"
"BitchX , URL: /wiki/BitchX
","1996","","","","1.2.1 (November 14, 2014; 7 years ago (2014-11-14)) [±]"
"ChatZilla , URL: /wiki/ChatZilla
","2001","","","","0.9.93 (November 8, 2016; 5 years ago (2016-11-08)[23]) [±]"
"Colloquy , URL: /wiki/Colloquy_(IRC_client)
","2005","","","","2.4.3 (6011) (March 22, 2014; 7 years ago (2014-03-22)) [±]"
"degesch","2015","0.9","2015","0.9",""
"DMDirc , URL: /wiki/DMDirc
","2007","","","","0.7 (January 5, 2013; 9 years ago (2013-01-05)[24]) [±]"
"ERC , URL: /wiki/ERC_(software)
","1999?","","","","ERC improvements are now released as part of Emacs. [±]"
"F-IRC","2006?","0.1","","","1.36 (February 23, 2014)"
"HexChat , URL: /wiki/HexChat
","2009-10-04","r249","2009-10-09","2.86.0","2.14.3 (December 20, 2019; 2 years ago (2019-12-20)) [±]"
"HydraIRC","2002","","","","0.3.165 (December 12, 2008; 13 years ago (2008-12-12)) [±]"
"IceChat , URL: /wiki/IceChat
","2002","3.0","2002-04-08","3.0","9.53 (February 4, 2022; 35 days ago (2022-02-04)) [±]"
"ircII , URL: /wiki/IrcII
","1990","","","","20190117 (January 17, 2019; 3 years ago (2019-01-17)) [±]"
"IRCjr","2008","","2008","","mTCP_2020-03-07 (March 7, 2020; 2 years ago (2020-03-07)[25]) [±]"
"Ircle , URL: /wiki/Ircle
","1995","","","","3.5a6 (November 17, 2007; 14 years ago (2007-11-17)) [±]"
"Irssi , URL: /wiki/Irssi
","1999","","","","1.2.3 (April 11, 2021; 11 months ago (2021-04-11)) [±][26]"
"jIRCii","?","?","","","?"
"kirc , URL: /w/index.php?title=Kirc&action=edit&redlink=1
","2020","0.0.1","","",""
"KVIrc , URL: /wiki/KVIrc
","1998","0.6.0","1999-12-21","1.0.0","5.0.0 (January 1, 2019; 3 years ago (2019-01-01)[27]) [±]"
"Konversation , URL: /wiki/Konversation
","2002","","","","
URL: https://www.wikidata.org/wiki/Q379066?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"LeafChat , URL: /wiki/LeafChat
","?","1.0","","","2.5 (July 29, 2012; 9 years ago (2012-07-29)) [±]"
"LimeChat","2007","","","","Mavericks / Mountain Lion 2.43 (January 26, 2018; 4 years ago (2018-01-26)[29]) [±] Lion 2.38 (September 12, 2013; 8 years ago (2013-09-12)) [±]"
"Linkinus , URL: /wiki/Linkinus
","2007","","","","2.4.3 (August 23, 2011; 10 years ago (2011-08-23)[30]) [±]"
"Mibbit , URL: /wiki/Mibbit
","2008","","","","web application , URL: /wiki/Web_application
"
"mIRC , URL: /wiki/MIRC
","1995","","","","7.67 (2 October 2021; 5 months ago (2021-10-02)[31]) [±]"
"Nettalk , URL: /wiki/Nettalk_(IRC_client)
","2004","","","","6.7.16 (October 30, 2012; 9 years ago (2012-10-30)[32]) [±]"
"PIRCH , URL: /wiki/PIRCH_(IRC_client)
","1995","","","","1.0.1.1190 (January 1, 2001; 21 years ago (2001-01-01)) [±]"
"PJIRC , URL: /wiki/PJIRC
","2002","","","","2.2.1 (November 29, 2004; 17 years ago (2004-11-29)) [±]"
"Quassel , URL: /wiki/Quassel_IRC
","2008-08-27","0.3.0","","","0.14.0 (January 1, 2022; 2 months ago (2022-01-01)) [±]"
"qwebirc","2009","0.81","","","0.92 (February 13, 2012; 10 years ago (2012-02-13)) [±]"
"rIRC","2010","Preview Release 1","2012","1.44","1.4.4 (January 16, 2012)"
"Scrollback","2013","","2013","",""
"rcirc , URL: /wiki/Rcirc
","?","?","","","rcirc improvements are now released as part of Emacs. [±]"
"Smuxi , URL: /wiki/Smuxi
","2008-07-29","0.6","2010-09-03","0.8","1.1 (February 12, 2021; 12 months ago (2021-02-12)) [±]"
"Snak , URL: /wiki/Snak
","1997","","","","5.3.4 (March 11, 2012; 10 years ago (2012-03-11)[33]) [±]"
"Visual IRC , URL: /wiki/Visual_IRC
","1995","","","","2.0pl2 (December 30, 2007; 14 years ago (2007-12-30)) [±][34]"
"WeeChat , URL: /wiki/WeeChat
","2003","","","","3.4 (December 18, 2021; 2 months ago (2021-12-18)[35]) [±]"
"Client , URL: /wiki/Client_(computing)
","Date","Version","Date","Version","Latest stable release"
"Client , URL: /wiki/Client_(computing)
","First public release","First public release","First stable release","First stable release","Latest stable release"
