"Software","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","ChromeOS , URL: /wiki/ChromeOS
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","iOS App , URL: /wiki/IOS
","Android App , URL: /wiki/Android_(operating_system)
","Windows App , URL: /wiki/Windows_8
"
"Bebop","Yes","Yes","Yes","?","Yes","Yes","No","No","No"
"BibBase","N/A","N/A","N/A","N/A","N/A","N/A","?","?","?"
"BibDesk","No","Yes","No","?","No","No","Third-party - PocketBib","?","?"
"Biblioscape","?","?","?","?","?","?","?","?","?"
"BibSonomy","N/A","N/A","N/A","N/A","N/A","N/A","?","?","?"
"Bibus","Yes","Experimental","Yes","?","Yes","Yes","No","No","No"
"Bookends","No","Yes","No","?","No","No","Yes","?","?"
"Citavi","Yes","No","No","No","No","No","No","No","No"
"CiteULike","N/A","N/A","N/A","N/A","N/A","N/A","?","?","?"
"colwiz","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"EndNote","Yes","Yes","No","No","No","No","Yes","No","No"
"JabRef","Yes","Yes","Yes","No","No","Yes","No","No","No"
"KBibTeX","Experimental","Experimental","Yes","?","Yes","Yes","No","No","No"
"Mendeley","Yes","Yes","Yes","No","No","No","No (phased out as of March 15,2021) [12]","No (phased out as of March 15,2021) [12]","No"
"Paperpile","Yes","Yes","Yes","Yes","No (requires Chromium)","No (requires Chromium)","in beta","Yes [13]","No"
"Pybliographer","Partial[14]","Partial[14]","Yes","?","Yes","Yes","No","No","No"
"Qiqqa","Yes","No","No","?","No","No","No","No","No"
"ReadCube (now Papers)","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"refbase","Yes","Yes","Yes","?","Yes","Yes","No","No","No"
"RefDB","Yes","Yes","Yes","?","Yes","Yes","No","No","No"
"Reference Manager","Yes[15]","No","No","?","No","No","No","No","No"
"Referencer","No","No","Yes","?","No","No","?","?","?"
"RefME","?","?","?","?","?","?","?","?","?"
"RefWorks[16]","Yes","Yes","No","Yes","Yes","?","No - but is responsive","?","No"
"SciRef","Yes","No","No","?","No","No","?","?","?"
"Sente","No","Yes","No","?","No","No","Yes[17]","?","?"
"Wikindx","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WizFolio","Yes","Yes","Yes","?","Yes","Yes","?","?","?"
"Zotero","Yes","Yes","Yes","Intel only","No","Yes","in beta","third party - Aziz, Lite![18]","No"
