"","English","Esperanto","Novial"
"Infinitive , URL: /wiki/Infinitive
","(to) get absorbed","est-i absorb-at-a(j) (absorb-iĝ-i)","bli absorba"
"present , URL: /wiki/Present_tense
","get(s) absorbed","est-as absorb-at-a(j) (absorb-iĝ-as)","bli absorba"
"Future , URL: /wiki/Future_tense
","will (shall) get absorbed","est-os absorb-at-a(j) (absorb-iĝ-os)","sal bli absorba"
"past , URL: /wiki/Past_tense
","got absorbed","est-is absorb-at-a(j) (absorb-iĝ-is)","bli-d absorba"
"perfect , URL: /wiki/Perfect_(grammar)
","have (has) got absorbed","est-as absorb-it-a(j) (est-as absorb-iĝ-ant-a(j))","ha bli absorba"
"Pluperfect , URL: /wiki/Pluperfect
","had got absorbed","est-is absorb-it-a(j) (est-is absorb-iĝ-ant-a(j))","ha-d bli absorba"
"Future , URL: /wiki/Future_tense
perfect , URL: /wiki/Perfect_(grammar)
","will (shall) have got absorbed","est-os absorb-it-a(j) (est-os absorb-iĝ-ant-a(j))","sal ha bli absorba"
"Future , URL: /wiki/Future_tense
","was going to (would, should) get absorbed","est-is absorb-ot-a(j) (est-is absorb-iĝ-ont-a(j))","sal-ed bli absorba"
"Conditional , URL: /wiki/Conditional_mood
","would (should) get absorbed","est-us absorb-at-a(j) (absorb-iĝ-us)","vud bli absorba"
"Conditional , URL: /wiki/Conditional_mood
perfect , URL: /wiki/Perfect_(grammar)
","would (should) have got absorbed","est-us absorb-it-a(j) (est-us absorb-iĝ-ant-a(j))","vud ha bli absorba"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let us get absorbed!","ni est-u absorb-ataj! (ni absorb-iĝ-u!)","let nus bli absorba!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","get absorbed!","est-u absorb-at-a(j)! (absorb-iĝ-u!)","bli absorba!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let him get absorbed!","li est-u absorb-at-a! (li absorb-iĝ-u)","let lo bli absorba!"
"Present , URL: /wiki/Present_tense
continuous , URL: /wiki/Continuous_tense
","is (am, are) getting absorbed","est-as absorb-at-a(j) (est-as absorb-iĝ-ant-a(j))","es bli-nt absorba"
"Future , URL: /wiki/Future_tense
continuous , URL: /wiki/Continuous_tense
","shall (will) be getting absorbed","est-os absorb-at-a(j) (est-os absorb-iĝ-ant-a(j))","sal es bli-nt absorba"
"Past , URL: /wiki/Past_tense
continuous , URL: /wiki/Continuous_tense
","was (were) getting absorbed","est-is absorb-at-a(j) (est-is absorb-iĝ-ant-a(j))","did es (es-ed) bli-nt absorba"
