"System","reporting , URL: /wiki/Business_reporting
","Test planning integration","Customizable workflow","Unicode support","Custom fields","SLA[6]","Plugin API[7]","Multiple projects","Full-text search , URL: /wiki/Full-text_search
","Indexed , URL: /wiki/Index_(search_engine)
","Indexed , URL: /wiki/Index_(search_engine)
","Edit conflict , URL: /wiki/Edit_conflict
"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Yes, integrated wiki","Yes","Yes","Yes","Yes","No","Yes","Yes (as of 0.6)","Yes","Yes[8] uses Whoosh","No","No"
"Assembla , URL: /wiki/Assembla
","Yes, Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Unknown","No","No"
"Axosoft , URL: /wiki/Axosoft
","Yes, Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS","No","Yes","Yes","Yes","Yes","Yes","Yes","","","","No"
"Azure DevOps Server (Team Foundation Server) , URL: /wiki/Azure_DevOps_Server
","Yes - workflow definitions, process documentation","Yes","Yes","Yes","Yes","No","Yes","Yes","","","","No"
"Bugzilla , URL: /wiki/Bugzilla
","Yes, reporting: integrated reports and charts, scheduled reports by mail","Yes[9]","Yes","Yes","Yes","No","Yes","Yes","Yes[10]","MySQL , URL: /wiki/MySQL
Oracle Database , URL: /wiki/Oracle_Database
","","Yes[14]"
"Debbugs , URL: /wiki/Debbugs
","No","No","No","Yes","No","No","No","Unknown","","","No","No"
"Faveo Helpdesk , URL: /wiki/Faveo
","Yes, Integrated Social Media, In-built Knowledge Base and Reporting","No","Yes","Yes","Yes","Yes","Yes","N/A","Yes","No","No","No"
"FogBugz , URL: /wiki/FogBugz
","Yes, Integrated wiki","No","Yes","Yes","Yes","No","Yes[15]","Yes","Yes[16]","Yes[17]","No[18]","Yes"
"Fossil , URL: /wiki/Fossil_(software)
","Yes, Integrated Wiki in addition to integrated versioned project documentation via web ui.","No","No","No","Yes","No","No","Yes[19]","No[20]","No","","No"
"FusionForge , URL: /wiki/FusionForge
","Yes, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","","No"
"GLPI , URL: /wiki/GLPI
","Yes, Contains a proprietary knowledge base of sorts","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GNATS , URL: /wiki/GNATS
","No","No","No","No","No","No","No","Unknown","","","","No"
"Helix ALM , URL: /wiki/Helix_ALM
","Yes - Advanced reporting, integrated charts, export to Excel, workflow with triggers","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","No"
"HP Quality Center , URL: /wiki/HP_Quality_Center
","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No"
"Jira , URL: /wiki/Jira_(software)
","Confluence (Enterprise wiki) , URL: /wiki/Confluence_(software)
","Yes[21]","Yes","Yes","Yes","Yes","Yes[22]","Yes","Yes[23]","Lucene , URL: /wiki/Lucene
","Optional[24]","No[25]"
"Launchpad , URL: /wiki/Launchpad_(website)
","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
