"Profile , URL: /wiki/Scalable_Vector_Graphics#Mobile_profiles
","Element , URL: /wiki/XML#Key_terminology
","MSHTML , URL: /wiki/MSHTML
","Gecko , URL: /wiki/Gecko_(software)
","WebKit , URL: /wiki/WebKit
","Blink , URL: /wiki/Blink_(browser_engine)
","Presto , URL: /wiki/Presto_(browser_engine)
","KSVG , URL: /wiki/KHTML#Other_modules
","Prince , URL: /wiki/Prince_(software)
","Amaya , URL: /wiki/Amaya_(web_editor)
","Adobe SVG Viewer , URL: http://www.adobe.com/svg/viewer/install/
","Batik , URL: /wiki/Apache_Batik
","Renesis , URL: /wiki/Renesis_Player
","LeonLabs"
"Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","Structure Module , URL: http://www.w3.org/TR/SVG/struct.html#structure-mod
","",""
"Tiny","svg","5.0[t 2]","1.8","522","?","1.0","Yes","Yes","Yes","1.0","Yes","Yes","1.0"
"Tiny","g","5.0[t 2]","1.8","522","?","","Yes","Yes","Yes","1.0","Yes","","1.0"
"Tiny","defs","5.0[t 2]","1.8","522","?","","Yes","","","1.0","Yes","","1.0"
"Tiny","desc","5.0[t 2]","1.8","522","?","","","","","1.0","Yes","","1.0"
"Tiny","title","5.0[t 2]","1.8","522","?","","","","","","Yes","","1.0"
"Tiny","metadata","5.0[t 2]","1.8","522","?","","","","","","Yes","","1.0"
"Tiny","use","5.0[t 2]","1.8","Yes[w 4]","?","No","6.0","Yes","1.0","0.6","Yes","","1.0"
"Basic","symbol","5.0[t 2]","1.8","522","?","No","6.0","?","1.0","0.6","Yes","","1.0"
"Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","Conditional Processing Module , URL: http://www.w3.org/TR/SVG/struct.html#conditional-mod
","",""
"Tiny","switch","Yes","1.8","522","?","2.0","?","No","?","2.0","Yes","No","1.0"
