"Expressions and operators","Java","C#"
"Arithmetic operators","Yes","Yes"
"Logical operators","Yes","Yes"
"Bitwise logic operators","Yes","Yes"
"Conditional","Yes","Yes"
"String concatenation","Yes","Yes"
"Casts","Yes","Yes"
"Boxing , URL: /wiki/Boxing_(programming)
","Yes; implicit","Yes; implicit"
"Unboxing , URL: /wiki/Auto-unboxing
","Yes; implicit","Yes; explicit"
"Lifted operators","No; See java.util.Optional","Yes"
"Overflow control","No","Yes"
"Strict floating point evaluation","Yes; opt-in/out","Yes; opt-in[39]"
"Verbatim (here-)strings","Yes[40]","Yes[41]"
