"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0004 , URL: http://xmpp.org/extensions/xep-0004.html
","Data forms","Final","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6][21]"
"0009 , URL: http://xmpp.org/extensions/xep-0009.html
","Jabber RPC","Final","Yes[8]","Unknown","Unknown","No[17]","Unknown","No","No","Unknown","Yes[20]","Yes"
"0012 , URL: http://xmpp.org/extensions/xep-0012.html
","Last Activity","Final","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0013 , URL: http://xmpp.org/extensions/xep-0013.html
","Flexible offline message retrieval","Stable","No[8]","Unknown","Yes[2]","No[17]","No[18]","No","No","Yes[5]","No[20]","Yes[6]"
"0016 , URL: http://xmpp.org/extensions/xep-0016.html
","Privacy Lists","Deprecated","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0018 , URL: http://xmpp.org/extensions/xep-0018.html
","Invisible Presence","Rejected","Yes[8]","Unknown","Yes[2]","No[17]","No","No","Yes","Unknown","Unknown","No[6]"
"0020 , URL: http://xmpp.org/extensions/xep-0020.html
","Feature negotiation","Deprecated","Yes[22]","Unknown","Unknown","No[17]","Unknown","No","No","No[5]","Yes[20]","Yes[6]"
"0022 , URL: http://xmpp.org/extensions/xep-0022.html
","Message Events","Obsolete","Yes[8]","Unknown","Yes[2]","Yes[17]","Unknown","No","Yes","Unknown","Yes[20]","Yes[6]"
"0023 , URL: http://xmpp.org/extensions/xep-0023.html
","Message Expiration","Obsolete","Yes[8]","Unknown","Yes[2]","Yes[17]","Unknown","No","Yes","Unknown","Unknown","No"
"0025 , URL: http://xmpp.org/extensions/xep-0025.html
","HTTP Polling","Obsolete","Yes[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No[6]"
"0030 , URL: http://xmpp.org/extensions/xep-0030.html
","Service Discovery","Final","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
