"","John McCain , URL: /wiki/John_McCain
","Barack Obama , URL: /wiki/Barack_Obama
","Ralph Nader , URL: /wiki/Ralph_Nader
","Bob Barr , URL: /wiki/Bob_Barr
","Chuck Baldwin , URL: /wiki/Chuck_Baldwin
","Cynthia McKinney , URL: /wiki/Cynthia_McKinney
"
"Gender","Male","Male","Male","Male","Male","Female"
"Age","72","47","74","59","56","53"
"Party , URL: /wiki/List_of_political_parties_in_the_United_States
","Republican Party , URL: /wiki/Republican_Party_(United_States)
","Democratic Party , URL: /wiki/Democratic_Party_(United_States)
","Independent , URL: /wiki/Independent_politician
","Libertarian Party , URL: /wiki/Libertarian_Party_(United_States)
","Constitution Party , URL: /wiki/Constitution_Party_(United_States)
","Green Party , URL: /wiki/Green_Party_(United_States)
"
"Profession","U.S. Senator , URL: /wiki/U.S._Senator
U.S. Congressman , URL: /wiki/U.S._Congressman
Naval Aviator , URL: /wiki/United_States_Naval_Aviator
","U.S. Senator , URL: /wiki/U.S._Senator
Attorney , URL: /wiki/Lawyer
","Consumer advocate , URL: /wiki/Consumer_advocate
lobbyist , URL: /wiki/Lobbyist
","U.S. Congressman , URL: /wiki/U.S._Congressman
United States Attorney , URL: /wiki/United_States_Attorney
CIA employee , URL: /wiki/Central_Intelligence_Agency
","syndicated columnist , URL: /wiki/Syndicated_columnist
radio host , URL: /wiki/Talk_radio
","U.S. Congresswoman , URL: /wiki/U.S._Congressman
"
"Undergraduate education","United States Naval Academy , URL: /wiki/United_States_Naval_Academy
","Columbia University , URL: /wiki/Columbia_University
Political Science , URL: /wiki/Political_Science
International Relations , URL: /wiki/International_Relations
","Princeton University , URL: /wiki/Princeton_University
East Asian Studies , URL: /wiki/East_asian_studies
International Relations , URL: /wiki/International_Relations
","University of Southern California , URL: /wiki/University_of_Southern_California
International Relations , URL: /wiki/International_Relations
","Liberty University , URL: /wiki/Liberty_University
","University of Southern California , URL: /wiki/University_of_Southern_California
International Relations , URL: /wiki/International_Relations
"
"Graduate education","National War College , URL: /wiki/National_War_College
","Harvard Law , URL: /wiki/Harvard_Law
","Harvard Law , URL: /wiki/Harvard_Law
","George Washington University , URL: /wiki/George_Washington_University
International Relations , URL: /wiki/International_Relations
Georgetown University Law Center , URL: /wiki/Georgetown_University_Law_Center
","Theology , URL: /wiki/Theology
Christian Bible College , URL: /wiki/Christian_Bible_College
","Fletcher School of Law and Diplomacy , URL: /wiki/Fletcher_School_of_Law_and_Diplomacy
Tufts University , URL: /wiki/Tufts_University
Spelman College , URL: /wiki/Spelman_College
University of California, Berkeley , URL: /wiki/University_of_California,_Berkeley
"
"States/Countries lived in","Arizona , URL: /wiki/Arizona
Panama Canal Zone , URL: /wiki/Panama_Canal_Zone
North Vietnam , URL: /wiki/North_Vietnam
","Illinois , URL: /wiki/Illinois
Massachusetts , URL: /wiki/Massachusetts
","Connecticut , URL: /wiki/Connecticut
","Georgia , URL: /wiki/Georgia_(U.S._state)
Iowa , URL: /wiki/Iowa
Lima, Peru , URL: /wiki/Lima,_Peru
Tehran, Iran , URL: /wiki/Tehran,_Iran
","Indiana , URL: /wiki/Indiana
Virginia , URL: /wiki/Virginia
","Georgia , URL: /wiki/Georgia_(U.S._state)
"
"Last political office","U.S. Senator (1987–2018) , URL: /wiki/Senate_career_of_John_McCain,_US_Senator_2001%E2%80%93present
","U.S. Senator (2005–2008) , URL: /wiki/United_States_Senate_career_of_Barack_Obama
","None","U.S. Congressman (1995–2003) , URL: /wiki/United_States_Congress
","None","U.S. Congresswoman (1993–2003, 2005–2007) , URL: /wiki/United_States_Congress
"
"Other political experience","Congressman , URL: /wiki/United_States_Congress
","Senator , URL: /wiki/Illinois_Senate
","Department of Labor , URL: /wiki/United_States_Department_of_Labor
","Libertarian National Committee , URL: /wiki/Libertarian_National_Committee
National Rifle Association , URL: /wiki/National_Rifle_Association
","Moral Majority , URL: /wiki/Moral_Majority
Constitution Party , URL: /wiki/Constitution_Party_(United_States)
","Georgia , URL: /wiki/Georgia_(U.S._state)
House of Representatives , URL: /wiki/Georgia_House_of_Representatives
"
"U.S. Senate committee memberships","Armed Services Committee , URL: /wiki/United_States_Senate_Committee_on_Armed_Services
Commerce, Science and Transportation Committee , URL: /wiki/United_States_Senate_Committee_on_Commerce,_Science_and_Transportation
Indian Affairs Committee , URL: /wiki/United_States_Senate_Committee_on_Indian_Affairs
Committee on POW/MIA Affairs , URL: /wiki/United_States_Senate_Select_Committee_on_POW/MIA_Affairs
","Health, Education, Labor, and Pensions , URL: /wiki/United_States_Senate_Committee_on_Health,_Education,_Labor,_and_Pensions
Foreign Relations , URL: /wiki/United_States_Senate_Committee_on_Foreign_Relations
Homeland Security and Governmental Affairs , URL: /wiki/United_States_Senate_Committee_on_Homeland_Security_and_Governmental_Affairs
Veterans' Affairs , URL: /wiki/United_States_Senate_Committee_on_Veterans%27_Affairs
","Advised auto safety subcommittee (1964)","None","None","None"
"U.S. House committee memberships","Committee on the Judiciary , URL: /wiki/United_States_House_Committee_on_the_Judiciary
Committee on Oversight and Government Reform , URL: /wiki/United_States_House_Committee_on_Oversight_and_Government_Reform
Committee on Financial Services , URL: /wiki/United_States_House_Committee_on_Financial_Services
","None","None","Committee on the Judiciary , URL: /wiki/United_States_House_Committee_on_the_Judiciary
Government Reform Committee , URL: /wiki/United_States_House_Committee_on_Oversight_and_Government_Reform
Committee on Financial Services , URL: /wiki/United_States_House_Committee_on_Financial_Services
Committee on Veteran's Affairs , URL: /wiki/United_States_House_Committee_on_Veterans%27_Affairs
","None","Committee on Interior Affairs , URL: /wiki/United_States_House_Committee_on_Natural_Resources
Committee on Armed Services , URL: /wiki/United_States_House_Committee_on_Armed_Services
Subcommittee on Military Personnel , URL: /wiki/United_States_House_Armed_Services_Subcommittee_on_Military_Personnel
Subcommittee on Terrorism and Unconventional Threats , URL: /wiki/United_States_House_Armed_Services_Subcommittee_on_Terrorism_and_Unconventional_Threats
Committee on the Budget , URL: /wiki/United_States_House_Committee_on_the_Budget
"
"Management/Corporate experience","Hensley & Co. , URL: /wiki/Hensley_%26_Co.
","Harvard Law Review , URL: /wiki/Barack_Obama#Early_life_and_career
Business International Corporation , URL: /wiki/Business_International_Corporation
","None","Southeastern Legal Foundation , URL: /wiki/Southeastern_Legal_Foundation
","Founded/lead Crossroad Baptist Church, Pensacola (1975–)",""
"Teaching experience","Landon Lecture , URL: /wiki/Kansas_State_University#Landon_Lecture_Series
Kansas State , URL: /wiki/Kansas_State_University
","University of Chicago , URL: /wiki/University_of_Chicago
","University of Hartford , URL: /wiki/University_of_Hartford
","Kennesaw State University , URL: /wiki/Kennesaw_State_University
","Pastor of Crossroad Baptist Church, Pensacola (1975–)","Earth Day , URL: /wiki/Earth_Day
CSU , URL: /wiki/California_State_University
"
