"Version","Shell","Visual styles , URL: /wiki/Skin_(computing)
","Browser","Web server","Windows Media Player , URL: /wiki/Windows_Media_Player
","Command-line interpreter , URL: /wiki/Command-line_interpreter
"
"Windows 1.0 , URL: /wiki/Windows_1.0
","MS-DOS executive , URL: /wiki/MS-DOS_executive
","(Unnamed)","N/A","N/A","N/A","N/A"
"Windows 2.0 , URL: /wiki/Windows_2.0
","MS-DOS executive , URL: /wiki/MS-DOS_executive
","(Unnamed)","N/A","N/A","N/A","N/A"
"Windows 3.0 , URL: /wiki/Windows_3.0
","Program Manager , URL: /wiki/Program_Manager
","(Unnamed)","N/A","N/A","3.0 (Multimedia Extension edition only)","N/A"
"Windows 3.1x , URL: /wiki/Windows_3.1x
","Program Manager , URL: /wiki/Program_Manager
","(Unnamed)","N/A","N/A","3.1","N/A"
"Windows 95 , URL: /wiki/Windows_95
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 1 in OEM RTM Internet Explorer 2 in OSR1 Internet Explorer 3 in OSR2 and OSR2.1 Internet Explorer 4 in OSR2.5","N/A","4.0","COMMAND.COM , URL: /wiki/COMMAND.COM
"
"Windows NT 4.0 , URL: /wiki/Windows_NT_4.0
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 2 Internet Explorer 3 (in some localized editions)","PWS , URL: /wiki/Microsoft_Personal_Web_Server
","4.0","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
"
"Windows 98 , URL: /wiki/Windows_98
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 4.01","PWS , URL: /wiki/Microsoft_Personal_Web_Server
","4.0","COMMAND.COM , URL: /wiki/COMMAND.COM
"
"Windows 98 SE , URL: /wiki/Windows_98_SE
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 5","PWS , URL: /wiki/Microsoft_Personal_Web_Server
","4.0","COMMAND.COM , URL: /wiki/COMMAND.COM
"
"Windows 2000 , URL: /wiki/Windows_2000
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 5.01","IIS , URL: /wiki/Internet_Information_Services
","5.0 and 6.4 (side by side)","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
"
"Windows Me , URL: /wiki/Windows_Me
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 5.5","N/A","6.4 and 7.0 (side by side)","COMMAND.COM , URL: /wiki/COMMAND.COM
"
