"","Creator","Latest release","User interface","Software license , URL: /wiki/Software_license
","Cost"
"Allegro Network Multimeter","Allegro Packets","July 19, 2021 / v3.3[1]","Web GUI","Proprietary , URL: /wiki/Proprietary_software
","Non-free, price on request, depending on device and extensions"
"Cain and Abel , URL: /wiki/Cain_and_Abel_(software)
","Massimiliano Montoro","April 7, 2014 / 4.9.56","GUI","Freeware","Free"
"Capsa , URL: /wiki/Capsa_(software)
","Colasoft , URL: /w/index.php?title=Colasoft&action=edit&redlink=1
","April 24, 2018 / 11.1[2]","GUI","Proprietary , URL: /wiki/Proprietary_software
","$0–$995, depending on version[3]"
"Carnivore , URL: /wiki/Carnivore_(software)
","Federal Bureau of Investigation , URL: /wiki/Federal_Bureau_of_Investigation
","?","?","N/A","?"
"Charles Web Debugging Proxy , URL: /wiki/Charles_Proxy
","Karl van Randow","July 10, 2017 / 4.1.4","GUI","?","$30–$50 (Free Trial)"
"Clarified Analyzer","Clarified Networks , URL: /wiki/Clarified_Networks
","","GUI","Proprietary , URL: /wiki/Proprietary_software
","Non-free"
"Clusterpoint Network Traffic Surveillance System","Clusterpoint , URL: /wiki/Clusterpoint
","","web GUI","Proprietary , URL: /wiki/Proprietary_software
","?"
"CommView , URL: /wiki/CommView
","TamoSoft , URL: /w/index.php?title=TamoSoft&action=edit&redlink=1
","November 30, 2017 / 6.5 Build 770","GUI","Proprietary , URL: /wiki/Proprietary_software
","$299–$599, $149 1 year subscription"
"dSniff , URL: /wiki/DSniff
","Dug Song","December 17, 2000 / 2.3[4]","CLI , URL: /wiki/Command-line_interface
","BSD License , URL: /wiki/BSD_licenses
","Free"
"EtherApe , URL: /wiki/EtherApe
","Juan Toledo","June 3, 2018 / 0.9.18[5]","GUI","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"Ettercap , URL: /wiki/Ettercap_(computing)
","ALoR and NaGA","August 1, 2020 / 0.8.3.1-Bertillon[6]","Both","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"Fiddler , URL: /wiki/Fiddler_(software)
","Telerik , URL: /wiki/Telerik
","October 3, 2019 / 5.0.20194[7]","GUI","Freeware","Free"
"justniffer , URL: /wiki/Justniffer
","The Justniffer team","March 21, 2016 / 0.5.15[8]","CLI , URL: /wiki/Command-line_interface
","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"Kismet , URL: /wiki/Kismet_(software)
","Mike Kershaw (dragorn)","May 2, 2020 / 2020-04-R3[9]","CLI , URL: /wiki/Command-line_interface
","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"Microsoft Message Analyzer","Microsoft , URL: /wiki/Microsoft
","October 28, 2016 / 1.4[10]","GUI","Proprietary , URL: /wiki/Proprietary_software
","Free"
"Microsoft Network Monitor , URL: /wiki/Microsoft_Network_Monitor
","Microsoft , URL: /wiki/Microsoft
","June 24, 2010 / 3.4","GUI","Proprietary , URL: /wiki/Proprietary_software
","Free"
"netsniff-ng , URL: /wiki/Netsniff-ng
","Daniel Borkmann","November 7, 2016 / 0.6.2","CLI , URL: /wiki/Command-line_interface
","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"ngrep , URL: /wiki/Ngrep
","Jordan Ritter","September 7, 2017 / 1.47","CLI , URL: /wiki/Command-line_interface
","BSD-style","Free"
"Observer","Viavi Solutions , URL: /wiki/JDSU#Split_into_Viavi_and_Lumentum
","","GUI","Proprietary , URL: /wiki/Proprietary_software
","Price on request"
"OmniPeek , URL: /wiki/OmniPeek
","LiveAction (formerly Savvius, WildPackets)","November 2017 / 11.1","GUI","Proprietary , URL: /wiki/Proprietary_software
","$1194–$5994, depending on version[11]"
"Sniffer , URL: /wiki/Sniffer_(protocol_analyzer)
","Netscout , URL: /wiki/NetScout_Systems
Network General , URL: /wiki/Network_General
","2013[12]","GUI","Proprietary","Non-free"
"SteelCentral Transaction Analyzer","OPNET Technologies , URL: /wiki/OPNET
Riverbed Technology , URL: /wiki/Riverbed_Technology
","June 9, 2014 / 17.0.T-PL1[13]","GUI","Proprietary , URL: /wiki/Proprietary_software
","Non-free"
"snoop , URL: /wiki/Snoop_(software)
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","December 11, 2006 / Solaris 10","CLI , URL: /wiki/Command-line_interface
","CDDL , URL: /wiki/Common_Development_and_Distribution_License
","Free"
"tcpdump , URL: /wiki/Tcpdump
","The Tcpdump team","December 30, 2020 / 4.99.0[14]","CLI , URL: /wiki/Command-line_interface
","BSD License , URL: /wiki/BSD_licenses
","Free"
"Wireshark , URL: /wiki/Wireshark
","The Wireshark team","November 22, 2021 / 3.6.0[15]","Both","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
"Xplico , URL: /wiki/Xplico
","The Xplico team","May 2, 2019 / 1.2.2[16]","Both","GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free"
