"Engine","Origin","Designer","Vehicle , URL: /wiki/Spacecraft
","Use , URL: /wiki/Multistage_rocket
","Propellant , URL: /wiki/Rocket_propellant
","Power cycle","Specific impulse , URL: /wiki/Specific_impulse
","Thrust , URL: /wiki/Thrust
","Mass (kg)","Thrust:weight ratio , URL: /wiki/Thrust-to-weight_ratio
","Chamber , URL: /wiki/Combustion_chamber
","Oxidiser:fuel ratio"
"Aerojet M-1 , URL: /wiki/Aerojet_M-1
","USA , URL: /wiki/United_States
","Aerojet , URL: /wiki/Aerojet
","Nova ?","1st, 2nd?","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","428 (SL)","6,670,000","9,068","60","?",""
"Aestus , URL: /wiki/Aestus
","Europe","Airbus Defence and Space , URL: /wiki/Airbus_Defence_and_Space
","Ariane 5 , URL: /wiki/Ariane_5
","Upper","N2O4 , URL: /wiki/Dinitrogen_tetroxide
MMH , URL: /wiki/Monomethylhydrazine
","Pressure-fed , URL: /wiki/Pressure-fed_engine
","324[77]","30,000","111","27.6","11","1.9"
"Aestus II , URL: /wiki/Aestus_II
","Europe , URL: /wiki/Europe
","Airbus Defence and Space , URL: /wiki/Airbus_Defence_and_Space
","Ariane 5 , URL: /wiki/Ariane_5
","Upper","N2O4 , URL: /wiki/Dinitrogen_tetroxide
MMH , URL: /wiki/Monomethylhydrazine
","Gas generator , URL: /wiki/Gas-generator_cycle
","340[78]","55,400","138","41.0","60","1.9"
"AJ-60A , URL: /wiki/AJ-60A
","USA , URL: /wiki/United_States
","Aerojet , URL: /wiki/Aerojet
","Atlas V , URL: /wiki/Atlas_V
","Booster , URL: /wiki/Solid_rocket_booster
","HTPB , URL: /wiki/HTPB
","Solid fuel","275","1,270,000[79]","","","",""
"AJ-260-2","USA","Aerojet , URL: /wiki/Aerojet
","S-I stage replacement (proposed)","1st","PBAN , URL: /wiki/Polybutadiene_acrylonitrile
","Solid fuel","263 s","26,183,755","831,345, with fuel","","",""
"F-1 , URL: /wiki/F-1_(rocket_engine)
","USA , URL: /wiki/United_States
","Rocketdyne , URL: /wiki/Rocketdyne
","Saturn V , URL: /wiki/Saturn_V
","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","304 263 (SL)","7,770,000 6,770,000 (SL)","8,391","82.27","70","2.27"
"F-1A , URL: /wiki/F-1_(rocket_engine)
","USA , URL: /wiki/United_States
","Rocketdyne , URL: /wiki/Rocketdyne
","","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","303 270 (SL)","8,989,000 8,007,000 (SL)","9,015","90.6","80","2.27"
"Gamma 2 , URL: /wiki/Bristol_Siddeley_Gamma
","United Kingdom , URL: /wiki/United_Kingdom
","Bristol Siddeley , URL: /wiki/Bristol_Siddeley
","Black Arrow , URL: /wiki/Black_Arrow
","2nd","RP-1 , URL: /wiki/RP-1
H2O2 , URL: /wiki/Hydrogen_peroxide
","Staged, decomposition and combustion","265[81]","68,200","173","40.22","","8"
"Gamma 8 , URL: /wiki/Bristol_Siddeley_Gamma
","United Kingdom , URL: /wiki/United_Kingdom
","Bristol Siddeley , URL: /wiki/Bristol_Siddeley
","Black Arrow , URL: /wiki/Black_Arrow
","1st","RP-1 , URL: /wiki/RP-1
H2O2 , URL: /wiki/Hydrogen_peroxide
","Staged, decomposition and combustion","265[82]","234,800","342","70.01","47.40","8"
"HM-7A , URL: /wiki/HM-7B
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 1 , URL: /wiki/Ariane_1
","3rd","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","443[83] 308 (SL)","61,700","149","42.2","30","5"
"J-2 , URL: /wiki/J-2_(rocket_engine)
","USA , URL: /wiki/United_States
","Rocketdyne , URL: /wiki/Rocketdyne
","Saturn V , URL: /wiki/Saturn_V
IB , URL: /wiki/Saturn_IB
","2nd, 3rd","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","421[84] 200 (SL)","1,033,100 486,200 (SL)","1,438","73.18","30","5.5"
"J-2X , URL: /wiki/J-2X
","USA , URL: /wiki/United_States
","Pratt & Whitney Rocketdyne , URL: /wiki/Pratt_%26_Whitney_Rocketdyne
","SLS , URL: /wiki/Space_Launch_System
","Upper","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","448[85]","1,310,000","2,470","58.41","95","5.5–4.5"
"Kestrel , URL: /wiki/Kestrel_(rocket_engine)
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","Falcon 1 , URL: /wiki/Falcon_1
","Upper","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Pressure fed , URL: /wiki/Pressure_fed
","317","31,000","52","65","9.3",""
"LE-5 , URL: /wiki/LE-5
","Japan , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
NASDA , URL: /wiki/National_Space_Development_Agency_of_Japan
","H-I , URL: /wiki/H-I
","Upper","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","450[86]","103,000","245","42.87","36.0","5.5"
"LE-5 , URL: /wiki/LE-5
","Japan , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
NASDA , URL: /wiki/National_Space_Development_Agency_of_Japan
","H-II , URL: /wiki/H-II
","Upper","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Expander, open , URL: /wiki/Expander_cycle#Expander_bleed_cycle
","452[87]","121,500","242","51.19","40.0","5"
"LE-7 , URL: /wiki/LE-7
","Japan , URL: /wiki/Japan
","Mitsubishi , URL: /wiki/Mitsubishi_Heavy_Industries
NASDA , URL: /wiki/National_Space_Development_Agency_of_Japan
","H-II , URL: /wiki/H-II
","1st","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Staged combustion , URL: /wiki/Staged_combustion
","446[88]","1,078,000 843,500 (SL)","1,714","64.13","127","5.9"
"Merlin 1D , URL: /wiki/Merlin_(rocket_engine)#Merlin_1D
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","Falcon 9 v1.1 , URL: /wiki/Falcon_9_v1.1
","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","311[89] 282 (SL)[89]","723,000","470","158","97","2.34"
"Merlin Vacuum 1C , URL: /wiki/Merlin_(rocket_engine)#Merlin_Vacuum_(1C)
","USA , URL: /wiki/United_States
","SpaceX , URL: /wiki/SpaceX
","Falcon 1 , URL: /wiki/Falcon_1
9 , URL: /wiki/Falcon_9
","2nd","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","336[90]","413,644[90]","","92","",""
"RD-0120 , URL: /wiki/RD-0120
","Soviet Union , URL: /wiki/Soviet_Union
","KBKhA , URL: /wiki/KBKhA
","Energia , URL: /wiki/Energia
","1st","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Staged, fuel-rich","455[91]","1,962,000 1,526,000 (SL)","3,450","57.80","219",""
