"Product","Manufacturer","Web browser","Wireless synching","Ad hoc","On-demand","Web radio/TV"
"Archos 5, 7 , URL: /wiki/Archos_Generation_6
","Archos , URL: /wiki/Archos
","Opera , URL: /wiki/Opera_(web_browser)#Other_versions
","","","",""
"Archos 604 WiFi, 704 WiFi , URL: /wiki/Archos_Generation_4
","Archos","Opera 8.5","file browsing","No","No",""
"Archos 605 WiFi, 705 WiFi , URL: /wiki/Archos_Generation_5
","Archos","Opera 9","file browsing","No","Content Portals , URL: /wiki/Archos#Content_portals
","Yes"
"Archos PMA400 , URL: /wiki/Archos_PMA400
","Archos","Opera","via FTP","Yes","No",""
"Cowon Q5W , URL: /wiki/Cowon#Cowon_Q5(W)
","Cowon , URL: /wiki/Cowon
","IE Mobile , URL: /wiki/Internet_Explorer_Mobile
","","","","Yes (using Flash-based Internet Radio sites)"
"Ibiza Rhapsody","Haier , URL: /wiki/Haier
","Minimo , URL: /wiki/Minimo
","Yes","No","Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","radio only"
"iPod Touch , URL: /wiki/IPod_Touch
","Apple Inc. , URL: /wiki/Apple_Inc.
","Webkit , URL: /wiki/Webkit
","Yes","Yes","iTunes , URL: /wiki/ITunes
Spotify , URL: /wiki/Spotify
","Yes"
"Samsung Galaxy Player , URL: /wiki/Samsung_Galaxy_Player
","Samsung , URL: /wiki/Samsung
","Webkit , URL: /wiki/Webkit
","","","Android Marketplace , URL: /wiki/Android_Marketplace
",""
"Sansa Connect , URL: /wiki/Sansa_Connect
","SanDisk , URL: /wiki/SanDisk
","No","","","Yahoo! Music , URL: /wiki/Yahoo!_Music
",""
"Sony PSP , URL: /wiki/Sony_PSP
","Sony , URL: /wiki/Sony
","NetFront , URL: /wiki/NetFront
","Yes","Yes","PlayStation Store , URL: /wiki/PlayStation_Store
","Yes"
"Sony Walkman X Series , URL: /wiki/Walkman_X_Series
","Sony , URL: /wiki/Sony
","NetFront , URL: /wiki/NetFront
","No","Yes","","Yes"
"ZEN X-Fi , URL: /wiki/Creative_Zen_X-FI
","Creative , URL: /wiki/Creative_Technology
","No","media server","No","Creative MediaBox","No"
"Zune 4, 8 , URL: /wiki/Zune_4,_8
","Microsoft , URL: /wiki/Microsoft
","No","Yes","Yes","Zune Marketplace , URL: /wiki/Zune_Marketplace
",""
"Zune 30 , URL: /wiki/Zune_30
","Microsoft","No","Yes","Yes","Zune Marketplace , URL: /wiki/Zune_Marketplace
",""
"Zune 80, 120 , URL: /wiki/Zune_80,_120
","Microsoft","No","Yes","Yes","Zune Marketplace , URL: /wiki/Zune_Marketplace
",""
"Zune HD , URL: /wiki/Zune_HD
","Microsoft","IE Mobile , URL: /wiki/Internet_Explorer_Mobile
","Yes","Yes","Zune Marketplace , URL: /wiki/Zune_Marketplace
",""
