"Name","Developer(s)","License , URL: /wiki/Software_license
","Platforms"
"AllMyNotes Organizer , URL: /wiki/AllMyNotes_Organizer
","Vladonai Software","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","Microsoft Windows"
"BasKet Note Pads , URL: /wiki/BasKet_Note_Pads
","KDE , URL: /wiki/KDE
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Unix-like , URL: /wiki/Unix-like
KDE , URL: /wiki/KDE
"
"CintaNotes , URL: /wiki/CintaNotes
","Cinta Software","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","Microsoft Windows"
"ConnectedText , URL: /wiki/ConnectedText
","Eduardo Mauro","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","Microsoft Windows"
"Day One , URL: /wiki/Day_One_(app)
","Bloom Built","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","macOS, iOS, Android"
"Dropbox Paper , URL: /wiki/Dropbox_Paper
","Dropbox","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","Android, IOS, web-based"
"Evernote , URL: /wiki/Evernote
","Evernote Corporation","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","web-based , URL: /wiki/Software_as_a_service
"
"Gnote , URL: /wiki/Gnote
","Aurimas Černius","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Linux"
"Google Keep , URL: /wiki/Google_Keep
","Google , URL: /wiki/Google
","Proprietary , URL: /wiki/Proprietary_software
","Android, iOS, Chrome OS, browser based"
"Joplin , URL: /wiki/Joplin_(software)
","laurent22 , URL: https://github.com/laurent22
","MIT , URL: /wiki/MIT_License
","Microsoft Windows, Mac, Linux, iOS, Android"
"KeyNote NF , URL: /wiki/Keynote_(notetaking_software)
","Marek Jedliński, Tranglos Software","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","Microsoft Windows"
"Memonic , URL: /wiki/Memonic
","Nektoon AG","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","web-based , URL: /wiki/Software_as_a_service
"
"Microsoft OneNote , URL: /wiki/Microsoft_OneNote
","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
Shareware , URL: /wiki/Shareware
Freeware , URL: /wiki/Freeware
Freemium , URL: /wiki/Freemium
","web-based , URL: /wiki/Software_as_a_service
"
"MyInfo , URL: /wiki/MyInfo
","Milenix Software","Proprietary , URL: /wiki/Proprietary_software
Shareware , URL: /wiki/Shareware
","Microsoft Windows 7/10/11"
"MyNotex , URL: /wiki/MyNotex
","Massimo Nardello","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Linux"
"Notational Velocity , URL: /wiki/Notational_Velocity
","Zachary Schneirov","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","macOS"
"Notes , URL: /wiki/Notes_(Apple)
","Apple","Proprietary , URL: /wiki/Proprietary_software
","macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
"
"Notion , URL: /wiki/Notion_(app)
","Notion Labs Inc.","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","Android, macOS, iOS (iPad, iPhone), Microsoft Windows, web-based"
