"Name","Windows NT , URL: /wiki/Windows_NT
","Windows Mobile , URL: /wiki/Windows_Mobile
Pocket PC , URL: /wiki/Pocket_PC
","FreeBSD , URL: /wiki/FreeBSD
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","NetBSD , URL: /wiki/NetBSD
","OpenBSD , URL: /wiki/OpenBSD
","DragonFly BSD , URL: /wiki/DragonFly_BSD
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
"Aloaha Crypt Disk","Yes","No","No","No","No","No","No","No","?","?"
"BestCrypt , URL: /wiki/BestCrypt
","Yes","No","No","No[42]","Yes","No","No","No","?","?"
"BitArmor DataControl","Yes","No","No","No","No","No","No","No","?","?"
"BitLocker , URL: /wiki/BitLocker
","Yes","No","No","Partial[43]","Partial[43]","No","No","No","No","?"
"Bloombase StoreSafe","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Boxcryptor","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"CenterTools DriveLock","Yes","No","No","No","No","No","No","No","?","?"
"CGD","No","No","No","No","No","Yes","No","No","?","?"
"Check Point Full Disk Encryption","Yes","Yes","No","Yes[44]","Yes","No","No","No","?","?"
"CipherShed , URL: /wiki/CipherShed
","Yes","No","No[45]","Yes","Yes","No","No","No","Yes[46]","?"
"CrossCrypt , URL: /wiki/CrossCrypt
","Yes[47]","No","No","No","No","No","No","No","No","?"
"CryFS","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Cryhod","Yes","No","No","Yes","No","No","No","No","?","?"
"Cryptainer","Yes","Yes[48]","No","No","No","No","No","No","?","?"
"CryptArchiver","Yes","No","No","No","No","No","No","No","?","?"
"Cryptic Disk","Yes","No","No","No","No","No","No","No","No","No"
"Cryptoloop , URL: /wiki/Cryptoloop
","Yes[49]","No","No","Yes","No","No","No","No","?","?"
"Cryptomator , URL: http://www.Cryptomator.org
","Yes[50]","No","No","Yes","Yes","No","No","No","Yes","Yes"
"CryptoPro Secure Disk Enterprise","Yes","No","No","No","No","No","No","No","No","?"
"CryptoPro Secure Disk for BitLocker","Yes","No","No","No","No","No","No","No","No","?"
"Cryptsetup , URL: /wiki/Cryptsetup
Dmsetup , URL: /wiki/Dmsetup
","Yes[49]","No","No","Yes","No","No","No","Yes","?","?"
"CryptSync","Yes","No","No","Yes","Yes","No","No","No","No","?"
"Discryptor","No","No","No","No","No","No","No","No","?","?"
"DiskCryptor , URL: /wiki/DiskCryptor
","Yes","No","No","No","No","No","No","No","?","?"
"DISK Protect","Yes","No","No","No","No","No","No","No","?","?"
"Dm-crypt , URL: /wiki/Dm-crypt
LUKS , URL: /wiki/LUKS
","Yes[49]","Yes[51]","No","Yes","No","No","No","Yes","?","?"
"DriveCrypt , URL: https://www.securstar.com/en/drivecrypt.html
","Yes","No","No","No","No","No","No","No","?","?"
"DriveSentry , URL: /wiki/DriveSentry
","Yes","No","No","No","No","No","No","No","?","?"
"E4M , URL: /wiki/E4M
","Yes","No","No","No","No","No","No","No","?","?"
"e-Capsule Private Safe","Yes","No","No","No","No","No","No","No","?","?"
"eCryptfs , URL: /wiki/ECryptfs
","No","No","No","Yes","No","No","No","No","?","?"
"EgoSecure HDD Encryption","Yes","No","No","No","No","No","No","No","?","?"
"EncFS , URL: /wiki/EncFS
","Yes[52]","Yes[53]","FUSE , URL: /wiki/Filesystem_in_Userspace
","Yes (FUSE)","Yes[52]","Yes (FUSE)","Yes (FUSE)","Yes (FUSE)","Yes[53]","?"
"EncryptStick","Yes","No","No","Yes","Yes","No","No","No","?","?"
"EncryptUSB","Yes","No","No","No","Yes","No","No","No","?","?"
"FileVault , URL: /wiki/FileVault
","No","No","No","No","Yes","No","No","No","?","?"
"FileVault 2 , URL: /wiki/FileVault
","No","No","No","Partial[54]","Yes","No","No","No","?","?"
"FREE CompuSec","Yes","No","No","No","No","No","No","No","?","?"
"FreeOTFE , URL: /wiki/FreeOTFE
","Yes","Yes","No","Partial[55]","No","No","No","No","No","?"
"GBDE , URL: /wiki/GBDE
","No","No","Yes","No","No","No","No","No","?","?"
