"Camera model","Camera line","Manufacturer","Introduced","Weight","MOS/sync","Lens mount"
"7LTR (Super 16)","Aaton LTR , URL: /w/index.php?title=Aaton_LTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1974","","Sync","Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
"
"54LTR","Aaton LTR , URL: /w/index.php?title=Aaton_LTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1982","","Sync","Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
"
"Arriflex 16HSR2 (Super 16)","Arriflex 16SR , URL: /wiki/Arriflex_16SR
","Arri , URL: /wiki/Arri
","1982","11.02 lb (5.00 kg), with empty magazine","Sync","Arri bayonet , URL: /wiki/Arri_bayonet
Arri PL , URL: /wiki/Arri_PL
"
"Arriflex 16SR2 (Super 16)","Arriflex 16SR , URL: /wiki/Arriflex_16SR
","Arri , URL: /wiki/Arri
","1982","11.02 lb (5.00 kg), with empty magazine","Sync","Arri bayonet , URL: /wiki/Arri_bayonet
Arri PL , URL: /wiki/Arri_PL
"
"Panaflex 16 ("The Elaine")","Panaflex 16 , URL: /w/index.php?title=Panaflex_16&action=edit&redlink=1
","Panavision , URL: /wiki/Panavision
","June 27, 1984[1]","16.6 lb (7.5 kg), with eyepiece","Sync","PV mount , URL: /wiki/PV_mount
"
"XTR","Aaton XTR , URL: /w/index.php?title=Aaton_XTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1984","","Sync","Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
"
"Arriflex 16HSR3","Arriflex 16SR , URL: /wiki/Arriflex_16SR
","Arri , URL: /wiki/Arri
","1992","14.5 lb (6.6 kg)","Sync","Arri PL , URL: /wiki/Arri_PL
"
"Arriflex 16SR3","Arriflex 16SR , URL: /wiki/Arriflex_16SR
","Arri , URL: /wiki/Arri
","1992","14.5 lb (6.6 kg)","Sync","Arri PL , URL: /wiki/Arri_PL
"
"X0plus","Aaton XTR , URL: /w/index.php?title=Aaton_XTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1992","","Sync","Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
"
"XTRplus","Aaton XTR , URL: /w/index.php?title=Aaton_XTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1992","","Sync","Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
"
"XTRprod","Aaton XTR , URL: /w/index.php?title=Aaton_XTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1994","13 lb (5.9 kg), with onboard battery and full magazine","Sync","Arri PL , URL: /wiki/Arri_PL
Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
PV mount , URL: /wiki/PV_mount
"
"A-Minima","A-Minima , URL: /wiki/A-Minima
","Aaton , URL: /wiki/Aaton
","2000","5 lb (2.3 kg), with onboard battery and full magazine","Sync","Arri PL , URL: /wiki/Arri_PL
Nikon , URL: /wiki/Nikon_F_mount
"
"Arriflex 416","Arriflex 416 , URL: /wiki/Arriflex_416
","Arri , URL: /wiki/Arri
","2006","12.1 lb (5.5 kg), with full magazine","Sync","Arri PL , URL: /wiki/Arri_PL
"
"Arriflex 416 Plus","Arriflex 416 , URL: /wiki/Arriflex_416
","Arri , URL: /wiki/Arri
","2006","12.6 lb (5.7 kg), with full magazine","Sync","Arri PL , URL: /wiki/Arri_PL
"
"Xtera","Aaton XTR , URL: /w/index.php?title=Aaton_XTR&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","2006","","Sync","Arri PL , URL: /wiki/Arri_PL
Aaton universal , URL: /w/index.php?title=Aaton_universal&action=edit&redlink=1
PV mount , URL: /wiki/PV_mount
"
