"Year","State","Rate"
"2019","AL","16.3"
"2019","AK","17.8"
"2019","AZ","26.8"
"2019","AR","13.5"
"2019","CA","15"
"2019","CO","18"
"2019","CT","34.7"
"2019","DE","48"
"2019","FL","25.5"
"2019","GA","13.1"
"2019","HI","15.9"
"2019","ID","15.1"
"2019","IL","21.9"
"2019","IN","26.6"
"2019","IA","11.5"
"2019","KS","14.3"
"2019","KY","32.5"
"2019","LA","28.3"
"2019","ME","29.9"
"2019","MD","38.2"
"2019","MA","32.1"
"2019","MI","24.4"
"2019","MN","14.2"
"2019","MS","13.6"
"2019","MO","26.9"
"2019","MT","14.1"
"2019","NE","8.7"
"2019","NV","20.1"
"2019","NH","32"
"2019","NJ","31.7"
"2019","NM","30.2"
"2019","NY","18.2"
"2019","NC","22.3"
"2019","ND","11.4"
"2019","OH","38.3"
"2019","OK","16.7"
"2019","OR","14"
"2019","PA","35.6"
"2019","RI","29.5"
"2019","SC","22.7"
"2019","SD","10.5"
"2019","TN","31.2"
"2019","TX","10.8"
"2019","UT","18.9"
"2019","VT","23.8"
"2019","VA","18.3"
"2019","WA","15.8"
"2019","WV","52.8"
"2019","WI","21.1"
"2019","WY","14.1"
"2018","AL","16.6"
"2018","AK","14.6"
"2018","AZ","23.8"
"2018","AR","15.7"
"2018","CA","12.8"
"2018","CO","16.8"
"2018","CT","30.7"
"2018","DE","43.8"
"2018","FL","22.8"
"2018","GA","13.2"
"2018","HI","14.3"
"2018","ID","14.6"
"2018","IL","21.3"
"2018","IN","25.6"
"2018","IA","9.6"
"2018","KS","12.4"
"2018","KY","30.9"
"2018","LA","25.4"
"2018","ME","27.9"
"2018","MD","37.2"
"2018","MA","32.8"
"2018","MI","26.6"
"2018","MN","11.5"
"2018","MS","10.8"
"2018","MO","27.5"
"2018","MT","12.2"
"2018","NE","7.4"
"2018","NV","21.2"
"2018","NH","35.8"
"2018","NJ","33.1"
"2018","NM","26.7"
"2018","NY","18.4"
"2018","NC","22.4"
"2018","ND","10.2"
"2018","OH","35.9"
"2018","OK","18.4"
"2018","OR","12.6"
"2018","PA","36.1"
"2018","RI","30.1"
"2018","SC","22.6"
"2018","SD","6.9"
"2018","TN","27.5"
"2018","TX","10.4"
"2018","UT","21.2"
"2018","VT","26.6"
"2018","VA","17.1"
"2018","WA","14.8"
"2018","WV","51.5"
"2018","WI","19.2"
"2018","WY","11.1"
"2017","AL","18"
"2017","AK","20.2"
"2017","AZ","22.2"
"2017","AR","15.5"
"2017","CA","11.7"
"2017","CO","17.6"
"2017","CT","30.9"
"2017","DE","37"
"2017","FL","25.1"
"2017","GA","14.7"
"2017","HI","13.8"
"2017","ID","14.4"
"2017","IL","21.6"
"2017","IN","29.4"
"2017","IA","11.5"
"2017","KS","11.8"
"2017","KY","37.2"
"2017","LA","24.5"
"2017","ME","34.4"
"2017","MD","36.3"
"2017","MA","31.8"
"2017","MI","27.8"
"2017","MN","13.3"
"2017","MS","12.2"
"2017","MO","23.4"
"2017","MT","11.7"
"2017","NE","8.1"
"2017","NV","21.6"
"2017","NH","37"
"2017","NJ","30"
"2017","NM","24.8"
"2017","NY","19.4"
"2017","NC","24.1"
"2017","ND","9.2"
"2017","OH","46.3"
"2017","OK","20.1"
"2017","OR","12.4"
"2017","PA","44.3"
"2017","RI","31"
"2017","SC","20.5"
"2017","SD","8.5"
"2017","TN","26.6"
"2017","TX","10.5"
"2017","UT","22.3"
"2017","VT","23.2"
"2017","VA","17.9"
"2017","WA","15.2"
"2017","WV","57.8"
"2017","WI","21.2"
"2017","WY","12.2"
