"Client","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","Web , URL: /wiki/Web_application
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
"Briar , URL: /wiki/Briar_(software)
","No","No","Yes","No","Yes","No"
"Discord , URL: /wiki/Discord_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"eBuddy , URL: /wiki/EBuddy
","No","No","No","No","Yes","Yes"
"Element , URL: /wiki/Element_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Gadu-Gadu , URL: /wiki/Gadu-Gadu
","Yes","Yes","Yes","Yes","Yes","Yes"
"Gajim , URL: /wiki/Gajim
","Yes","No","Yes","No","No","No"
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","No[a]","No[a]","Needs third-party client[a][76]","Yes","Yes","No"
"ICQ , URL: /wiki/ICQ
","Yes","Yes","Yes","Yes","Yes","Yes"
"Jami , URL: /wiki/Jami_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Jitsi , URL: /wiki/Jitsi
","Yes","Yes","Yes","Yes","Yes","Yes"
"Kadu , URL: /wiki/Kadu_(software)
","Yes","Yes","Yes","No","No","No"
"KakaoTalk , URL: /wiki/KakaoTalk
","Yes","Yes","No","No","Yes","Yes"
"Keybase , URL: /wiki/Keybase
","Yes","Yes","Yes","No, partial","Yes","Yes"
"Kik Messenger , URL: /wiki/Kik_Messenger
","No","No","No","No","Yes","Yes"
"Line , URL: /wiki/Line_(software)
","Yes","Yes","browser extension , URL: /wiki/Browser_extension
","No","Yes","Yes"
"Linphone , URL: /wiki/Linphone
","","","","","",""
"Mattermost , URL: /wiki/Mattermost
","Yes","Yes","Yes","Yes","Yes","Yes"
"MCabber , URL: /wiki/MCabber
","No","Yes","Yes","No","No","No"
"Messages , URL: /wiki/Messages_(Apple)
","No","Yes","No","No","No","Yes"
"Messenger , URL: /wiki/Messenger_(software)
","Yes","Yes","Needs third-party client[a][78]","Yes","Yes","Yes"
"Movim , URL: /wiki/Movim
","Yes","Yes","Yes","Yes","Yes","Yes"
"Palringo , URL: /wiki/Palringo
","No","No","No","No","Yes","Yes"
"Paltalk , URL: /wiki/Paltalk
","Yes","Yes","No","No","Yes","Yes"
"Pidgin , URL: /wiki/Pidgin_(software)
","Yes","Yes","Yes","No","No","No"
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","Yes","Yes","Yes","No","No","No"
"RetroShare , URL: /wiki/RetroShare
","Yes","Yes","Yes","No","Yes","No"
"Ricochet , URL: /wiki/Ricochet_(software)
","Yes","Yes","Yes","No","No","No"
"Sicher , URL: /wiki/Sicher_(software)
","No","No","No","No","Yes","Yes"
"Signal , URL: /wiki/Signal_(software)
","Yes","Yes","Yes","No","Yes","Yes"
"Silent Phone , URL: /wiki/Silent_Circle_(software)
","No","No","No","No","Yes","Yes"
"Skype , URL: /wiki/Skype
","Yes","Yes","Yes","Yes","Yes","Yes"
"Slack , URL: /wiki/Slack_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Snapchat , URL: /wiki/Snapchat
","No","No","No","No","Yes","Yes"
"Surespot , URL: /wiki/Surespot
","No","No","No","No","Yes","Yes"
"TeamNote , URL: /wiki/TeamNote
","No[a]","No[a]","No[a]","Yes","Yes","Yes"
"Telegram , URL: /wiki/Telegram_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Tencent QQ , URL: /wiki/Tencent_QQ
","Yes","Yes","Partial[79][a]","Yes","Yes","Yes"
"Threema , URL: /wiki/Threema
","No[a]","No[a]","No[a]","Yes","Yes","Yes"
"Trillian , URL: /wiki/Trillian_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Viber , URL: /wiki/Viber
","Yes","Yes","Yes","No","Yes","Yes"
"WeChat , URL: /wiki/WeChat
","Yes","Yes","Needs third-party client[a][80]","Yes","Yes","Yes"
"WhatsApp , URL: /wiki/WhatsApp
","Yes","Yes","Needs third-party client[a][82][83][84]","Yes","Yes","Yes"
"Wickr Me , URL: /wiki/Wickr
","Yes","Yes","Yes","No","Yes","Yes"
"Wire , URL: /wiki/Wire_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Client","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","Web , URL: /wiki/Web_application
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
