"Name","Description","Owner","Registered users , URL: /wiki/Registered_user
","Alexa ranking , URL: /wiki/Alexa_ranking
","Free","All features free","Heterosexual connections","Polygamous connections","Free Messaging","STD-notification , URL: /wiki/Safe_sex#Other_forms_of_safe_sex
"
"Adam4Adam , URL: /wiki/Adam4Adam
","Connects men with men ""for friendship, romance, or a hot hookup"".","","","9,829[1]","Yes","No","No","?","Yes","Yes[2]"
"Adult FriendFinder , URL: /wiki/Adult_FriendFinder
","Members can connect with other adult members based on profiles.","","30,000,000 as of 2006[3]","2,944[4]","Yes","No, free users cannot respond to contact and cannot initiate contact. Paid users have added benefits.","Yes","Yes","No",""
"AnastasiaDate , URL: /wiki/AnastasiaDate
","Connects Western men with women from Russia and former Soviet Republics – CIS","","4,000,000 as of 2013[5]","38,225[6]","No","No","Yes","?","No",""
"Ashley Madison , URL: /wiki/Ashley_Madison
","Members are matched up with other married adult members based on profiles.","","17,815,000 as of February 2013[7]","13,634[8]","Yes","No; Free users can view profiles and respond to contact but cannot initiate contact. Paid users have added benefits.","Yes","Yes","No",""
"Badoo , URL: /wiki/Badoo
","Badoo enable users to meet new people in their area for chat, dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms.","Bumble","500,000,000 as of Feb 2021[9]","5,235[10]","Yes","No; Charge for higher prominence, higher limits, invisibility, etc.","Yes","?","Partial",""
"BeautifulPeople.com , URL: /wiki/BeautifulPeople.com
","Dating website where membership is based on a vote, in which existing members rate how attractive they perceive prospective members to be.","","800,000 as of 2015[11]","236,914[12]","Yes","No; free profile but subscription required for most features including messaging.","Yes","?","No",""
"Bumble , URL: /wiki/Bumble_(app)
","Dating app where women send the first message (for heterosexual matches)","Bumble","22,000,000 as of 2017[13]","19,208[14]","Yes","No","Yes","?","After match; only woman can initiate",""
"Christian Connection , URL: /wiki/Christian_Connection_(website)
","For Christian singles from the UK, Ireland, Australia, New Zealand, USA, Canada and Singapore","","","18,327[15]","Yes","No; Free trial. Free basic profile members can still see photos, edit profiles, search, use discussion boards. Paid members can freely message, start discussion thread, no daily limit of discussion board entries. Basic profile members can only messaging other users with pre-set replies.","Yes","","Partial",""
"ChristianMingle , URL: /wiki/ChristianMingle
","Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong.","Spark Networks","12,000,000 as of 2019[16]","27,587[17]","Yes","No","Yes","?","No",""
"Coffee Meets Bagel , URL: /wiki/Coffee_Meets_Bagel
","App providing daily curated matches based on Facebook connections","","","208,421[18]","Yes","No, ""Beans"" (in-app currency) unlock extra features, such as matching with users who aren't in your curated list. Premium membership enables activity reports, read receipts, extra beans.[19]","Yes","","Yes",""
"Compatible Partners , URL: /wiki/Compatible_Partners
","eHarmony's service for same-sex relationships","ProSiebenSat.1 Media","","434,220[20]","No","No","No","?","No",""
"Cupid.com , URL: /wiki/Cupid.com
","Dating website for people who are looking for romantic relationships.","NSI Holdings Ltd.","8,000,000 as of 2016[citation needed]","96,226[21]","Yes","No; Free: registration, profile, search, pictures uploading, send and receive winks, chat rooms, promo activities. VIP users can send and reply to mails, view full-size personal photos","Yes","No","No",""
"DateMySchool , URL: /wiki/DateMySchool
","Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for.","","179,000 as of 2013[22]","796,871[23]","Yes","No; All users can view profiles. Free messaging and status posting for undergraduates (5 messages/day limit). Alumni cannot initiate or respond to contact or post status updates. All Paid users can message and post and they also have added benefits.","Yes","?","Partial",""
"SingldOut , URL: /wiki/SingldOut
","Web App providing curated matches based on ""chemistry attraction"", personality compatibility and you also see a photograph. SingldOut has changed its web address DNA-Romance.com.","","","1,578,369[24]","Yes","No; free profile.","Yes","?","Yes",""
"DOWN Hookup & Dating , URL: /wiki/DOWN_(app)
","Online dating application for users looking for casual relationships and hookups. Users can swipe up for more serious dating, swipe down for casual hookups.","","","2,589,104","Yes","No; More features such as finding out who liked you.","","After match.","",""
"eHarmony , URL: /wiki/EHarmony
","personality tests , URL: /wiki/Personality_test
","ProSiebenSat.1 Media","","21,115[26]","Yes","No; free profile but subscription required for most features including messaging.","Yes","?","No",""
"Facebook Dating , URL: /wiki/Facebook_Dating
","Digital dating product at Facebook","Facebook","","?","?","?","?","?","?",""
"Gaydar , URL: /wiki/Gaydar_(website)
","Profile-based dating website for gay and bisexual men, women, and couples.","","","923,130[25]","Yes","No; Chat and search is free.","No","?","Yes",""
"GayRomeo , URL: /wiki/GayRomeo
","Worldwide social network, instant messaging and dating community for gay, bisexual and transgender men.","","6,740,000 registered and 1,107,000 active (last 6 weeks[when?])[27]","707,590[28]","Yes","No: Communication, profile and picture views, search engine are free. Video downloads, higher database limits, deactivation of advertising are not.","No","?","Yes",""
"Gleeden , URL: /wiki/Gleeden
","Social network, instant messaging and dating community for extra-marital relationships.","","","73,043[29]","No","No: Costs credits to send and read messages unlimited number of times to one user and premium gives higher database limits, deactivation of advertising","Yes","?","No",""
"Grindr , URL: /wiki/Grindr
","Geosocial networking , URL: /wiki/Geosocial_networking
","San Vicente Acquisition LLC","3,600,000 daily active users as of 2018[30]","77,133[31]","Yes","No","No","Yes","Yes","Yes[32]"
"Her , URL: /wiki/Her_(dating_app)
","Geosocial networking , URL: /wiki/Geosocial_networking
","","","9,365,703[34]","Yes","Yes","No","?","",""
"Hily , URL: /wiki/Hily
","Mobile dating site , URL: /w/index.php?title=Mobile_dating_site&action=edit&redlink=1
","","15,000,000 as of 2020[35]","255,415[36]","Yes","No","Yes","Yes (but preliminary heterosexual)","After match.",""
"JDate , URL: /wiki/JDate
","Dating site that serves people of a Jewish background as well as those interested in them.","Spark Networks","","107,452[37]","No","","Yes","?","No",""
"JSwipe , URL: /wiki/JSwipe
","Online dating app targeted at millennial Jewish singles.","Spark Networks","800,000 as of September 2016[38]","1,432,932[39]","Yes","No; messaging without match","Yes","Implicitly discouraged[38]","After match",""
"Lovestruck.com , URL: /wiki/Lovestruck.com
","Online dating for single professionals in UK, Hong Kong and Singapore","","300,000 registered as of 2012[40]","1,041,667[41]","No","No","Yes","?","No",""
"Mamba , URL: /wiki/Mamba_(website)
","Social-network-like dating site, primarily CIS/former Soviet Union, but some international presence. Primary language is Russian, but all languages welcome (and searchable). Caters to all audiences.","","40,000,000 as of 2019[42]","4,264[43] for named portal and 3-5% of mail.ru (#31) and rambler.ru (#191) through love.mail.ru and love.rambler.ru","Yes","No: Communication, profile and picture views, simpler engine, blogs are free. Additional search criteria and double appearances in others' relevant searches for ""VIP membership"". Single payments for regional advertising of profile (one-time appearance in scrolling banner for $1 – user picture, link, short text for mouseover; bidding war for stationary second banner + cost of $1/minute).","Yes","?","Yes",""
