"null","null","null","null","null","null"
"Apache MINA SSHD","Apache Software Foundation","2009","2.8.0","2021-12-05[1]","Apache-2.0"
"Bitvise SSH Server","Bitvise Limited","2001","8.43","2020-06-06[2]","Proprietary, Free for non-commercial use"
"CopSSH","Itefix","2003-08-12","7.4.0","2020-10-01[3]","Proprietary"
"CrushFTP Server","CrushFTP, LLC","2003-01-01","9.0.0","2018-10-30","Proprietary, shareware"
"Dropbear","Matt Johnston","2003-04-06[4]","2020.81","2020-10-29[5]","MIT"
"lsh","Niels Möller","1999-05-23[6]","2.1","2013-06-26","GPL-2.0-or-later"
"OpenSSH (OpenBSD Secure Shell)","The OpenBSD project","1999-12-01","8.6","2021-04-19[7]","BSD"
"Teleport","Gravitational","2016-06-23","4.2.9","2020-05-05[8]","Apache-2.0"
"wolfSSH","wolfSSL","2016-07-20","1.4.8","2021-11-04[9]","GPL-3.0-or-later or proprietary"
