"Product","Developer","Pagination","Rotation Lock","Auto-scroll","Progress indicator","Backward/forward","Table of Contents","Bookmarks","Resume","Cloud synchronisation","Go To","Full text search"
"Apabi Reader , URL: /w/index.php?title=Apabi_Reader&action=edit&redlink=1
","Beijing Founder Apabi Technology Limited","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Blio , URL: /wiki/Blio
","K-NFB Reading Technology, Inc.","Yes","No","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"BookFusion[3]","BookFusion","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Bluefire Reader , URL: /wiki/Bluefire_Reader
","Bluefire Productions","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"DL Reader , URL: /w/index.php?title=DL_Reader&action=edit&redlink=1
","Datalogics, Inc","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"eBookMobi , URL: /w/index.php?title=EBookMobi&action=edit&redlink=1
","Tien Thinh Vu","Yes","support on iPad, portrait only on iPhone","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","No"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Ebooks.com Limited","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"i2Reader , URL: /w/index.php?title=I2Reader&action=edit&redlink=1
","Yuriy Melyushin","Yes","Yes","Yes","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Apple Books , URL: /wiki/Apple_Books
","Apple","Yes","No","Manual","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Kindle , URL: /wiki/Amazon_Kindle#Kindle_applications
","AMZN Mobile LLC","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Kobo Reading App , URL: /wiki/Kobo_eReader
","Kobo Inc.","Yes","Yes","No","In-book only","Yes","Yes","Last place marker only","Yes","Yes","Yes","No"
"KyBook Reader[12]","Konstantin Bukreev","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"KyBook 2[13]","Konstantin Bukreev","Yes","Yes","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes","Yes"
"MapleRead[14]","Maplepop LLC","Yes","Yes","No","In library and in-book","Configurable","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Marvin[15]","Appstafarian","Yes","Yes","Yes","In library and in-book","Configurable","Yes","Unlimited","Yes","Optional","Yes","Yes"
"MegaReader , URL: /w/index.php?title=MegaReader&action=edit&redlink=1
","Inkstone Software, Inc.","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","No"
"PocketBook reader , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Obreey Products","Yes","Yes","Yes","In-book only","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ShuBook 2 , URL: /w/index.php?title=ShuBook_2&action=edit&redlink=1
","Ambibma Ltd.","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"SideBooks , URL: /w/index.php?title=SideBooks&action=edit&redlink=1
","Tatsumi-system Co., Ltd.","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Stanza , URL: /wiki/Lexcycle_Stanza
","Lexcycle","Configurable","Yes","No","In library and in-book","Configurable","Yes","Unlimited","Yes","No","Yes","Yes"
"uBooks XL , URL: /w/index.php?title=UBooks_XL&action=edit&redlink=1
","Nix Solutions Ltd","Mixed scrolling & pagination","Yes","Yes","Yes","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"iBouquiniste , URL: /w/index.php?title=IBouquiniste&action=edit&redlink=1
","Sandr","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Product","Developer","Pagination","Rotation Lock","Auto-scroll","Progress indicator","Backward/forward","Table of Contents","Bookmarks","Resume","Cloud synchronisation","Go To","Full text search"
