"","","Lower house","Lower house","Lower house","Lower house","Upper house","Upper house","Upper house","Upper house","Upper house","Ratio","Total"
"State","Legislative branch constitutional name","Name","Size","Term length (years)","Term limit","Name","Size","Term length (years)","Term limit","Filibuster possible","Lower to Upper house size","Total"
"Alabama , URL: /wiki/Government_of_Alabama
","Alabama Legislature , URL: /wiki/Alabama_Legislature
","Alabama House of Representatives , URL: /wiki/Alabama_House_of_Representatives
","105","4","None","Alabama Senate , URL: /wiki/Alabama_Senate
","35","4","None","Yes","3","140"
"Alaska , URL: /wiki/Government_of_Alaska
","Alaska Legislature , URL: /wiki/Alaska_Legislature
","Alaska House of Representatives , URL: /wiki/Alaska_House_of_Representatives
","40","2","None","Alaska Senate , URL: /wiki/Alaska_Senate
","20","4","None","Yes","2","60"
"Arizona , URL: /wiki/Government_of_Arizona
","Arizona Legislature , URL: /wiki/Arizona_Legislature
","Arizona House of Representatives , URL: /wiki/Arizona_House_of_Representatives
","60","2","Four consecutive terms[4]","Arizona Senate , URL: /wiki/Arizona_Senate
","30","2","Four consecutive terms[4]","No","2","90"
"Arkansas , URL: /wiki/Government_of_Arkansas
","Arkansas General Assembly , URL: /wiki/Arkansas_General_Assembly
","Arkansas House of Representatives , URL: /wiki/Arkansas_House_of_Representatives
","100","2","Three terms","Arkansas Senate , URL: /wiki/Arkansas_Senate
","35","2 or 4","Two 4 year terms","Yes","2.857143","135"
"California , URL: /wiki/Government_of_California
","California State Legislature , URL: /wiki/California_State_Legislature
","California State Assembly , URL: /wiki/California_State_Assembly
","80","2","12 years in either house, combined[5]","California State Senate , URL: /wiki/California_State_Senate
","40","4","12 years in either house, combined[5]","No","2","120"
"Colorado , URL: /wiki/Government_of_Colorado
","Colorado General Assembly , URL: /wiki/Colorado_General_Assembly
","Colorado House of Representatives , URL: /wiki/Colorado_House_of_Representatives
","65","2","Four consecutive terms","Colorado Senate , URL: /wiki/Colorado_Senate
","35","4","Two consecutive terms","No","1.857143","100"
"Connecticut , URL: /wiki/Government_of_Connecticut
","Connecticut General Assembly , URL: /wiki/Connecticut_General_Assembly
","Connecticut House of Representatives , URL: /wiki/Connecticut_House_of_Representatives
","151","2","None","Connecticut Senate , URL: /wiki/Connecticut_Senate
","36","2","None","Yes","4.194444","187"
"Delaware , URL: /wiki/Government_of_Delaware
","Delaware General Assembly , URL: /wiki/Delaware_General_Assembly
","Delaware House of Representatives , URL: /wiki/Delaware_House_of_Representatives
","41","2","None","Delaware Senate , URL: /wiki/Delaware_Senate
","21","2 or 4","None","No","1.952381","62"
"Florida , URL: /wiki/Government_of_Florida
","Florida Legislature , URL: /wiki/Florida_Legislature
","Florida House of Representatives , URL: /wiki/Florida_House_of_Representatives
","120","2","Four terms","Florida Senate , URL: /wiki/Florida_Senate
","40","2 or 4","Two terms","Yes","3","160"
