"Family number","Family number","Name , URL: /wiki/Codename
"
"Decimal , URL: /wiki/Decimal
","Hex , URL: /wiki/Hexadecimal
","Name , URL: /wiki/Codename
"
"05","05h","K6 , URL: /wiki/AMD_K6
"
"06","06h","K7 , URL: /wiki/AMD_K7
"
"15","0Fh","K8 / Hammer , URL: /wiki/AMD_K8
"
"16","10h","K10 , URL: /wiki/AMD_10h
"
"17","11h","K8 & K10 "hybrid""
"18","12h","K10 (Llano) , URL: /wiki/AMD_Accelerated_Processing_Unit#Llano
K12 , URL: /wiki/AMD_K12
"
"20","14h","Bobcat , URL: /wiki/Bobcat_(microarchitecture)
"
"21","15h","Bulldozer , URL: /wiki/Bulldozer_(microarchitecture)
Piledriver , URL: /wiki/Piledriver_(microarchitecture)
Steamroller , URL: /wiki/Steamroller_(microarchitecture)
Excavator , URL: /wiki/Excavator_(microarchitecture)
"
"22","16h","Jaguar , URL: /wiki/Jaguar_(microarchitecture)
Puma , URL: /wiki/Puma_(microarchitecture)
"
"23","17h","Zen , URL: /wiki/Zen_(microarchitecture)
Zen+ , URL: /wiki/Zen%2B
Zen 2 , URL: /wiki/Zen_2
"
"24","18h","Hygon Dhyana , URL: /wiki/Hygon_Dhyana
"
"25","19h","Zen 3 , URL: /wiki/Zen_3
"
