"ADC hub","GUI , URL: /wiki/Graphical_user_interface
","CLI , URL: /wiki/Command-line_interface
","Other","Programming language , URL: /wiki/Programming_language
","Based on"
"ADCH++","No","Yes","?","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
",""
"ADCH++ GUI","Yes","No","?","C++, Python","ADCH++"
"DSHub","Yes","Yes","?","Java , URL: /wiki/Java_(programming_language)
",""
"FlexHub","Planned","Yes","?","Lua",""
"Luadch","No","Yes","?","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
",""
"Luadch GUI","Yes","No","?","wxLua",""
"Nexthub","Yes","No","No","C-Sharp , URL: /wiki/C_Sharp_(programming_language)
",""
"uhub","No","Yes","?","C , URL: /wiki/C_(programming_language)
",""
"Erlhub","?","?","?","Erlang , URL: /wiki/Erlang_(programming_language)
",""
"Qhub","?","?","?","?",""
"Starlet ADC Hub","No","Yes","No","C , URL: /wiki/C_(programming_language)
",""
"StarHub","Yes","?","?","Java",""
"RusHub","No","Yes","No","C++",""
"ADC hub","GUI","CLI","Other","Programming language","Based on"
