"","Selection editing , URL: /wiki/Image_editing#Selection
","Layers , URL: /wiki/Layers_(digital_image_editing)
","Alpha Channel , URL: /wiki/Alpha_Channel
","Histogram , URL: /wiki/Color_histogram
","Scripting , URL: /wiki/Scripting_language
","HDR , URL: /wiki/High_dynamic_range_imaging
","Retouching , URL: /wiki/Image_editing#Removal_of_unwanted_elements
","Resizing , URL: /wiki/Image_scaling
","Noise removal , URL: /wiki/Image_editing#Noise_reduction
","Lens correction , URL: /wiki/Image_editing#Lens_correction
","Sized Printing , URL: /wiki/Image_editing#Printing
","Sharpening , URL: /wiki/Unsharp_masking
","Color correction , URL: /wiki/Color_temperature
","Image library , URL: /wiki/Photograph_album
","Plug-in support , URL: /wiki/Plug-in_(computing)
","Non-destructive editing , URL: /wiki/Non-destructive_editing
"
"Ability Photopaint , URL: /wiki/Ability_Photopaint
","Yes","Yes","?","Yes","Yes","No","?","Yes","?","?","?","?","?","?","?","?"
"ACD Canvas , URL: /wiki/ACD_Canvas
","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","?","Yes","No","?"
"ACDSee , URL: /wiki/ACDSee
","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Partial"
"Acorn Image Editor , URL: /wiki/Acorn_Image_Editor
","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","Yes"
"Adobe Fireworks , URL: /wiki/Adobe_Fireworks
","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"Adobe Photoshop , URL: /wiki/Adobe_Photoshop
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Through Mini Bridge , URL: /wiki/Adobe_Bridge
","Yes","Partial"
"Adobe Photoshop Lightroom , URL: /wiki/Adobe_Photoshop_Lightroom
","Yes","No","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Affinity Photo , URL: /wiki/Affinity_Photo
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Aperture , URL: /wiki/Aperture_(photography_software)
","Yes","Partial","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Autodesk SketchBook Pro , URL: /wiki/Autodesk_SketchBook_Pro
","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes"
"Artipic , URL: /wiki/Artipic
","Yes","Yes","?","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes"
"ArtRage , URL: /wiki/ArtRage
","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","?","?","?"
"Artweaver , URL: /wiki/Artweaver
","Yes","Yes","?","No","Via plug-in[22]","No","Yes","Yes","Yes","?","?","Yes","Yes","No","Yes","?"
"Bibble , URL: /wiki/Bibble_(software)
","Partial","Partial","?","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Bloom Image Editor , URL: /wiki/Bloom_Image_Editor
","Yes","Yes","?","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
