"Format","Languages"
"UCase(string)","VB , URL: /wiki/Visual_Basic_(classic)
"
"ucase(string)","FreeBASIC , URL: /wiki/FreeBASIC
"
"toupper(string)","AWK , URL: /wiki/AWK
"
"uc(string)","Perl , URL: /wiki/Perl
Raku , URL: /wiki/Raku_(programming_language)
"
"string.uc","Raku , URL: /wiki/Raku_(programming_language)
"
"toupper(char)","C , URL: /wiki/C_(programming_language)
"
"for(size_t i = 0, len = strlen(string); i< len; i++) string[i] = toupper(string[i]); for (char *c = string; *c != '\0'; c++) *c = toupper(*c);","C , URL: /wiki/C_(programming_language)
"
"std.string.toUpper(string)","D , URL: /wiki/D_(programming_language)
"
"transform(string.begin(), string.end(), result.begin(), toupper)[33]","C++ , URL: /wiki/C%2B%2B
"
"uppercase(string)","Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
"
"upcase(char)","Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
"
"strtoupper(string)","PHP , URL: /wiki/PHP
"
"upper(string)","Seed7 , URL: /wiki/Seed7
"
"echo ""string"" | tr 'a-z' 'A-Z'","Unix , URL: /wiki/Unix
"
"translate(string), or UPPER variables, or PARSE UPPER VAR SrcVar DstVar","Rexx , URL: /wiki/Rexx
"
"string.upper()","Python , URL: /wiki/Python_(programming_language)
"
"upcase(string)","Pick Basic , URL: /wiki/Pick_Basic
"
"string.upcase","Ruby , URL: /wiki/Ruby_(programming_language)
"
"strings.ToUpper(string)","Go , URL: /wiki/Go_(programming_language)
"
"(string-upcase string)","Scheme , URL: /wiki/Scheme_(programming_language)
Common Lisp , URL: /wiki/Common_Lisp
"
"String.uppercase string","OCaml , URL: /wiki/OCaml
"
"String.map Char.toUpper string","Standard ML , URL: /wiki/Standard_ML
"
"map Char.toUpper string","Haskell , URL: /wiki/Haskell_(programming_language)
"
"string.toUpperCase()","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
"
"to_upper(string)","Erlang , URL: /wiki/Erlang_(programming_language)
"
"string.ToUpper()","VB .NET , URL: /wiki/Visual_Basic_.NET
C# , URL: /wiki/C_Sharp_(programming_language)
Windows PowerShell , URL: /wiki/Windows_PowerShell
F# , URL: /wiki/F_Sharp_(programming_language)
"
"string.uppercaseString","Objective-C , URL: /wiki/Objective-C
Swift , URL: /wiki/Swift_(programming_language)
"
"string.upper(string) (string):upper()","Lua , URL: /wiki/Lua_(programming_language)
"
"string asUppercase","Smalltalk , URL: /wiki/Smalltalk
"
"UPPER(string)","SQL , URL: /wiki/SQL
"
"ToUpperCase[string]","Mathematica , URL: /wiki/Mathematica
"
"«FUNCTION» UPPER-CASE(string)","COBOL , URL: /wiki/COBOL
"
"string.toUpper","Cobra , URL: /wiki/Cobra_(programming_language)
"
"string toupper string","Tcl , URL: /wiki/Tcl
"
"string.to_uppercase()","Rust , URL: /wiki/Rust_(programming_language)
"
