"NMDC[1] hub","FOSS , URL: /wiki/Free_and_open_source_software
","Software license , URL: /wiki/Software_license
","Active","Latest version (release date)","GUI , URL: /wiki/GUI
","CLI , URL: /wiki/Command-line_interface
","Other","IPv6 , URL: /wiki/IPv6
","Programming language , URL: /wiki/Programming_language
","Based on","Notes"
"UFOHub , URL: http://www.ufo-modus.com
","No","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","8.22.3 (2022-Feb-12)","Yes","No","Yes","Yes","Unknown","",""
"Verlihub , URL: https://github.com/Verlihub/verlihub
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","1.2.0.0 (2019-03-10)","No","Yes","Unknown","No","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Perl , URL: /wiki/Perl_(programming_language)
","",""
"PTDCH , URL: https://sourceforge.net/projects/ptdch/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","Never released since 2008","Yes","Unknown","Unknown","No","Visual Basic , URL: /wiki/Visual_Basic
Jscript , URL: /wiki/Jscript
VBscript , URL: /wiki/VBscript
","DDCH",""
"Dtella , URL: http://dtella.net/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","1.2.9 (2015-06-07)[2]","No","No","Yes","No","Python , URL: /wiki/Python_(programming_language)
","",""
"HeXHub , URL: http://sourceforge.net/projects/hexhub/
","Yes","Open Software License , URL: /wiki/Open_Software_License
","Yes","5.12 (2014-03-01)","Yes","Unknown","Unknown","No","Assembly , URL: /wiki/Assembly_language
","",""
"Open Direct Connect Hub , URL: http://sourceforge.net/projects/opendchub/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","0.8.3 (2014-08-14)","No","Unknown","Unknown","No","C , URL: /wiki/C_(programming_language)
Perl , URL: /wiki/Perl
","","Debian , URL: /wiki/Debian
OpenWrt , URL: /wiki/OpenWrt
"
"Flexhub , URL: http://www.flexhub.org
","Yes","GNU AGPL , URL: /wiki/GNU_AGPL
","Yes","Beta 0.2 svn 1469 (2013-10-22)","Pending","Yes","Unknown","No","Lua , URL: /wiki/Lua_(programming_language)
","",""
"PtokaX , URL: http://www.ptokax.org
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","0.5.2.2 (2017-04-11)[5]","Yes","Yes","Unknown","Yes","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
","",""
"RusHub , URL: https://archive.today/20150623073113/http://rushub.org/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","2.3.10 (2012-06-10)[6]","No","Yes","Unknown","Yes","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
","Verlihub[7]",""
"Eximius[8]","No","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","2007","Yes","Unknown","Unknown","No","C# , URL: /wiki/C_Sharp_(programming_language)
Lua , URL: /wiki/Lua_(programming_language)
","",""
"DB Hub , URL: https://sourceforge.net/projects/dbhub/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","0.451 (2008-02-08)","Unknown","Unknown","Unknown","No","Unknown","OpenDCHub",""
"openDCd , URL: http://opendcd.sourceforge.net/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","2002","Unknown","Unknown","Unknown","No","Unknown","",""
"DDCH DevDirect Connect Hub","Unknown","Unknown","No","","Yes","No","No","No","Visual Basic , URL: /wiki/Visual_Basic
Jscript , URL: /wiki/Jscript
","",""
"py-dchub , URL: http://sourceforge.net/projects/py-dchub/
","Yes","MIT License , URL: /wiki/MIT_License
","No","0.2.4 (2006-02-13)","Unknown","Unknown","Unknown","No","Python , URL: /wiki/Python_(programming_language)
","",""
"Aquila , URL: http://sourceforge.net/projects/aquiladc/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","0.1.11-pre4-beta4 (2015-02-17)","No","Yes","No","No","C++ , URL: /wiki/C%2B%2B
Lua , URL: /wiki/Lua_(programming_language)
","",""
"YnHub , URL: http://ynhub.gwhublist.com
","No","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","1.0364.126 (2016-07-15)","Yes","No","No","No","Delphi , URL: /wiki/Delphi_(programming_language)
","",""
"LamaHub , URL: http://lamahub.sourceforge.net/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","0.0.6.3 (2010-04-25)","Unknown","Unknown","Unknown","No","C , URL: /wiki/C_(programming_language)
","",""
"DC Sharp Hub , URL: https://sourceforge.net/projects/dcsharphub/
","Yes","GNU GPL , URL: /wiki/GNU_GPL
","No","3.0.4 beta (2004-09-06)","Unknown","Unknown","Unknown","No","C# , URL: /wiki/C_Sharp_(programming_language)
","",""
"NMDC hub","FOSS , URL: /wiki/Free_and_open_source_software
","Software license , URL: /wiki/Software_license
","Active","Latest version (release date)","GUI , URL: /wiki/GUI
","CLI , URL: /wiki/Command-line_interface
","Other","IPv6 , URL: /wiki/IPv6
","Programming language , URL: /wiki/Programming_language
","Based on",""
