"Software","Collaborative software , URL: /wiki/Collaborative_software
","Issue tracking system , URL: /wiki/Issue_tracking_system
","Scheduling , URL: /wiki/Scheduling_(production_processes)
","Project portfolio management , URL: /wiki/Project_portfolio_management
","Resource management , URL: /wiki/Resource_management
","Document management , URL: /wiki/Document_management_system
","Workflow system , URL: /wiki/Workflow_management_system
","Reporting , URL: /wiki/Report
"
"24SevenOffice , URL: /wiki/24SevenOffice
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Actionspace , URL: /wiki/Actionspace
","Yes","Yes","Yes","No","No","No (Integrates with SharePoint)","Yes","Yes"
"AnyChart , URL: /wiki/AnyChart
","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Apache Allura , URL: /wiki/Apache_Allura
","Yes","Yes","No","Yes","Yes","Yes","No","No"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Unknown","No","Yes","Yes","Yes","Yes","No","Unknown"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Yes","Yes","No","No","No","No","Yes","No"
"Asana , URL: /wiki/Asana_(software)
","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Assembla , URL: /wiki/Assembla
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Axosoft , URL: /wiki/Axosoft
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Basecamp , URL: /wiki/Basecamp_Classic
","Yes[18]","No","No","No","Yes[17]","Yes","No","No"
"BigGantt , URL: /wiki/BigGantt
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"BigPicture , URL: /wiki/BigPicture
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Calligra Plan , URL: /wiki/Calligra_Plan
","No","No","Yes","No","Yes","No","No","No"
"CEITON , URL: /wiki/CEITON
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Clarizen , URL: /wiki/Clarizen
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ConceptDraw Project , URL: /wiki/ConceptDraw_Project
","Yes[19]","Yes[20]","Yes[21]","Yes","Yes","Yes","Yes","Yes"
"Copper Project , URL: /wiki/Copper_Project
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"dotProject , URL: /wiki/DotProject
","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"DynaRoad , URL: /wiki/DynaRoad
","No","No","Yes","No","Yes","No","Yes","Yes"
"Easy projects , URL: /wiki/Easy_projects
","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Endeavour Software Project Management , URL: /wiki/Endeavour_Software_Project_Management
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"eGroupWare , URL: /wiki/EGroupWare
","Yes","Yes","No","Yes","Yes","Yes","No","No"
"enQuire , URL: /wiki/EnQuire
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FastTrack Schedule , URL: /wiki/FastTrack_Schedule
","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","Yes","No","Yes","Yes","No","Yes","No","No"
"FinancialForce.com , URL: /wiki/FinancialForce.com
","No","No","Yes","No","Yes","No","No","Yes"
"FogBugz , URL: /wiki/FogBugz
","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"Fossil-scm , URL: /wiki/Fossil_(software)
","Yes","Yes","No","No","No","No","No","No"
"Freedcamp , URL: /wiki/Freedcamp
","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"GanttProject , URL: /wiki/GanttProject
","No","No","Yes","No","Yes","No","No","No"
"Genius Project , URL: /wiki/Genius_Project
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Goalscape , URL: /wiki/Goalscape_Visual_Information_Management_Software
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Group-Office , URL: /wiki/Group-Office
","Yes","No","Yes","No","No","Yes","No","No"
"GroveSite , URL: /wiki/GroveSite
","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Hall.com , URL: /wiki/Hall.com_(software)
","Yes","No","No","No","Yes","Yes","No","No"
"Helix ALM , URL: /wiki/Helix_ALM
","Yes","Yes","No","No","No","No","Yes","Yes"
