"System","Web , URL: /wiki/Web_page
","Mobile web , URL: /wiki/Mobile_web
","Email , URL: /wiki/Email
","CLI , URL: /wiki/Command-line_interface
","GUI , URL: /wiki/Graphical_user_interface
","REST , URL: /wiki/Representational_State_Transfer
","SOAP , URL: /wiki/SOAP
","Mylyn , URL: /wiki/Mylyn
","Visual Studio , URL: /wiki/Microsoft_Visual_Studio
","IntelliJ IDEA , URL: /wiki/IntelliJ_IDEA
","Others"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Yes","No","Optional[57][58]","No","No","No","No","Yes","No","No","XMLRPC , URL: /wiki/XMLRPC
"
"Assembla , URL: /wiki/Assembla
","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No"
"Axosoft , URL: /wiki/Axosoft
","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","iPhone , URL: /wiki/IPhone
"
"Bugzilla , URL: /wiki/Bugzilla
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No[59]","Yes","XMLRPC , URL: /wiki/XMLRPC
"
"Debbugs , URL: /wiki/Debbugs
","No","No","Yes","Yes","No","No","No","No","No","No","No"
"Dolibarr , URL: /wiki/Dolibarr
","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Faveo Helpdesk , URL: /wiki/Faveo
","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes - Android App iOS App"
"FogBugz , URL: /wiki/FogBugz
","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","XML , URL: /wiki/XML
"
"Fossil , URL: /wiki/Fossil_(software)
","Yes","No","No","Yes","No","No","No","No","No","No","No"
"FusionForge , URL: /wiki/FusionForge
","Yes","No","No","No","No","No","Yes","No","No","No","No"
"GLPI , URL: /wiki/GLPI
","Yes","No","Yes","No","No","Yes","No","No","No","No","No"
"GNATS , URL: /wiki/GNATS
","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No"
"Helix ALM , URL: /wiki/Helix_ALM
","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","XML , URL: /wiki/XML
"
"HP Quality Center , URL: /wiki/HP_Quality_Center
","Yes","No","No","No","Yes[61]","Yes","No","Yes[62]","No[59]","Yes, via plugin","Yes]"
"Jira , URL: /wiki/Jira_(software)
","Yes","Yes[63]","Yes","Yes[64]","Yes","Yes","Yes","Yes","No[59]","Yes","Yes - Android App, iPhone App"
"Launchpad , URL: /wiki/Launchpad_(website)
","Yes","No","Yes","No","No","Yes","No","No","No","No","Python , URL: /wiki/Python_(programming_language)
"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes - Android App"
"Microsoft Dynamics CRM , URL: /wiki/Microsoft_Dynamics_CRM
","Yes","No","Yes","No","No","No","Yes","No","No","No","No"
"org-mode , URL: /wiki/Org-mode
","No","No","No","Yes","No","No","No","No","No","No","No"
"OTRS , URL: /wiki/OTRS
","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No"
"Phabricator , URL: /wiki/Phabricator
","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes, via plugin","No"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","XML , URL: /wiki/XML
"
