"Manager","Latest stable release","License , URL: /wiki/Software_licensing
","USD , URL: /wiki/United_States_dollar
","Adware , URL: /wiki/Adware
Malware , URL: /wiki/Malware
Spyware , URL: /wiki/Spyware
","CLI , URL: /wiki/Command-line_interface
","GUI , URL: /wiki/Graphical_user_interface
","Web","Linux , URL: /wiki/Linux
","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
"
"4K Video Downloader , URL: /wiki/4K_Video_Downloader
","4.13.2.3860 (October 9, 2020; 17 months ago (2020-10-09))","Proprietary , URL: /wiki/Proprietary_software
","Freemium , URL: /wiki/Freemium
","No","No","Yes","No","Yes","Yes","Yes"
"BitComet , URL: /wiki/BitComet
","1.85 (January 18, 2022; 52 days ago (2022-01-18)) [±][2]","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","Adware from version 0.85 to 0.97; Potentially sensitive information reported to BC Servers","Partial [3]","Yes","Yes[citation needed]","No","Yes","No"
"DownloadStudio , URL: /wiki/DownloadStudio
","10.0.4.0 (December 28, 2017; 4 years ago (2017-12-28))","Proprietary , URL: /wiki/Proprietary_software
","$24.95","None Known","Yes","Yes","Yes","No","Yes","No"
"DownThemAll! , URL: /wiki/DownThemAll!
","4.2.6 (November 27, 2019; 2 years ago (2019-11-27)) [±][4]","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
","None Known","No","Yes","Yes","Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera"
"FlashGet , URL: /wiki/FlashGet
","3.7.0.1195 (January 10, 2012; 10 years ago (2012-01-10))","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","No","No","Yes","Yes","No","Yes","No"
"Free Download Manager , URL: /wiki/Free_Download_Manager
","6.13.4.3616 (February 9, 2021; 13 months ago (2021-02-09)) [±][5]","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","No","No","Yes","No","Yes","Yes","Yes"
"Free Studio , URL: /wiki/Free_Studio
","6.6.35.323 (March 23, 2017; 4 years ago (2017-03-23)[6][7])","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","No","No","Yes","No","Yes","Yes","Yes"
"Freemake Video Downloader , URL: /wiki/Freemake_Video_Downloader
","3.8.0 (May 12, 2016; 5 years ago (2016-05-12))","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","Offers to install sponsored software upon installation changing default search engine and browsers homepage","No","Yes","No","No","Yes","No"
"GetRight , URL: /wiki/GetRight
","6.5 (January 24, 2011; 11 years ago (2011-01-24)) [±][8]","Proprietary , URL: /wiki/Proprietary_software
","$49.95 for Pro","No","Yes","Yes","Yes","No","Yes","No"
"Go!Zilla , URL: /wiki/Go!Zilla
","5.03 (February 1, 2008; 14 years ago (2008-02-01)[9])","Proprietary , URL: /wiki/Proprietary_software
","$19.95","None as of Version 5; Aureate adware prior to that","No","Yes","Yes","No","Yes","Yes"
"Internet Download Accelerator","6.21.1.1675 (August 13, 2021; 6 months ago (2021-08-13))","Proprietary , URL: /wiki/Proprietary_software
","$0, $9.95 single/$24.95 family pack for Pro","Adware on $0 version","Yes","Yes","No","No","Yes","No"
"Internet Download Manager , URL: /wiki/Internet_Download_Manager
","6.40 Build 2 (December 9, 2021; 3 months ago (2021-12-09)[10])","Proprietary , URL: /wiki/Proprietary_software
","$24.95 lifetime for 1 PC","None Known","Yes","Yes","No","No","Yes","No"
"JDownloader , URL: /wiki/JDownloader
","2 (7 February 2017; 5 years ago (2017-02-07))","GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
","Yes, comes bundled but can install even when not ticking yes","Yes","Yes","Yes","Yes","Yes","Yes"
