"Country code , URL: /wiki/List_of_international_vehicle_registration_codes
","Country","motorway , URL: /wiki/Motorway
","dual carriageway , URL: /wiki/Dual_carriageway
","single carriageway , URL: /wiki/Single_carriageway
","Speed limit in urban area","Permitted alcohol level (%)","Toll roads , URL: /wiki/Toll_road
","Seatbelt required","Minimum child age (front seat)","Triangle required","First aid required","Fire extinguisher required","Spare bulb required","Minimum driver's age","Tow rope required"
"A","Austria , URL: /wiki/Austria
","130","100","100","50","0.05","Yes","All","N/A","Yes","Yes","Recommended","No","17","Yes"
"AL","Albania , URL: /wiki/Albania
","110","N/A","90","40","0","","Yes[1]","N/A","Recommended","Recommended","Recommended","No","18","Yes"
"AND","Andorra , URL: /wiki/Andorra
","N/A","N/A","90","50","0.05","","Front","10","Yes","Recommended","Recommended","No","18","Yes"
"B","Belgium , URL: /wiki/Belgium
","120","90","70 (Flanders); 90 (Wallonia)","50","0.05","No[2]","All","12","Yes","Yes","Yes","No","18 (17 with supervision of parents)","Yes"
"BG","Bulgaria , URL: /wiki/Bulgaria
","140","N/A","90","50","0.05","Yes","All","10","Yes","Yes","Yes","Yes","18","Yes"
"BIH","Bosnia and Herzegovina , URL: /wiki/Bosnia_and_Herzegovina
","130","100","80","50","0.03","","Yes[3]","12","Yes","Yes","Recommended","Yes","18","Yes"
"BY","Belarus , URL: /wiki/Belarus
","110","N/A","90","60","0.03","Yes","Yes[4]","12","Yes","Yes","Yes","No","18","Yes"
"CH","Switzerland , URL: /wiki/Switzerland
","120","N/A","80 (100 on limited-access roads)","50","0.05","Yes","All","","Yes","Recommended","Recommended","No","18","Yes"
"CY","Cyprus , URL: /wiki/Cyprus
","100","N/A","80","50","0.05","","All","12","Yes, 2x","Recommended","Recommended","No","18","Yes"
"CZ","Czech Republic , URL: /wiki/Czech_Republic
","130 (urban 80)","110 (urban 80)","90","50","0 (tolerated 0.02)","Yes","All","","Yes","Yes","Recommended","No","18 (17 for B1 cars)","No"
"D","Germany , URL: /wiki/Germany
","no or speed limit sign(130 recommended)","no or speed limit sign (130 recommended)","100","50","0.05","No[6]","All","N/A","Yes","Yes","Recommended","No","18 (17 with supervision of >30 years old driver)","No"
"DK","Denmark , URL: /wiki/Denmark
","130","N/A","80","50","0.05","Yes","All","N/A","Yes","Recommended","Recommended","No","18","Yes"
