"v t e DSLR, SLT, and MILC cameras with HD video (comparison)","v t e DSLR, SLT, and MILC cameras with HD video (comparison)","v t e DSLR, SLT, and MILC cameras with HD video (comparison)"
"Canon , URL: /wiki/Canon_(company)
EOS , URL: /wiki/Canon_EOS
","High-end","5D Mark II 7D 1D Mark IV 1D X 5D Mark III 1D C 6D 7D Mark II 5Ds/5DsR 1D X Mark II 5D Mark IV 6D Mark II R 1D X Mark III R5 R6 R3"
"Canon , URL: /wiki/Canon_(company)
EOS , URL: /wiki/Canon_EOS
","Mid-range","500D 60D 550D 600D 650D M 700D 70D M2 750D 760D M3 80D M5 800D 77D M6 M50 RP 90D M6 Mark II 850D M50 Mark II"
"Canon , URL: /wiki/Canon_(company)
EOS , URL: /wiki/Canon_EOS
","Entry-level","1100D 100D 1200D M10 1300D 200D M100 2000D 4000D 250D M200"
"Nikon , URL: /wiki/Nikon
D , URL: /wiki/Nikon#Digital_single_lens_reflex_cameras
1 , URL: /wiki/Nikon_1_series
Z , URL: /wiki/Nikon_Z-mount
","High-end","D300S D3S D800 D4 D600 D610 D4S D810 D750 D700 D810A D500 D5 D850 Z 7 D780 D6 Z 7II Z 9"
"Nikon , URL: /wiki/Nikon
D , URL: /wiki/Nikon#Digital_single_lens_reflex_cameras
1 , URL: /wiki/Nikon_1_series
Z , URL: /wiki/Nikon_Z-mount
","Mid-range","D90 D5000 D7000 D5100 1 V1 1 V2 D5200 D7100 D5300 1 V3 D5500 D7200 D5600 D7500 Z 6 Z 5 Z 6II Z fc"
"Nikon , URL: /wiki/Nikon
D , URL: /wiki/Nikon#Digital_single_lens_reflex_cameras
1 , URL: /wiki/Nikon_1_series
Z , URL: /wiki/Nikon_Z-mount
","Entry-level","D3100 1 J1 D3200 1 J2 1 S1 1 J3 1 AW1 D3300 1 J4 1 J5 D3400 D3500 Z 50"
"Olympus , URL: /wiki/Olympus_Corporation
Micro 4/3 , URL: /wiki/Micro_Four_Thirds_system
","High-end","PEN-F E-M1 Mark II E-M1X E-M1 Mark III"
"Olympus , URL: /wiki/Olympus_Corporation
Micro 4/3 , URL: /wiki/Micro_Four_Thirds_system
","Mid-range","E-M5 E-P5 E-M1 E-M5 Mark II E-M10 E-M10 Mark II E-M10 Mark III E-M5 Mark III E-M10 Mark IV"
"Olympus , URL: /wiki/Olympus_Corporation
Micro 4/3 , URL: /wiki/Micro_Four_Thirds_system
","Entry-level","E-PL1 E-P1 E-P2 E-PL2 E-PL3 E-P3 E-PM1 E-PL5 E-PM2 E-PL7 E-PL8 E-PL9 E-PL10"
"OM System , URL: /wiki/OM_Digital_Solutions
Micro 4/3 , URL: /wiki/Micro_Four_Thirds_system
","High-end","OM-1"
"OM System , URL: /wiki/OM_Digital_Solutions
Micro 4/3 , URL: /wiki/Micro_Four_Thirds_system
","Mid-range","E-P7"
"Panasonic , URL: /wiki/Panasonic
Lumix , URL: /wiki/Lumix
","High-end","GH1 GH2 GH3 GH4 GH5 G9 GH5S S1 S1R S1H BGH1 GH5II BS1H GH6"
"Panasonic , URL: /wiki/Panasonic
Lumix , URL: /wiki/Lumix
","Mid-range","G2 G3 GX1 G5 G6 GX7 G7 GX8 GX85 G85 GX9 G95 G100 S5"
"Panasonic , URL: /wiki/Panasonic
Lumix , URL: /wiki/Lumix
","Entry-level","GF1 G10 GF2 GF3 GF5 GF6 GM1 GM5 GF7 GF8 GX850 GF9 GF10"
"Pentax , URL: /wiki/Pentax_cameras
645 / , URL: /wiki/Pentax_645
K / , URL: /wiki/Pentax_cameras#K_Series_(Digital)
Q , URL: /wiki/Pentax_Q_series
","High-end","645D 645Z K-1 K-1 II K-3 III"
"Pentax , URL: /wiki/Pentax_cameras
645 / , URL: /wiki/Pentax_645
K / , URL: /wiki/Pentax_cameras#K_Series_(Digital)
Q , URL: /wiki/Pentax_Q_series
","Mid-range","K-7 K-5 K-30 K-5 II K-50 K-3 K-3 II K-70 KP"
"Pentax , URL: /wiki/Pentax_cameras
645 / , URL: /wiki/Pentax_645
K / , URL: /wiki/Pentax_cameras#K_Series_(Digital)
Q , URL: /wiki/Pentax_Q_series
","Entry-level","K-x K-r Q K-01 Q10 K-500 Q7 Q-S1"
"Samsung , URL: /wiki/Samsung_Electronics
NX , URL: /wiki/Samsung_NX_series
","High-end","NX1"
"Samsung , URL: /wiki/Samsung_Electronics
NX , URL: /wiki/Samsung_NX_series
","Mid-range","NX5 NX10 NX11 NX20 NX30 Galaxy NX NX500"
"Samsung , URL: /wiki/Samsung_Electronics
NX , URL: /wiki/Samsung_NX_series
","Entry-level","NX100 NX200 NX1000 NX210 NX300 NX1100 NX2000"
"Sony , URL: /wiki/Sony
α , URL: /wiki/Sony_%CE%B1
","High-end","α99V α7 α7S α7 II α7R II α7S II α99 II α9 α7R III α7 III α7R IV α9 II α7S III α1 α7 IV"
"Sony , URL: /wiki/Sony
α , URL: /wiki/Sony_%CE%B1
","Mid-range","α580 α560 α55V α77V NEX-7 NEX-6 α65V α57 α58 α6000 α77 II α6300 α6500 α6400 α6600 α7C"
"Sony , URL: /wiki/Sony
α , URL: /wiki/Sony_%CE%B1
","Entry-level","NEX-3/NEX-3C NEX-5/NEX-5C α33 α35 NEX-5N NEX-C3 NEX-F3 α37 NEX-5R NEX-5T α3000 α5000 α3500 α5100 α6100"
"Fujifilm , URL: /wiki/Fujifilm
X , URL: /wiki/Fujifilm_X-series
G , URL: /wiki/Fujifilm_GFX_series
","High-end","X-Pro2 X-T2 GFX 50S X-H1 X-T3 GFX 50R GFX100 X-Pro3 X-T4 GFX100S GFX50S II"
"Fujifilm , URL: /wiki/Fujifilm
X , URL: /wiki/Fujifilm_X-series
G , URL: /wiki/Fujifilm_GFX_series
","Mid-range","X-Pro1 X-E1 X-E2 X-T1 X-T10 X-T20 X-E3 X-T30 X-S10 X-E4 X-T30 II"
"Fujifilm , URL: /wiki/Fujifilm
X , URL: /wiki/Fujifilm_X-series
G , URL: /wiki/Fujifilm_GFX_series
","Entry-level","X-M1 X-A1 X-A2 X-A3 X-A10 X-A5 X-A20 X-T100 X-A7 X-T200"
"Sigma , URL: /wiki/Sigma_Corporation
L , URL: /wiki/Leica_L-Mount
","High-end","fp fp L"
"Leica , URL: /wiki/Leica_Camera
","High-end","M (Typ 240) M Monochrom (Typ 246) S SL SL2 SL2-S"
"Leica , URL: /wiki/Leica_Camera
","Entry-level","M-E (Typ 240)"
"Hasselblad , URL: /wiki/Hasselblad
XCD , URL: /wiki/Hasselblad#XCD-System
H , URL: /wiki/Hasselblad#H-System
","High-end","X1D-50c H6X H6D-50c H6D-100c"
