"v t e Office suites (list)","v t e Office suites (list)","v t e Office suites (list)","v t e Office suites (list)"
"Desktop , URL: /wiki/Desktop_computer
","Free and open-source , URL: /wiki/Free_and_open-source_software
","Apache OpenOffice Calligra Suite LibreOffice NeoOffice OnlyOffice",""
"Desktop , URL: /wiki/Desktop_computer
","Proprietary , URL: /wiki/Proprietary_software
","MobiSystems OfficeSuite Hancom Office iWork WPS Office Microsoft Office SoftMaker Office WordPerfect Office ConceptDraw Office",""
"Desktop , URL: /wiki/Desktop_computer
","Discontinued","AppleWorks Corel Home Office Go-oo Gobe Productive IBM Lotus SmartSuite IBM Lotus Symphony IBM Workplace Managed Client KOffice Microsoft Works OpenOffice.org Siag Office StarOffice, Oracle Open Office",""
"Mobile , URL: /wiki/Mobile_device
","Free and open-source , URL: /wiki/Free_and_open-source_software
","AndrOpen Office Collabora Office",""
"Mobile , URL: /wiki/Mobile_device
","Proprietary , URL: /wiki/Proprietary_software
","MobiSystems OfficeSuite Hancom Office iWork WPS Office Microsoft Office SoftMaker Office Documents To Go Polaris Office",""
"Mobile , URL: /wiki/Mobile_device
","Discontinued","Quickoffice",""
"Online (web-based) , URL: /wiki/Online_office_suite
","Free and open-source , URL: /wiki/Free_and_open-source_software
","Collabora Online Feng Office CE OnlyOffice Tiki Wiki CMS Groupware",""
"Online (web-based) , URL: /wiki/Online_office_suite
","Proprietary , URL: /wiki/Proprietary_software
","Google Workspace iWork Microsoft Office Hancom Office Zoho Office Suite",""
"Related technologies","File formats OpenDocument Office Open XML Spreadsheets","File formats OpenDocument Office Open XML Spreadsheets",""
"See also","Vector graphics editors Word processors","Vector graphics editors Word processors",""
"Category List Comparison","Category List Comparison","Category List Comparison","Category List Comparison"
