"null","null","null","null","null","null","null","null","null","null","null","null"
"Auslogics Disk Defrag","Auslogics","Freeware","FAT16, FAT32, NTFS","Windows XP and later","Yes","Yes","","Yes","Yes","Yes","9.5.0.2 (Free), 4.11.0.7 (Ultimate) (unknown date (unknown date) (Free), March 3, 2020 (2020-03-03) (Ultimate)) [±]"
"AVG PC TuneUp","AVG Technologies","Trialware","","","","","","","","","2015 (v15.0.1001.238) (November 30, 2014)"
"Contig","Microsoft","Freeware","NTFS","Windows XP and later; Windows Server 2003 and later","No[1]","Yes","No","Yes, with Windows Task Scheduler","No","Yes, with Windows Task Scheduler[a]","1.8 (July 4, 2016)[1]"
"Defraggler","Piriform","Freeware","FAT32, NTFS, exFAT, ReFS[2]","Windows XP and later","Yes","Yes","No","Yes, with Windows Task Scheduler[b]","Yes","Yes, with Windows Task Scheduler[a]","2.22.995 [4] (May 22, 2018 (2018-05-22)) [±]"
"Drive Optimizer (formerly Disk Defragmenter)","Microsoft","Bundled with Microsoft Windows","FAT16, FAT32, NTFS, ReFS","Windows 2000 and later; Windows 95 and later","Yes","Yes","Yes","Yes, with Windows Task Scheduler","No","No","Same as Windows"
"Diskeeper","Condusiv Technologies","Discontinued (formerly trialware","FAT16, FAT32, NTFS","Windows XP and later","Yes[5]","Yes[6]","Yes[7]","Yes[c]","Yes[8]","Yes","2020 (20.0.1302) (March 23, 2020 (2020-03-23)) [±]"
"JkDefrag","Jeroen Kessels","GNU GPL","FAT & NTFS","Windows 2000, Windows XP, Windows Vista","Yes","Yes","","","","","3.36.0.2 / August 31, 2008"
"O&O Defrag","O&O Software","Trialware","FAT16, FAT32, NTFS, exFAT","Windows 2000, XP, Vista, Server 2008, 7, and 8","Yes","Yes","","Yes","Yes","Yes","25.0.7210 (September 14, 2021) [±]"
"PageDefrag","Microsoft","Freeware","FAT16, FAT32, NTFS","Windows 2000, XP","No","No","No","No","Yes","No",""
"PerfectDisk","Raxco","Trialware","FAT16, FAT32, exFAT, NTFS, ReFS* and CSVFS[9]","Windows XP SP3 or higher (x86, x64), Windows 10, Windows Server 2003 SP1, Windows Server 2019[10]","Yes","Enterprise Console edition only","","Yes","Yes","Yes","PerfectDisk 14 Build 894(May 2, 2019)[11]"
"UltimateDefrag","DiskTrix","Trialware[12]","FAT32, NTFS","Windows XP and later","Yes","Yes","","Yes","Yes","","6.1.2.0 (28 July 2021)"
"UltraDefrag","Dmitri Arkhangelski, Justin Dearing, Sayem Chaklader, Stefan Pendl","Commercial software (8.0) / GNU GPL (7.1.x)","FAT12, FAT16, FAT32, NTFS, exFAT[13]","Windows NT 4.0 and later","Yes","Yes","Yes[d][14]","Yes, with Windows Task Scheduler","Yes","Yes, with Windows Task Scheduler[a]","9.0.1 (October 20, 2019; 2 years ago (2019-10-20)) [±], Open source version discontinued[15]"
"Vopt","GoldenBow (or DataTuna)[16]","Discontinued (formerly freeware)","FAT32, NTFS","Windows 2000 and later","Yes","","","Yes","","","9.21.0001 (November 14, 2010 (2010-11-14)) [±]"
"null","null","null","null","null","null","null","null","null","null","null","null"
