"English","Danish","Norwegian (Bokmål)","Swedish"
"afraid","bange, (arch., dial.:) ræd","redd, but also bange (archaic, mostly used in standard expressions like ""bange anelser"")","rädd, skrämd"
"afterwards","bagefter, derefter","etterpå, efterpå (conservative), deretter/derefter","efteråt, därefter"
"angry","vred","sint, vred (literary)[34]","arg, ilsk, ilsken, vred, förbannad"
"autumn","efterår, (poet.:) høst","høst, etterår/efterår (archaic)","höst"
"be correct, hold true","passe, stemme","stemme","stämma"
"boy","dreng, (colloquial:) gut","gutt, dreng (archaic or used in a more narrow sense)","pojke, dräng (archaic or used in a more narrow sense)"
"black","sort","svart, sort","svart"
"breakfast","morgenmad","frokost","frukost, morgonmål (dated)"
"breathe","ånde","puste, ånde","andas"
"cinema","biograf, kino (old-fashioned)","kino, biograf (older cinemas)","bio, biograf"
"cold","kold","kald, kold","kall, kylig, sval"
"to comb (verb)","rede","gre(ie), kjemme","kamma"
"decade","årti, tiår, dekade","tiår, årti, dekade","årtionde"
"difficult","svær, vanskelig","vanskelig","svår, vansklig, besvärlig"
"dinner","middag, aftensmad","middag","middag, supé (late dinner), kvällsmål (dated)"
"easy","nem, let","lett, enkel","lätt, enkel, simpel"
"evening","aften, (poet.:) kvæld","kveld, aften","kväll, afton"
"fact","kendsgerning, faktum","faktum, kjennsgjerning","faktum"
"fast, quick(ly)","hurtig, rask","fort (adv), rask (adj), hurtig","snabb (adj), snabbt (adv), fort (adv)"
"forward","frem(over)","frem(over), fram(over)","framåt"
"floor (storey)","etage, sal","etasje","våning, etage (rare)"
"frog","frø","frosk","groda"
"fun","sjov","moro, gøy","skoj, rolig, kul, lustig, komisk, festlig"
"future","fremtid","fremtid, framtid","framtid"
"hesitate","tøve, nøle","nøle","tveka"
"girl","pige","jente, pike","flicka, tjej, jänta, piga (archaic or used in a more narrow sense)"
"good","god(t)","bra, god(t)","bra, god"
"healthy","rask, sund, frisk","frisk, sunn","frisk, sund"
"hydrogen","brint,[35] hydrogen","hydrogen, vannstoff (archaic)","väte"
"... , isn't it?/didn't he? etc.","... , ikke/vel? ikke sandt?, ikke også?","... , ikke sant?","..., eller hur?, inte sant?"
"jealous","jaloux, skinsyg, misundelig","sjalu, misunnelig","avundsjuk, svartsjuk, missunnsam"
"last year","sidste år, i fjor","i fjor","förra året, i fjol"
"like (vb. enjoy)","kunne lide","like","tycka om, gilla, uppskatta"
"lunch","frokost","lunsj (alt. lønsj or lunch), formiddagsmat","lunch, frukost (dated), middag (dated)"
"maybe","måske, muligvis, kanske (old-fashioned)","kanskje, muligvis, måskje (archaic)","kanske, möjligtvis, möjligen"
"moustache","overskæg","bart, overskjegg","mustasch"
"oxygen","ilt,[35] oxygen","oksygen, surstoff","syre, oxygen (only in chemistry)"
"potato","kartoffel","potet, kartoffel (outdated)[36]","potatis"
"rubbish (nonsense)","sludder, vrøvl, vås, nonsens","sludder, vrøvl, nonsens, tull, tøys, vås","strunt, trams, nonsens, sladder"
"satisfied/pleased","tilfreds, fornøjet","fornøyd, tilfreds","nöjd, tillfreds"
"sheep","får","sau, smale (archaic/dialectal), får (archaic/dialectal, used in expressions/ fixed phrases )","får, lamm"
"short (person)","lille, lav","kort, lav","kort, kortväxt, liten"
"sometimes","somme tider, iblandt, (colloquial:) nogle gange, af og til, indimellem,","iblant, av og til, innimellom","ibland, av och till, då och då, emellanåt"
"spring(time)","forår, (poet.:) vår","vår, forår (archaic)","vår"
"still (yet)","stadigvæk, fremdeles (archaic), fortsat","fremdeles, fortsatt","fortfarande, ännu"
"team","hold","lag","lag, team"
"there, thither (about direction)","derhen","der hen, derhen (riksmål),[37] dit, dithen","dit, ditåt"
"toad","tudse","padde","padda"
"ugly","grim, (ethically:) styg","stygg, grim","ful, otäck"
"usual","sædvanlig, vanlig (archaic)","vanlig, sedvanlig","vanlig, sedvanlig"
"[earth]worm","orm","wyrm , URL: https://en.wiktionary.org/wiki/wyrm
","mask"
"wrong","forkert, gal(t)","gal(t), feil","fel, galet"
