"Name","Show in-line changes","Directory comparison","Binary comparison","Moved lines","3-way comparison","Merge","Structured comparison[24]","Manual compare alignment","Image compare"
"Beyond Compare , URL: /wiki/Beyond_Compare
","Yes","Yes","Yes","No","Yes (Files and Folders)","Yes (Pro only)","","Yes","Yes"
"Compare++ , URL: /wiki/Compare%2B%2B
","Yes","Yes","","","Yes","Yes","Yes (C/C++,C#,Java,Javascript,CSS3)","",""
"diff , URL: /wiki/Diff
","No","Yes","partly","No","No","No","","",""
"diff3 , URL: /wiki/Diff3
","No","No","","","Yes (non-optional)","","","",""
"Eclipse , URL: /wiki/Eclipse_(software)
","Yes","","","","No (only ancestor)","Yes","","No",""
"Ediff , URL: /wiki/Ediff
","Yes","Yes","Yes","","Yes","Yes","","",""
"ExamDiff Pro , URL: /wiki/ExamDiff_Pro
","Yes","Yes","Yes","Yes[25]","Yes (ExamDiff Pro Master only)[26]","Yes","","manual synchronization",""
"Far Manager , URL: /wiki/Far_Manager
","Yes (Via plugin) [27]","Yes","Yes","Yes (Via plugin) [27]","No","No","","",""
"fc , URL: /wiki/Microsoft_File_Compare
","No","No","Yes","","No","No","","",""
"FileMerge (aka opendiff) , URL: /wiki/Apple_Developer_Tools#FileMerge
","Yes","Yes","Yes","","Yes (optional ancestor)","Yes","","",""
"Guiffy SureMerge , URL: /wiki/Guiffy_SureMerge
","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes"
"IntelliJ IDEA , URL: /wiki/IntelliJ_IDEA
","Yes","Yes","Yes","No","Yes","Yes","","Yes","Yes"
"jEdit JDiff plugin , URL: /wiki/JEdit
","Yes","","","","No","Yes","","",""
"Lazarus , URL: /wiki/Lazarus_(software)
","","","","","","","","",""
"Meld , URL: /wiki/Meld_(software)
","Yes","Yes","No","No","Yes","Yes","","line alignment, unlink scroll",""
"Notepad++ (compare) , URL: /wiki/Notepad%2B%2B
","Yes","No","No","Yes","No","No","No","",""
"Perforce P4Merge , URL: /wiki/Perforce
","Yes","No","No","","Yes","Yes","","","Yes"
"Pretty Diff , URL: /wiki/Pretty_Diff
","Yes","Yes","No","No","No","No","Yes","No",""
"Tkdiff , URL: /wiki/Tkdiff
","Yes","No","No","No","No","No","","",""
"Total Commander , URL: /wiki/Total_Commander
","Yes","Yes","Yes","No","No","Yes","No","resync comparison","No"
"vimdiff , URL: /wiki/Vim_(text_editor)#Features_and_improvements_over_vi
","Yes","Yes (via DirDiff plugin)","","","Yes","Yes","","",""
"WinDiff , URL: /wiki/WinDiff
","Yes","Yes","Yes","Yes","No","No","","",""
"WinMerge , URL: /wiki/WinMerge
","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes"
"UCC , URL: /wiki/Unified_Code_Count_(UCC)
","Yes","Yes","Yes","Yes","No","Yes","","",""
"Name","Show in-line changes","Directory comparison","Binary comparison","Moved lines","3-way comparison","Merge","Structured comparison[24]","Manual compare alignment","Image compare"
