"v t e .NET","v t e .NET","v t e .NET","v t e .NET"
".NET strategy Libraries and frameworks",".NET strategy Libraries and frameworks",".NET strategy Libraries and frameworks",".NET strategy Libraries and frameworks"
"Implementations",".NET (Core) .NET Framework Version history .NET Compact Framework .NET Micro Framework DotGNU Mono XNA Framework",".NET (Core) .NET Framework Version history .NET Compact Framework .NET Micro Framework DotGNU Mono XNA Framework",""
"Architecture","Common Language Runtime (CLR) COM Interop Framework Class Library (FCL)","Common Language Runtime (CLR) COM Interop Framework Class Library (FCL)",""
"Components","ADO.NET Entity Framework ASP.NET Web Forms AJAX Core Dynamic Data MVC Razor ClickOnce Dynamic Language Runtime Extensible Application Markup Language (XAML) Language Integrated Query (LINQ) Managed Extensibility Framework Microsoft Silverlight Microsoft XNA Parallel Extensions Windows Communication Foundation (WCF) WCF Data Services Windows Forms (WinForms) Windows Identity Foundation (WIF) Windows Presentation Foundation (WPF) Windows Workflow Foundation (WF) .NET Remoting","ADO.NET Entity Framework ASP.NET Web Forms AJAX Core Dynamic Data MVC Razor ClickOnce Dynamic Language Runtime Extensible Application Markup Language (XAML) Language Integrated Query (LINQ) Managed Extensibility Framework Microsoft Silverlight Microsoft XNA Parallel Extensions Windows Communication Foundation (WCF) WCF Data Services Windows Forms (WinForms) Windows Identity Foundation (WIF) Windows Presentation Foundation (WPF) Windows Workflow Foundation (WF) .NET Remoting",""
"Tools","Obfuscators , URL: /wiki/Code_obfuscation
","Dotfuscator SmartAssembly CodeArmor",""
"Tools","Decompilers , URL: /wiki/Decompiler
",".NET Reflector dotPeek",""
"Tools","Misc","CLR Profiler ILAsm .NET Compiler Platform Native Image Generator (NGen) XAMLPad",""
"IDEs , URL: /wiki/Integrated_development_environment
","Visual Studio Blend Express MonoDevelop SharpDevelop Xamarin Studio","Visual Studio Blend Express MonoDevelop SharpDevelop Xamarin Studio",""
"Organizations",".NET Foundation Microsoft Xamarin",".NET Foundation Microsoft Xamarin",""
"Category List Commons","Category List Commons","Category List Commons","Category List Commons"
