"Distribution","Free software repositories","packages , URL: /wiki/Package_(package_management_system)
","Approximate number of source packages","Default package management tool(s)","Package format","Default installer","Graphical , URL: /wiki/Graphical_user_interface
","Netinstall , URL: /wiki/Installation_(computer_programs)#Network_installation
","Netboot , URL: /wiki/Netboot
"
"Alpine Linux , URL: /wiki/Alpine_Linux
","Free, and nonfree","13,888[183][184]","?","apk",".apk","setup-alpine","No","?","?"
"ALT Linux , URL: /wiki/ALT_Linux
","Free, and nonfree","8,300[185]","?","APT-RPM , URL: /wiki/APT-RPM
","RPM","","Yes","?","?"
"Arch Linux , URL: /wiki/Arch_Linux
","Free, and nonfree","12,588[186]","AUR , URL: /wiki/Arch_Linux#AUR
","Pacman , URL: /wiki/Pacman_(package_manager)
",".pkg.tar.zst , URL: /wiki/Zstandard
","arch-install-scripts , URL: https://github.com/archlinux/arch-install-scripts
archinstaller , URL: https://github.com/archlinux/archinstall
","No","Yes","iPXE , URL: /wiki/IPXE
"
"BLAG , URL: /wiki/BLAG_Linux_and_GNU
","Free only","10,000[191]","?","yum , URL: /wiki/Yellowdog_Updater,_Modified
","RPM","","Yes","No","No"
"Bodhi Linux , URL: /wiki/Bodhi_Linux
","Free, and nonfree","[a][192]","?","APT",".dpkg","Ubiquity","Yes","?","?"
"CentOS , URL: /wiki/CentOS
","Free, and nonfree","6,813[b][193]","?","up2date , URL: /wiki/Up2date
","RPM","Anaconda","Yes","Yes","?"
"Chakra , URL: /wiki/Chakra_(operating_system)
","Free, and nonfree","3,074[194]","CCR: 5,342[195]","Pacman (will be replaced by Akabei in future)",".pkg.tar.xz , URL: /wiki/Tar_(file_format)
","","Package manager in development","?","?"
"ClearOS , URL: /wiki/ClearOS
","Free, and nonfree","[c]","?","RPM, yum","RPM","","No","?","?"
"Clear Linux OS , URL: /wiki/Clear_Linux_OS
","?","?","?","?","?","?","?","?","?"
"CrunchBang Linux , URL: /wiki/CrunchBang_Linux
","Free, and nonfree","[d][192]","?","APT",".deb","","Yes","?","?"
"Debian , URL: /wiki/Debian
","Free, and nonfree","148,000[192]","28,923[e]","APT",".deb","Debian-Installer , URL: /wiki/Debian-Installer
","Yes","Yes","PXE , URL: /wiki/Preboot_Execution_Environment
"
"Devuan , URL: /wiki/Devuan
","Free, and nonfree","[f][192]","?","APT",".deb","Debian-Installer , URL: /wiki/Debian-Installer
","Yes","Yes","PXE , URL: /wiki/Preboot_Execution_Environment
"
"Dragora GNU/Linux-Libre , URL: /wiki/Dragora_GNU/Linux-Libre
","Free only","484","?","pkgsystem",".tlz","?","No","No","No"
"dyne:bolic , URL: /wiki/Dyne:bolic
","Free only","?","?","APT",".deb","Debian-Installer , URL: /wiki/Debian-Installer
","Yes","No","No"
"Fedora , URL: /wiki/Fedora_(operating_system)
","Free, and nonfree","66,075[196]","30,681[197]","DNF , URL: /wiki/DNF_(software)
PackageKit , URL: /wiki/PackageKit
","RPM","Anaconda , URL: /wiki/Anaconda_(installer)
","Yes","Yes","?"
"Gentoo , URL: /wiki/Gentoo_Linux
","Free, and nonfree","10,000[198]","19,092[199][g]","Portage , URL: /wiki/Portage_(software)
","ebuild , URL: /wiki/Ebuild
","None (third-party install scripts only)","Yes[h]","Yes","PXE , URL: /wiki/Preboot_Execution_Environment
"
"gNewSense , URL: /wiki/GNewSense
","Free only","?","?","APT",".deb","Debian-Installer , URL: /wiki/Debian-Installer
","Yes","Yes","No"
