"System","Office Integration","Multi Lingual","Languages Supported","Web-Based","Time Tracking","Attaching Emails to Business Objects","Desktop Environment","Global Search","LDAP Support"
"Act! CRM , URL: /wiki/Act!_CRM
","Yes","Yes","en, de, fr","Yes","","","Yes","Yes","No"
"Adempiere , URL: /wiki/Adempiere
","?","?","?","?","?","?","?","?","?"
"Base CRM , URL: /wiki/Base_CRM
","Yes","Yes","de, en, es, fr, nl, pl, pt","Yes","Yes","Yes","No","Yes","No"
"Capsule (CRM) , URL: /wiki/Capsule_(CRM)
","Gmail , URL: /wiki/Gmail
G Suite , URL: /wiki/G_Suite
","No","en","Yes","No","Yes","Yes","Yes","?"
"CiviCRM , URL: /wiki/CiviCRM
","?","Yes","Yes Over 40","Yes Integrated with Drupal, Wordpress, Joomla! or Backdrop","?","Yes (when email is sent from software)","?","Yes","?"
"Dolibarr , URL: /wiki/Dolibarr
","A module google is available for customer and agenda sync","Yes","Over 30","Yes","Yes","Yes (when email is sent from software)","?","Yes","Yes"
"Microsoft Dynamics CRM , URL: /wiki/Microsoft_Dynamics_CRM
","Yes","Yes","Yes over 40","Yes","Yes","Yes","No","Yes","Yes with ADFS"
"Epesi CRM , URL: /wiki/EpesiCRM
","Any type of file attachments","Yes","ar, bg, cs, da, de, el, en, es, et, fa, fi, fr, he, hr, hu, id, in, it, jp, ko, lt, nl, no, pl, pt, ro, ru, sk, sl, sr, sv, th, tr, vi, zh","Yes","Yes","Yes","?","?","?"
"GNU Enterprise , URL: /wiki/GNU_Enterprise
","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Group-Office , URL: /wiki/Group-Office
","Yes","Yes","Over 20 languages","Yes","Yes","?","?","?","?"
"HubSpot CRM Free , URL: /wiki/HubSpot#HubSpot_CRM_Free
","Gmail , URL: /wiki/Gmail
G Suite , URL: /wiki/G_Suite
Outlook , URL: /wiki/Microsoft_Outlook
Office 365 for Windows , URL: /wiki/Microsoft_Office
","Yes","en, fr, jp, de, pt, es[7]","Yes[6]","No","Yes[8]","Yes[9]","Yes","No"
"Neolane , URL: /wiki/Neolane
","?","?","?","?","?","?","?","?","?"
"Nutshell CRM , URL: /wiki/Nutshell_CRM
","Google Apps, Microsoft Exchange","No","(in English)","Yes","No","Yes","?","Yes","?"
"OnlyOffice , URL: /wiki/OnlyOffice
","Yes","Yes","en, de, fr, es, it, ru, lat","Yes","Yes","?","?","?","?"
"Oracle Advertising and Customer Experience (CX) , URL: /wiki/Oracle_Advertising_and_Customer_Experience_(CX)
","Yes","Yes","26 languages","Yes","No","Yes","Yes","Yes","Yes"
"Pega CRM , URL: /wiki/Pega_7
","?","?","?","?","?","?","?","Maybe[10]","Yes[11]"
"Pipedrive , URL: /wiki/Pipedrive
","Yes","Yes","de, en, es, et, fi, fr, it, no, nl, pl, pt, ru, tr, ko, ja","Yes","Yes","Yes","Yes","Yes","Yes"
"Pivotal CRM , URL: /wiki/Pivotal_CRM
","Yes","Yes","Yes","Web/Windows","?","Yes","?","Yes","Yes"
"Really Simple Systems , URL: /wiki/Really_Simple_Systems
","Yes","No","en","Yes","No","?","?","?","?"
"SageCRM , URL: /wiki/SageCRM
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Salesbox CRM , URL: /wiki/Salesbox_CRM
","Yes","Yes","de, en, es, fr, nl, pt, se, no, fi, tr, ro, ru, jp, ch, ko, hu","Yes","Yes","Yes","Yes","Yes","No"
"Salesforce.com , URL: /wiki/Salesforce.com
","Yes","Yes","en, fi, fr, de, es, it, ja, ko, pt-br, ru, sv, th, zh-cn, zh-tw, da, nl-nl","Yes","No","No","No","Yes","No"
"Siebel , URL: /wiki/Siebel_Systems
","Yes","Yes","Yes","Yes","No","Yes","?","?","Yes"
"SAP CRM , URL: /wiki/SAP_CRM
","Yes","Yes","Yes","Yes","No","Yes","Yes|","Yes","Yes"
"Snapforce CRM , URL: /wiki/Snapforce_CRM
","Yes","Yes","de, en, es, et, fi, fr, it, nl, pl, pt, tr, ko, ja, ru","Yes","No","Yes","?","Yes","Yes"
"Streak , URL: /wiki/Streak_(company)
","via Google Docs","Yes","de, en, es, fr, it, nl, pl, pt, pt-br, ru, zh-cn","Yes","No","?","?","?","?"
"SugarCRM , URL: /wiki/SugarCRM
","Yes - Outlook, Excel, Word Plugins[1]","Yes","sq_AL, ar_SA, bg_BG, ca_ES, zh_CN, hr_HR, cs_CZ, da_DK, nl_NL, en_UK, en_us, et_EE, fi_FI, fr_FR, de_DE, el_EL, he_IL, hu_HU, it_it, ja_JP, ko_KR, lv_LV, lt_LT, nb_NO, pl_PL, pt_PT, pt_BR, ro_RO, ru_RU, sr_RS, sk_SK, es_ES, es_LA, sv_SE, th_TH, zh_TW, tr_TR, uk_UA","Yes","Yes","Yes","?","Yes","Yes"
"SuiteCRM , URL: /wiki/SuiteCRM
","Via Plugin","Yes","20 languages","Yes","Yes","Yes","No","Yes","Yes"
"SuperOffice , URL: /wiki/SuperOffice
","Yes","Yes","cn, de, dk, en, es, fi, fr, it, jp, nl, no, ru, se, zh","Yes","Yes","?","?","?","?"
"Tryton , URL: /wiki/Tryton
","?","Yes","bg, ca, cs, de, en, es-ar, es-co, es-es, fr, nl, ru, sl","Yes","Yes","Yes","Yes","Yes","Yes"
"WORKetc , URL: /wiki/WORKetc
","Outlook Addon and Google Docs","Yes","de, en, es, fr, it, nl","Yes","Yes","Yes","?","Yes","?"
"Zoho CRM , URL: /wiki/Zoho_CRM
","Outlook & MS Office","Yes","en, fi, fr, de, es, it, ja, ko, pt-br, ru, sv, th, zh-cn, zh-tw, da, nl-nl, pl","Yes","Yes","Yes","?","Yes","Yes"
