"Software","Web-based , URL: /wiki/Web-based
","Hosted on-premises , URL: /wiki/On-premises_software
","SaaS , URL: /wiki/Software_as_a_service
","License , URL: /wiki/Software_license
","Programming language"
"24SevenOffice , URL: /wiki/24SevenOffice
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Actionspace , URL: /wiki/Actionspace
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"AnyChart , URL: /wiki/AnyChart
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","JavaScript , URL: /wiki/JavaScript
"
"Apache Allura , URL: /wiki/Apache_Allura
","Yes","Yes","","Apache License , URL: /wiki/Apache_License
","Python , URL: /wiki/Python_(programming_language)
"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Apache License , URL: /wiki/Apache_License
","Java , URL: /wiki/Java_(programming_language)
XML , URL: /wiki/XML
FreeMarker , URL: /wiki/FreeMarker
Groovy , URL: /wiki/Groovy_(programming_language)
JavaScript , URL: /wiki/JavaScript
"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Yes","Yes","Yes","Apache License , URL: /wiki/Apache_License
","Python , URL: /wiki/Python_(programming_language)
"
"Asana , URL: /wiki/Asana_(software)
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Assembla , URL: /wiki/Assembla
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Axosoft , URL: /wiki/Axosoft
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Basecamp , URL: /wiki/Basecamp_Classic
","Yes[1]","No[2]","Yes","Proprietary , URL: /wiki/Proprietary_software
","Ruby , URL: /wiki/Ruby_(programming_language)
"
"BigGantt , URL: /wiki/BigGantt
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java, Angular"
"BigPicture , URL: /wiki/BigPicture
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java, Angular"
"Calligra Plan , URL: /wiki/Calligra_Plan
","No","File-based","No","GPL , URL: /wiki/GPL
","C++ , URL: /wiki/C%2B%2B
Java , URL: /wiki/Java_(programming_language)
"
"CEITON , URL: /wiki/CEITON
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
JavaScript , URL: /wiki/JavaScript
"
"Clarizen , URL: /wiki/Clarizen
","Yes[3]","No","Yes[3]","Proprietary , URL: /wiki/Proprietary_software
",""
"Clubhouse Software , URL: /wiki/Clubhouse_Software
","Yes","","Yes","Proprietary , URL: /wiki/Proprietary_software
","Clojure , URL: /wiki/Clojure
JavaScript , URL: /wiki/JavaScript
"
"ConceptDraw Project , URL: /wiki/ConceptDraw_Project
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"ConceptDraw PLAN , URL: /wiki/ConceptDraw_Project
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
Java , URL: /wiki/Java_(programming_language)
"
