"Model","Launch","Micro-archi-tecture","Core","Fab (nm)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory","GFLOPS , URL: /wiki/GFLOPS
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","Notes"
"Model","Launch","Micro-archi-tecture","Core","Fab (nm)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core clock (MHz)","Memory clock (MHz)","Core config","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","Bus type","bit , URL: /wiki/Bit
","Single precision , URL: /wiki/Single_precision_floating-point_format
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","Vulkan , URL: /wiki/Vulkan_(API)
","Notes"
"FireGL 8700","2001","R200","Radeon 8500 , URL: /wiki/Radeon_R200
","150","AGP , URL: /wiki/Accelerated_Graphics_Port
","250","270","2:4:8:41","1","2","64","8.64","DDR","64 × 2","Unknown","8.1","1.4","N/A",""
"FireGL 8800","2001","R200","Radeon 8500 , URL: /wiki/Radeon_R200
","150","AGP , URL: /wiki/Accelerated_Graphics_Port
","300","290","2:4:8:41","1.2","2.4","128","9.28","DDR","64 × 2","Unknown","8.1","1.4","N/A",""
"FireGL T2-64","2003","R300","Radeon 9600 Pro , URL: /wiki/Radeon_R300
","130","AGP , URL: /wiki/Accelerated_Graphics_Port
","325","200","2:4:4:41","1.3","1.3","64","6.4","DDR","128","Unknown","9.0","2.0","N/A",""
"FireGL T2-128","2003","R300","Radeon 9600 Pro , URL: /wiki/Radeon_R300
","130","AGP , URL: /wiki/Accelerated_Graphics_Port
","400","320","2:4:4:41","1.6","1.6","128","10.2","DDR","128","Unknown","9.0","2.0","N/A",""
"FireGL Z1-128","2002","R300","Radeon 9500 Pro , URL: /wiki/Radeon_R300
","150","AGP , URL: /wiki/Accelerated_Graphics_Port
","325","310","4:4:4:41","1.3","1.3","128","19.8","DDR","256","Unknown","9.0","2.0","N/A",""
"FireGL X1-128","2002","R300","Radeon 9700 , URL: /wiki/Radeon_R300
","150","AGP , URL: /wiki/Accelerated_Graphics_Port
","325","310","4:8:8:81","2.6","2.6","128","19.8","DDR","256","Unknown","9.0","2.0","N/A",""
"FireGL X1-256","2002","R300","Radeon 9700 Pro , URL: /wiki/Radeon_R300
","150","AGP Pro , URL: /wiki/Accelerated_Graphics_Port
","325","310","4:8:8:81","2.6","2.6","256","19.8","DDR","256","Unknown","9.0","2.0","N/A",""
"FireGL X2-256","2003","R300","Radeon 9800 Pro , URL: /wiki/Radeon_R300
","150","AGP","380","350","4:8:8:81","3.04","3.04","256","22.4","DDR2","256","Unknown","9.0","2.0","N/A",""
"FireGL X2-256T","2003","R300","Radeon 9800 XT , URL: /wiki/Radeon_R300
","150","AGP","412","344","4:8:8:81","3.3","3.3","256","22.0","DDR2","256","Unknown","9.0","2.0","N/A",""
"FireGL X3-256","2004","R300","Radeon X800 XT , URL: /wiki/Radeon_R420
","130","AGP","450","450","6:12:12:121","5.4","5.4","256","28.8","GDDR3","256","Unknown","9.0b","2.0","N/A",""
"FireGL V3100","2005","R300","Radeon X300 XT , URL: /wiki/Radeon_R300
","110","PCIe , URL: /wiki/PCI_Express
","400","200","2:4:4:41","1.6","1.6","128","6.4","DDR","128","Unknown","9.0","2.0","N/A",""
"FireGL V3200","2005","R300","Radeon X600 XT , URL: /wiki/Radeon_R300
","130","PCIe , URL: /wiki/PCI_Express
","500","400","2:4:4:41","2","2","128","12.8","DDR2","128","Unknown","9.0b","2.0","N/A",""
"FireGL V3300","2006","R500","Radeon 1300 Pro , URL: /wiki/Radeon_R520
","90","PCIe , URL: /wiki/PCI_Express
","600","400","2:4:4:41","2.4","2.4","128","6.4","GDDR2 , URL: /wiki/GDDR2
","64","Unknown","9.0c","2.0","N/A",""
