"v t e Public-sector space agencies","v t e Public-sector space agencies","v t e Public-sector space agencies"
"Africa","Pan-African and Pan-Arab","RASCOM Arabsat"
"Africa","National","ASAL GSSTC NARRS ESSTI NASRDA SANSA"
"Americas","North America","CSA AEM NASA NESDIS OSC FAA/AST FCC USSF USSPACECOM NRO NORAD"
"Americas","South America","CONAE ABE AEB DCTA INPE ITA CCE ABAE IVIC"
"Asia","Pan-Asian and Pan-Arab","APSCO Arabsat"
"Asia","Central Asia","KazCosmos1 Roscosmos1 SRI VK TNSA1"
"Asia","East Asia","CNSA SASTIND CASC CALT CAST CCF CGWIC SSD CASIC NSPO JAXA 2 ISAS NICT JSS NADA KARI SaTReC"
"Asia","South Asia","SPARRSO ISRO 2 Antrix Corp DoS NRSC DSA SUPARCO"
"Asia","Southeast Asia","LAPAN MYSA PhilSA SSTA GISTDA VNSC"
"Asia","Southwest Asia","ArmCosmos1 MAKA1 NSSA NEHSA ISA ISRC ISA NCSR SSC KACST-SRI SSA2 GORS TUA TÜBİTAK UZAY UAESA (MBRSC)"
"Europe , URL: /wiki/Europe
","Pan-European","CEN/CENELEC CEPT ETSI Eurocontrol ECAC ESA ECSS ESRTC EAC ESRIN ECSAT ESAC ESOC ESTRACK Guiana Space Centre EUMETSAT EUTELSAT IGO ESO"
"Europe , URL: /wiki/Europe
","EU , URL: /wiki/European_Union
EEA , URL: /wiki/European_Economic_Area
","DG DEFIS EUSPA EU SatCen EASA BEREC ALR 2 BelSPo BIRA-IASB SRTI2 AEC CSO2 DTU Space ESO1 CNES2 AAE CdE DLR2 HSC HSO2 ASI LSA LSO1 SRON NSO NSC POLSA2 CBK PAN UKE KRRiT ORO ULC PTSPACE ROSA2 INTA SNSA"
"Europe , URL: /wiki/Europe
","Other","ArmCosmos1 MAKA1 BSA1 KazCosmos1 Roscosmos1 SRI VKO SSO TUA TÜBİTAK UZAY UKSA 2 SSAU1"
"Oceania","ASA CSIRO NZSA","ASA CSIRO NZSA"
"World","CCSDS CEOS COSPAR IPDA Cospas-Sarsat GEO GSC IADC ICSMD IMSO ISECG ISS MCB ITSO Intersputnik ODCWG ITU-R UNCOPUOS UNOOSA","CCSDS CEOS COSPAR IPDA Cospas-Sarsat GEO GSC IADC ICSMD IMSO ISECG ISS MCB ITSO Intersputnik ODCWG ITU-R UNCOPUOS UNOOSA"
"Former","BNSC KCST NAL NASDA SSP Interkosmos","BNSC KCST NAL NASDA SSP Interkosmos"
"See also: Timeline of first orbital launches by country 1 Preceded by the Soviet space program 2 Preceded by Interkosmos participation","See also: Timeline of first orbital launches by country 1 Preceded by the Soviet space program 2 Preceded by Interkosmos participation","See also: Timeline of first orbital launches by country 1 Preceded by the Soviet space program 2 Preceded by Interkosmos participation"
