"v t e Intel processors","v t e Intel processors","v t e Intel processors"
"Lists","Microprocessors Atom Celeron Pentium Pro II III 4 D M Core Core 2 i3 i5 i7 i9 M Xeon Quark Itanium Microarchitectures Chipsets","Microprocessors Atom Celeron Pentium Pro II III 4 D M Core Core 2 i3 i5 i7 i9 M Xeon Quark Itanium Microarchitectures Chipsets"
"Microarchitectures , URL: /wiki/List_of_Intel_CPU_microarchitectures
","x86-32 , URL: /wiki/IA-32
32-bit , URL: /wiki/32-bit_computing
","P5 P6 P6 variant (Pentium M) P6 variant (Enhanced Pentium M) NetBurst"
"Microarchitectures , URL: /wiki/List_of_Intel_CPU_microarchitectures
","x86-64 , URL: /wiki/X86-64
64-bit , URL: /wiki/64-bit_computing
","Core Penryn Nehalem Westmere Sandy Bridge Ivy Bridge Haswell Broadwell Skylake Cannon Lake Sunny Cove Cypress Cove Willow Cove Golden Cove Raptor Cove"
"Microarchitectures , URL: /wiki/List_of_Intel_CPU_microarchitectures
","x86 , URL: /wiki/X86
ULV , URL: /wiki/Ultra-low-voltage_processor
","Bonnell Saltwell Silvermont Goldmont Goldmont Plus Tremont Gracemont"
"Current products","x86-64 , URL: /wiki/X86-64
64-bit , URL: /wiki/64-bit_computing
","Atom Celeron Pentium Core 10th gen 11th gen 12th gen Xeon"
"Discontinued","BCD , URL: /wiki/Binary-coded_decimal
4-bit , URL: /wiki/4-bit_computing
","4004 (1971) 4040 (1974)"
"Discontinued","8-bit , URL: /wiki/8-bit_computing
","8008 (1972) 8080 (1974) 8085 (1977)"
"Discontinued","x86 , URL: /wiki/X86
16-bit , URL: /wiki/16-bit
","8086 (1978) 8088 (1979) 80186 (1982) 80188 (1982) 80286 (1982)"
"Discontinued","x87 , URL: /wiki/X87
FPUs , URL: /wiki/Floating-point_unit
","8/16-bit databus 8087 (1980) 16-bit databus 80187 80287 80387SX 32-bit databus 80387DX 80487"
"Discontinued","IA-32 , URL: /wiki/IA-32
32-bit , URL: /wiki/32-bit_computing
","80386 SX 376 EX 80486 SX DX2 DX4 SL RapidCAD OverDrive A100/A110 Atom CE SoC Celeron (1998) M D (2004) Pentium Original P5 OverDrive Pro II II OverDrive III 4 M Dual-Core Core Xeon P6-based NetBurst-based Core-based Quark Tolapai"
"Discontinued","x86-64 , URL: /wiki/X86-64
64-bit , URL: /wiki/64-bit_computing
","Atom SoC CE Celeron D Dual-Core Pentium 4 D Extreme Edition Dual-Core Core 2 1st gen 2nd gen 3rd gen 4th gen 5th gen 6th gen 7th gen 8th gen 9th gen M Xeon Nehalem-based Sandy Bridge-based Ivy Bridge-based Haswell-based Broadwell-based Skylake-based"
"Discontinued","Other","CISC iAPX 432 EPIC Itanium RISC i860 i960 StrongARM XScale"
"Related","Tick–tock model Process–architecture–optimization model Intel GPUs GMA Intel HD, UHD, and Iris Graphics Xe PCHs SCHs ICHs PIIXs Stratix Codenames Larrabee","Tick–tock model Process–architecture–optimization model Intel GPUs GMA Intel HD, UHD, and Iris Graphics Xe PCHs SCHs ICHs PIIXs Stratix Codenames Larrabee"
