"","Product import-export","Statistics","Stock control","WYSIWYG editor"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Yes"
"Batavi , URL: /wiki/Batavi_(software)
","Yes","Yes","Yes","Yes"
"BigCommerce , URL: /wiki/BigCommerce
","Yes","Yes","Yes","Yes"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","Yes","Yes","Yes"
"KonaKart , URL: /wiki/KonaKart
","Yes","Yes","Yes","Yes"
"Magento , URL: /wiki/Magento
","Yes","Yes","Yes","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","Yes"
"osCommerce , URL: /wiki/OsCommerce
","add-on","Yes","Yes","add-on"
"pimcore , URL: /wiki/Pimcore
","Yes","Yes","Yes","Yes"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","Yes","Yes"
"Shopify , URL: /wiki/Shopify
","Yes","Yes","Yes","No"
"SupaDupa , URL: /wiki/SupaDupa
","Yes","Yes","Yes","No"
"WooCommerce , URL: /wiki/WooCommerce
","Yes","Yes","Yes","Yes"
"Zen Cart , URL: /wiki/Zen_Cart
","add-on","Yes","Yes","add-on"
"","Product import-export","Statistics","Stock control","WYSIWYG editor"
