"","Display","Resolution , URL: /wiki/Display_resolution
","Colors , URL: /wiki/Color_depth
","Controller , URL: /wiki/Game_controller
","media , URL: /wiki/Multimedia
","Operating System , URL: /wiki/Operating_system
"
"GP2X , URL: /wiki/GP2X
","3.5"" Backlit TFT LCD","320 × 240","262,144 colors (F100); 16.77 million colors (F200)","Eight-Directional Digital Stick","Secure Digital , URL: /wiki/Secure_Digital
",""
"GPD Win , URL: /wiki/GPD_Win
","5.5"" backlit H-IPS touchscreen","1280 × 720","","D-pad , URL: /wiki/D-pad
","video game ROM , URL: /wiki/ROM_image
ISO , URL: /wiki/ISO
MicroSD , URL: /wiki/MicroSD
","Windows 10 , URL: /wiki/Windows_10
"
"GPD Win 2 , URL: /wiki/GPD_Win_2
","Miracast , URL: /wiki/Miracast
Intel WiDi , URL: /wiki/Intel_WiDi
","1280 × 720 (w/4K video support, 4096x2304 max)","","2x analog sticks, D-pad, 4 face buttons, 6 shoulder buttons, 80-button QWERTY keyboard, touchscreen","video game ROM , URL: /wiki/ROM_image
ISO , URL: /wiki/ISO
MicroSD , URL: /wiki/MicroSD
","Windows 10 , URL: /wiki/Windows_10
"
"Pandora , URL: /wiki/Pandora_(console)
","4.3"" Backlit LCD touchscreen","800 × 480","16,777,216 colours","Two analogue nubs, 4-Way D-pad, 2 shoulder buttons, 46 key qwerty keyboard, touchscreen","SD , URL: /wiki/Secure_Digital
SDHC , URL: /wiki/Secure_Digital
SDXC , URL: /wiki/Secure_Digital
",""
"Game Boy Micro , URL: /wiki/Game_Boy_Micro
","LCD , URL: /wiki/Liquid-crystal_display
","240 × 160","32,768 colors","D-pad , URL: /wiki/D-pad
","cartridge , URL: /wiki/ROM_cartridge
",""
"Gizmondo , URL: /wiki/Gizmondo
","2.8 in. LCD","240 × 320","65,536 colors","Four-directional digital pad","SD , URL: /wiki/Secure_Digital
","Windows CE , URL: /wiki/Windows_ce
"
"PlayStation Portable , URL: /wiki/PlayStation_Portable
","4.3 in. LCD","480 × 272","16,777,216 colours","analog thumbstick , URL: /wiki/Analog_stick
","UMD , URL: /wiki/Universal_Media_Disc
",""
"GCW Zero , URL: /wiki/GCW_Zero
","3.5"" Backlit TFT LCD","320 × 240","262,144 colors","8-directional digital pad, analog joystick, L/R shoulder buttons, ABXY action buttons, start & select buttons, power slider","SDHC , URL: /wiki/Secure_Digital
SDXC , URL: /wiki/Secure_Digital
",""
"Nintendo DS , URL: /wiki/Nintendo_DS
","Two 3 in. LCDs","256 × 192 (×2)","262,144 colors","touchscreen , URL: /wiki/Touchscreen
","Proprietary matrix memory cards",""
"N-Gage QD , URL: /wiki/N-Gage_QD
","2.1 in. LCD","176 × 208","4,096 colors","Four-directional digital pad","MMC , URL: /wiki/MultiMediaCard
",""
