"Client","Offline support","Search","Annotations","News Filtering","Pluginable","Automatic Update","Publish Capabilities"
"Akregator , URL: /wiki/Akregator
","Yes","Yes","No","Yes","?","Yes","No"
"Amarok , URL: /wiki/Amarok_(software)
","?","?","?","?","?","?","?"
"AOL Explorer , URL: /wiki/AOL_Explorer
","?","?","?","?","?","?","?"
"Avant , URL: /wiki/Avant_Browser
","?","?","?","?","?","?","?"
"Awasu , URL: /wiki/Awasu
","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BlogBridge , URL: /wiki/BlogBridge
","?","?","?","?","?","?","?"
"Canto , URL: /wiki/Canto_(news_aggregator)
","?","?","?","?","?","?","?"
"Claws Mail , URL: /wiki/Claws_Mail
","?","?","?","?","?","?","?"
"CommaFeed , URL: /wiki/CommaFeed
","?","Yes","?","?","?","Yes","?"
"Cooliris , URL: /wiki/Cooliris_(plugin)
","?","?","?","?","?","?","?"
"Feed Viewer , URL: /wiki/Feed_Viewer
","Yes","Yes","?","No","No","Yes","Sharing"
"FeedDemon , URL: /wiki/FeedDemon
","Yes","?","?","?","?","?","?"
"Feedreader , URL: /wiki/Feedreader_(Windows_Application)
","Yes","Yes","?","?","?","Yes","?"
"Flock , URL: /wiki/Flock_(web_browser)
","?","?","?","?","?","?","?"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","?","?","?","Yes","?"
"IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","?","?","?","?","?","?","?"
"Internet Explorer , URL: /wiki/Internet_Explorer
","?","?","?","?","?","?","?"
"iTunes , URL: /wiki/ITunes
","?","?","?","?","?","?","?"
"Juice , URL: /wiki/Juice_(aggregator)
","?","?","?","?","?","?","?"
"K-Meleon , URL: /wiki/K-Meleon
","?","?","?","?","?","?","?"
"Kazehakase , URL: /wiki/Kazehakase
","?","?","?","?","?","?","?"
"Liferea , URL: /wiki/Liferea
","Yes","Yes","?","Yes","?","Yes","?"
"Mail (OS X) , URL: /wiki/Mail_(OS_X)
","?","?","?","?","?","?","?"
"Maxthon , URL: /wiki/Maxthon
","?","?","?","?","?","?","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","?","?","?","?","?","?","?"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","?","?","?","?","?","?","?"
"Mozilla Firefox , URL: /wiki/Mozilla_Firefox
","?","?","?","?","?","?","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","Yes","Yes","?","Yes","?","Yes","?"
"NetNewsWire , URL: /wiki/NetNewsWire
","Yes","Yes","?","?","?","?","?"
"Netscape Browser , URL: /wiki/Netscape_Browser
","?","?","?","?","?","?","?"
"Netscape Navigator 9 , URL: /wiki/Netscape_Navigator_9
","?","?","?","?","?","?","?"
"Newsbeuter , URL: /wiki/Newsbeuter
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"NewsBlur , URL: /wiki/NewsBlur
","Yes","Yes","Yes","Yes","?","?","Yes"
"NewsFire , URL: /wiki/NewsFire
","?","?","?","?","?","?","?"
"OmniWeb , URL: /wiki/OmniWeb
","?","?","?","?","?","?","?"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","Yes","?","Yes","No","Yes","No"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","?","?","?","?","?","?","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","?","?","?","?","?","?","?"
"RSS Bandit , URL: /wiki/RSS_Bandit
","?","?","?","?","?","?","?"
"RSS Guard , URL: /wiki/RSS_Guard
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"RSSOwl , URL: /wiki/RSSOwl
","No","Yes","?","Yes","Yes","Yes","?"
"Safari , URL: /wiki/Safari_(web_browser)
","?","?","?","?","?","?","?"
"Sage , URL: /wiki/Sage_(Mozilla_Firefox_extension)
","?","?","?","?","?","?","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","?","?","?","?","?","?","?"
"Shiira , URL: /wiki/Shiira
","?","?","?","?","?","?","?"
"Sleipnir , URL: /wiki/Sleipnir_(web_browser)
","?","?","?","?","?","?","?"
"Songbird , URL: /wiki/Songbird_(software)
","?","?","?","?","?","?","?"
"The Bat! , URL: /wiki/The_Bat!
","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Old Reader , URL: /wiki/The_Old_Reader
","Via some mobile apps","Yes","?","?","?","Yes","Sharing"
"Tiny Tiny RSS , URL: /wiki/Tiny_Tiny_RSS
","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Winamp , URL: /wiki/Winamp
","?","?","?","?","?","?","?"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","?","?","?","?","?","?","?"
"Zimbra , URL: /wiki/Zimbra
","?","?","?","?","?","?","?"
"Zune , URL: /wiki/Zune#Zune_software
","?","?","?","?","?","?","?"
"Client","Offline support","Search","Annotations","News Filtering","Pluginable","Automatic Update","Publish Capabilities"
