"","KDE Software Compilation , URL: /wiki/KDE_Software_Compilation
","GNOME , URL: /wiki/GNOME
","Mate , URL: /wiki/MATE_(software)
","Cinnamon , URL: /wiki/Cinnamon_(desktop_environment)
","Xfce , URL: /wiki/Xfce
","LXDE , URL: /wiki/LXDE
","ROX Desktop , URL: /wiki/ROX_Desktop
","Étoilé","EDE , URL: /w/index.php?title=Equinox_Desktop_Environment&action=edit&redlink=1
","Enlightenment , URL: /wiki/Enlightenment_(software)
"
"X window manager , URL: /wiki/X_window_manager
","KWin , URL: /wiki/KWin
","Mutter , URL: /wiki/Mutter_(window_manager)
","Marco , URL: /wiki/MATE_(software)#Components
","Muffin , URL: /wiki/Muffin_(software)
","Xfwm4 , URL: /wiki/Xfce#Xfwm
","Openbox , URL: /wiki/Openbox
","OroboROX","Azalea","edewm","Enlightenment"
"X display manager , URL: /wiki/X_display_manager_(program_type)
","KDM , URL: /wiki/KDE_Display_Manager
SDDM , URL: /wiki/Simple_Desktop_Display_Manager
","GDM , URL: /wiki/GNOME_Display_Manager
","","LightDM , URL: /wiki/LightDM
","","LXDM","","","elma","Entrance , URL: /wiki/Entrance_(display_manager)
"
"File manager , URL: /wiki/File_manager
","Dolphin , URL: /wiki/Dolphin_(file_manager)
Konqueror , URL: /wiki/Konqueror
SC 4 , URL: /wiki/KDE_Software_Compilation_4
","Files , URL: /wiki/GNOME_Files
","Caja , URL: /wiki/MATE_(software)#Components
","Nemo , URL: /wiki/Nemo_(file_manager)
","Thunar , URL: /wiki/Thunar
","PCManFM , URL: /wiki/PCMan_File_Manager
","ROX Filer","","Efiler","EFM, Entropy"
"Widget toolkit , URL: /wiki/Widget_toolkit
","Qt , URL: /wiki/Qt_(framework)
","GTK , URL: /wiki/GTK
","GTK , URL: /wiki/GTK
","GTK , URL: /wiki/GTK
","GTK , URL: /wiki/GTK
","GTK+ , URL: /wiki/GTK%2B
Qt , URL: /wiki/Qt_(framework)
","GTK , URL: /wiki/GTK
","GNUstep , URL: /wiki/GNUstep
","FLTK , URL: /wiki/FLTK
","Elementary"
"Terminal emulator , URL: /wiki/Terminal_emulator
","Konsole , URL: /wiki/Konsole
","GNOME Terminal , URL: /wiki/GNOME_Terminal
","MATE Terminal , URL: /wiki/MATE_(software)#Components
","GNOME Terminal , URL: /wiki/GNOME_Terminal
","Terminal , URL: /wiki/Terminal_(Xfce)
","LXTerminal","ROXTerm","aterm , URL: /w/index.php?title=Aterm&action=edit&redlink=1
","","Terminology"
"Text editor , URL: /wiki/Text_editor
","KWrite , URL: /wiki/KWrite
Kate , URL: /wiki/Kate_(text_editor)
","gedit , URL: /wiki/Gedit
","Pluma , URL: /wiki/Pluma_(text_editor)
","Xed","Mousepad , URL: /wiki/Xfce#Mousepad
Leafpad , URL: /wiki/Leafpad
","Leafpad , URL: /wiki/Leafpad
","Edit","TextEdit , URL: /wiki/TextEdit
","","Eyesight, Ecrire"
"Video player , URL: /wiki/Video_player_(software)
","Dragon Player , URL: /wiki/Kdemultimedia#Dragon_Player
Kaffeine , URL: /wiki/Kaffeine
SC 4 , URL: /wiki/KDE_Software_Compilation_4
","Videos , URL: /wiki/GNOME_Videos
","","Celluloid","Parole","lxine","mplayer-rox","","","Enna (media center), Eclair"
"Audio player , URL: /wiki/Audio_player_(software)
","JuK , URL: /wiki/JuK
Amarok , URL: /wiki/Amarok_(software)
","Banshee , URL: /wiki/Banshee_(media_player)
Rhythmbox , URL: /wiki/Rhythmbox
","","","Parole","LXMusic","MusicBox","Melodie","","Enjoy"
"CD burners , URL: /wiki/Optical_disc_authoring_software
","K3b , URL: /wiki/K3b
","Brasero , URL: /wiki/Brasero_(software)
","","","Xfburn","","RoxISO","","",""
"CD ripper , URL: /wiki/CD_ripper
","K3b , URL: /wiki/K3b
","Sound Juicer , URL: /wiki/Sound_Juicer
","","","","","Ripper","","","Extrackt"
