"Desktop publishing software","PDF , URL: /wiki/PDF
","EPS , URL: /wiki/Encapsulated_PostScript
","SVG , URL: /wiki/Scalable_Vector_Graphics
","TeX , URL: /wiki/TeX
LaTeX , URL: /wiki/LaTeX
","RTF , URL: /wiki/Rich_Text_Format
","HTML , URL: /wiki/HTML
","Word , URL: /wiki/Microsoft_Word
.doc , URL: /wiki/DOC_(computing)
","OOXML , URL: /wiki/Office_Open_XML
","Other"
"Apache OpenOffice Writer , URL: /wiki/Apache_OpenOffice_Writer
","Yes","Yes","No","No","Yes","Yes","Yes","Yes","PSD , URL: /wiki/Adobe_Photoshop#features
WPD , URL: /wiki/WordPerfect
XLS , URL: /wiki/Microsoft_Excel_file_format
"
"Collabora Online , URL: /wiki/Collabora_Online
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ODF , URL: /wiki/ODF
PSD , URL: /wiki/Adobe_Photoshop#features
WPD , URL: /wiki/WordPerfect
XLSX , URL: /wiki/Microsoft_Excel_file_format
"
"CorelDRAW , URL: /wiki/CorelDRAW
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","PSD , URL: /wiki/Adobe_Photoshop#features
AI , URL: /wiki/Adobe_Illustrator_Artwork
SWF , URL: /wiki/SWF
WPD , URL: /wiki/WordPerfect
"
"Fatpaint , URL: /wiki/Fatpaint
","No","No","No","No","No","No","No","No","JPG , URL: /wiki/Jpg
PNG , URL: /wiki/Portable_Network_Graphics
"
"Flare , URL: /wiki/Flare
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","XLS , URL: /wiki/Microsoft_Excel_file_format
Adobe Framemaker , URL: /wiki/Adobe_Framemaker
Adobe RoboHelp , URL: /wiki/Adobe_RoboHelp
Microsoft Compiled HTML Help , URL: /wiki/Microsoft_Compiled_HTML_Help
DITA , URL: /wiki/Darwin_Information_Typing_Architecture
"
"FrameMaker , URL: /wiki/FrameMaker
","Yes","Yes","Yes","No","Yes","No","Yes","No","WPD , URL: /wiki/WordPerfect
"
"InDesign , URL: /wiki/InDesign
","Yes","Yes","No","No","Yes","No","Yes","Yes","PSD , URL: /wiki/Adobe_Photoshop#features
AI , URL: /wiki/Adobe_Illustrator_Artwork
SWF , URL: /wiki/SWF
WPD , URL: /wiki/WordPerfect
XLS , URL: /wiki/Microsoft_Excel_file_format
"
"InPage , URL: /wiki/InPage
","No","Yes","No","No","No","No","No","No","No"
"iStudio Publisher , URL: /wiki/IStudio_Publisher
","Yes","No","No","No","No","No","No","No","PSD , URL: /wiki/Adobe_Photoshop#features
AI , URL: /wiki/Adobe_Illustrator_Artwork
"
"LibreOffice , URL: /wiki/LibreOffice
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ODF , URL: /wiki/ODF
PSD , URL: /wiki/Adobe_Photoshop#features
WPD , URL: /wiki/WordPerfect
XLSX , URL: /wiki/Microsoft_Excel_file_format
"
"LyX , URL: /wiki/LyX
","No","No","No","Yes","No","Yes","No","No","No"
"Microsoft Publisher , URL: /wiki/Microsoft_Publisher
","No","No","No","No","Yes","Yes","Yes","Yes","No"
"PageMaker , URL: /wiki/PageMaker
","Yes","Yes","No","No","Yes","No","Yes","No","No"
"PagePlus , URL: /wiki/PagePlus
","Yes","Yes","No","No","Yes","No","Yes","Yes","No"
"Pages , URL: /wiki/Pages_(iWork)
","No","No","No","No","Yes","No","Yes","Yes","No"
"QuarkXPress , URL: /wiki/QuarkXPress
","Yes","Yes","No","No","Yes","Yes","Yes","No","PSD , URL: /wiki/Adobe_Photoshop#features
AI , URL: /wiki/Adobe_Illustrator_Artwork
SWF , URL: /wiki/SWF
XLS , URL: /wiki/Microsoft_Excel_file_format
JPG , URL: /wiki/Jpg
PNG , URL: /wiki/Portable_Network_Graphics
PDF , URL: /wiki/PDF
"
"Scribus , URL: /wiki/Scribus
","Yes","Yes","Yes","Yes","No","Yes","Yes","No","List , URL: http://wiki.scribus.net/index.php/Export/Import_capabilities_of_Scribus,_OpenOffice.org,_Inkscape,_GIMP,_and_Krita
"
"The Print Shop , URL: /wiki/The_Print_Shop
","No","No","No","No","No","No","No","No","No"
"Ventura , URL: /wiki/Corel_Ventura
","Yes","Yes","No","No","Yes","No","Yes","No","PSD , URL: /wiki/Adobe_Photoshop#features
AI , URL: /wiki/Adobe_Illustrator_Artwork
WPD , URL: /wiki/WordPerfect
"
"Desktop publishing software","PDF , URL: /wiki/PDF
","EPS , URL: /wiki/Encapsulated_PostScript
","SVG , URL: /wiki/Scalable_Vector_Graphics
","TeX , URL: /wiki/TeX
LaTeX , URL: /wiki/LaTeX
","RTF , URL: /wiki/Rich_Text_Format
","HTML , URL: /wiki/HTML
","Word , URL: /wiki/Microsoft_Word
.doc , URL: /wiki/DOC_(computing)
","OOXML , URL: /wiki/Office_Open_XML
","Other"
