"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Boot-time scans","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Sandbox , URL: /wiki/Sandbox_(computer_security)
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Macro protection","Live Update","Support","Settings Import/ Export","MIMA , URL: /wiki/Man-in-the-middle_attack
","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Original author/s","Notes"
"Avast , URL: /wiki/Avast_Software
","Avast Free Antivirus , URL: /wiki/Avast_Antivirus
","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Free","1988","Czech Republic , URL: /wiki/Czech_Republic
","Pavel Baudiš , URL: /wiki/Pavel_Baudi%C5%A1
",""
"Avast , URL: /wiki/Avast_Software
","Avast Premium Security , URL: /wiki/Avast_Antivirus
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","1997","Czech Republic , URL: /wiki/Czech_Republic
","Pavel Baudiš and Eduard Kučera",""
"AVG Technologies , URL: /wiki/AVG_Technologies
","AVG Antivirus FREE , URL: /wiki/AVG_(software)
","Yes","Yes","Yes","Yes","No","No","No","No","?","No","No","Yes","Yes","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Free","1992","Czech Republic , URL: /wiki/Czech_Republic
","Jan Gritzbach and Tomáš Hofer",""
"AVG Technologies , URL: /wiki/AVG_Technologies
","AVG Antivirus , URL: /wiki/AVG_(software)
","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","No","Yes","Yes","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2006","Czech Republic , URL: /wiki/Czech_Republic
","Jan Gritzbach and Tomáš Hofer",""
"AVG Technologies , URL: /wiki/AVG_Technologies
","AVG Internet Security , URL: /wiki/AVG_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2008","Czech Republic , URL: /wiki/Czech_Republic
","Jan Gritzbach and Tomáš Hofer",""
"Avira , URL: /wiki/Avira
","Avira Antivirus FREE , URL: /wiki/Antivir
","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","Yes","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Free","1988","Germany , URL: /wiki/Germany
","Tjark Auerbach , URL: /w/index.php?title=Tjark_Auerbach&action=edit&redlink=1
",""
"Avira , URL: /wiki/Avira
","Avira Internet Security , URL: /wiki/Avira
","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2002","Germany , URL: /wiki/Germany
","Tjark Auerbach , URL: /w/index.php?title=Tjark_Auerbach&action=edit&redlink=1
",""
"Bitdefender , URL: /wiki/Bitdefender
","Bitdefender Antivirus Free , URL: /wiki/BitDefender
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2013","Romania , URL: /wiki/Romania
","",""
"Bitdefender , URL: /wiki/Bitdefender
","Bitdefender Antivirus Plus , URL: /wiki/BitDefender
","Yes","Yes","Yes","Yes","Yes","Yes","v t e","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1996","Romania , URL: /wiki/Romania
","",""
"Bitdefender , URL: /wiki/Bitdefender
","Bitdefender Internet Security , URL: /wiki/BitDefender
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","No[1]","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2008","Romania , URL: /wiki/Romania
","",""
"Check Point , URL: /wiki/Check_Point
","ZoneAlarm PRO Antivirus + Firewall , URL: /wiki/ZoneAlarm
","Yes","Yes","No","Yes","No","Yes","No","No","?","No","No","No","Yes","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2002","Israel , URL: /wiki/Israel
","","Third-party antivirus engine (Kaspersky) [2]"
"Check Point , URL: /wiki/Check_Point
","ZoneAlarm Extreme Security , URL: /wiki/ZoneAlarm
","Yes","Yes","No","Yes","Yes","Yes","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2002","United States , URL: /wiki/United_States
","",""
"Cisco , URL: /wiki/Cisco
Immunet , URL: /wiki/Immunet
","Immunet , URL: /wiki/Immunet
","Yes","Yes","No","No","Yes","No","No","No","?","Yes","No","No","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2010","United States , URL: /wiki/United_States
","","ClamAV , URL: /wiki/ClamAV
"
"ClamWin , URL: /wiki/ClamWin
","ClamWin Free Antivirus , URL: /wiki/ClamWin_Free_Antivirus
","Yes","Winpooch , URL: /w/index.php?title=Winpooch&action=edit&redlink=1
Clam Sentinel , URL: /w/index.php?title=Clam_Sentinel&action=edit&redlink=1
","Clam Sentinel , URL: /w/index.php?title=Clam_Sentinel&action=edit&redlink=1
","Yes","No","No","No","No","?","Yes","No","No","No","Yes","No","?","?","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Free","2002","Australia , URL: /wiki/Australia
","","ClamAV , URL: /wiki/ClamAV
"
"Comodo Group , URL: /wiki/Comodo_Group
","Comodo Antivirus , URL: /wiki/Comodo_Antivirus
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes*","Yes","Yes","Yes*","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2008","United States , URL: /wiki/United_States
","","*Protection via containment of untrusted executable code."
"Comodo Group , URL: /wiki/Comodo_Group
","Comodo Internet Security , URL: /wiki/Comodo_Internet_Security
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes*","Yes","Yes","Yes*","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2010","United States , URL: /wiki/United_States
","","*Protection via containment of untrusted executable code."
"Dr.Web , URL: /wiki/Dr.Web
","Dr.Web Anti-virus , URL: /wiki/Dr.Web
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes*","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","1992","Russia , URL: /wiki/Russia
","Igor Danilov","*macOS/Linux feature only"
"Dr.Web , URL: /wiki/Dr.Web
","Dr.Web Security Space , URL: /wiki/Dr.Web
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2006","Russia , URL: /wiki/Russia
","Igor Danilov",""
"ESET , URL: /wiki/ESET
","ESET NOD32 Antivirus , URL: /wiki/NOD32
","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes[3][4]","Yes","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","1987","Slovakia , URL: /wiki/Slovakia
","Peter Paško and Miroslav Trnka",""
"ESET , URL: /wiki/ESET
","ESET Smart Security , URL: /wiki/NOD32
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[3][4]","Yes","Yes","Yes","Yes","No[1]","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2007","Slovakia , URL: /wiki/Slovakia
","Peter Paško and Miroslav Trnka",""
