"Resort name and website","Nearest city","State/province","Peak elevation (ft)","Base elevation (ft)","Vertical drop (ft)","Skiable acreage","Total trails","Total lifts","Avg annual snowfall (in)","Adult weekend lift ticket window price (USD)","Date statistics updated"
"Ski Bromont , URL: /wiki/Ski_Bromont
","Bromont , URL: /wiki/Bromont,_Quebec
","Quebec , URL: /wiki/Quebec
","1,854","590","1,264","450","141","9","190","$54","December 1, 2019[1]"
"Apex Mountain Resort , URL: /wiki/Apex_Mountain_Resort
","Penticton , URL: /wiki/Penticton
","British Columbia , URL: /wiki/British_Columbia
","7,197","5,197","2,000","1,112","79","4","236","$65","November 30, 2019[2]"
"Canyon Ski Area , URL: /wiki/Canyon_Ski_Area
","Red Deer , URL: /wiki/Red_Deer,_Alberta
","Alberta , URL: /wiki/Alberta
","2,950","2,412","538","80","23","6","45","$35","November 30, 2019[3]"
"Fernie Alpine Resort , URL: /wiki/Fernie_Alpine_Resort
","Fernie , URL: /wiki/Fernie,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","7,000","3,450","3,550","2,500","142","10","360","$90","November 30, 2019[4]"
"Marble Mountain Ski Resort , URL: /wiki/Marble_Mountain_Ski_Resort
","Steady Brook , URL: /wiki/Steady_Brook,_Newfoundland_and_Labrador
","Newfoundland and Labrador , URL: /wiki/Newfoundland_and_Labrador
","1,791","33","1,759","230","40","5","192","$34","December 1, 2019[5]"
"White Hills Ski Resort , URL: /wiki/White_Hills_Ski_Resort
","Clarenville , URL: /wiki/Clarenville,_Newfoundland_and_Labrador
","Newfoundland and Labrador , URL: /wiki/Newfoundland_and_Labrador
","1,227","482","745","55","27","2","100","$38","December 1, 2019[6]"
"Ski Wentworth , URL: /wiki/Ski_Wentworth
","Wentworth , URL: /wiki/Wentworth,_Nova_Scotia
","Nova Scotia , URL: /wiki/Nova_Scotia
","990","715","815","150","20","3","150","$35","December 1, 2019[7]"
"Mount Sima , URL: /w/index.php?title=Mount_Sima&action=edit&redlink=1
","Whitehorse , URL: /wiki/Whitehorse,_Yukon
","Yukon , URL: /wiki/Yukon
","3,900","2,857","1,043","92","15","3","","$37","November 30, 2019[8]"
"Shames Mountain , URL: /wiki/Shames_Mountain
","Terrace , URL: /wiki/Terrace,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","3,900","2,300","1,600","225","28","3","480","$43","November 30, 2019[9]"
"Castle Mountain Resort , URL: /wiki/Castle_Mountain_Resort
[1] , URL: https://www.skicastle.ca/
","Pincher Creek , URL: /wiki/Pincher_Creek
","Alberta , URL: /wiki/Alberta
","7,463","4,630","2,833","3,592","94","6","354","$71.75","November 15, 2019[10]"
"Bolton Valley , URL: /wiki/Bolton_Valley
[2] , URL: https://www.boltonvalley.com/
","Waterbury , URL: /wiki/Waterbury,_VT
","Vermont , URL: /wiki/Vermont
","3,150","2,100","1,704","300","71","6","312","$69","October 17, 2019[11]"
"Cooper , URL: /w/index.php?title=Cooper_(Colorado_ski_resort)&action=edit&redlink=1
[3] , URL: https://www.skicooper.com/
","Leadville , URL: /wiki/Leadville,_CO
","Colorado , URL: /wiki/Colorado
","11,700","10,500","1,200","470","60","5","260","$70","September 19, 2019[12]"
"Grand Targhee Resort , URL: /wiki/Grand_Targhee_Resort
[4] , URL: https://www.grandtarghee.com/
","Alta , URL: /wiki/Alta,_WY
","Wyoming , URL: /wiki/Wyoming
","10,121","7,851","2,270","2,602","99","5","500","$98","September 19, 2019[13]"
"Stratton Mountain Resort , URL: /wiki/Stratton_Mountain_Resort
[5] , URL: https://www.stratton.com/
","Winhall , URL: /wiki/Winhall,_Vermont
","Vermont , URL: /wiki/Vermont
","3,875","1,872","2,003","670","99","11","171","$125","September 9, 2019[14]"
"Mt. Rose Ski Tahoe , URL: /wiki/Mt._Rose_Ski_Tahoe
","Reno , URL: /wiki/New_Washoe_City,_Nevada
","Nevada , URL: /wiki/Nevada
","9,700","8,260","1,800","1,200","60","8","396","$135","November 7, 2019[15]"
"Soldier Mountain , URL: /wiki/Soldier_Mountain
","Fairfield , URL: /wiki/Fairfield,_ID
","Idaho , URL: /wiki/Idaho
","7,177","5,756","1,400","1,180","36","2","","$45","November 7, 2019[16]"
"Pomerelle Mountain Resort , URL: /wiki/Pomerelle
","Albion , URL: /wiki/Albion,_ID
","Idaho , URL: /wiki/Idaho
","9,000","8,000","1,000","500","24","2","500","$45","November 7, 2019[17]"
"Schweitzer , URL: /wiki/Schweitzer_Mountain_Resort
","Sandpoint , URL: /wiki/Sandpoint,_ID
","Idaho , URL: /wiki/Idaho
","6,400","4,000","2,400","2,900","92","7","300","$86","November 7, 2019[18]"
"Brundage Mountain , URL: /wiki/Brundage_Mountain
","McCall , URL: /wiki/McCall,_ID
","Idaho , URL: /wiki/Idaho
","7,803","5,882","1,921","1,920","46","5","320","$73","November 7, 2019[19]"
"Bogus Basin , URL: /wiki/Bogus_Basin
","Boise , URL: /wiki/Boise,_ID
","Idaho , URL: /wiki/Idaho
","7,582","5,800","1,800","2,600","78","7","200","$64","November 7, 2019[20]"
"Sun Valley , URL: /wiki/Sun_Valley,_Idaho
","Sun Valley , URL: /wiki/Sun_Valley,_ID
","Idaho , URL: /wiki/Idaho
","9,150","5,750","3,400","2,563","121","18","220[21]","$133","November 7, 2019[22]"
"Panorama Mountain Resort , URL: /wiki/Panorama_Mountain_Village
","Invermere , URL: /wiki/Invermere,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","7,792","3,773","4,019","2,847","120","10","196","$92","October, 2016[23][24]"
"Whitefish Mountain Resort , URL: /wiki/Whitefish_Mountain_Resort
","Kalispell , URL: /wiki/Kalispell,_MT
","Montana , URL: /wiki/Montana
","6,817","4,464","2,353","3,000","105","14","300","$83","November 7, 2019[25][26]"
"Arizona Snowbowl , URL: /wiki/Arizona_Snowbowl
","Flagstaff , URL: /wiki/Flagstaff,_AZ
","Arizona , URL: /wiki/Arizona
","11,500","9,200","2,300","777","40","7","260","$99","November 7, 2019[27][28]"
