"File archivers","Windows , URL: /wiki/Microsoft_Windows
","DOS , URL: /wiki/DOS
","Mac OS X , URL: /wiki/Mac_OS_X
","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","Android , URL: /wiki/Android_(operating_system)
","Windows Mobile , URL: /wiki/Windows_Mobile
","Windows Phone , URL: /wiki/Windows_Phone
"
"7-Zip , URL: /wiki/7-Zip
","Yes[1]","Command-line interface[2]","Yes[2]","Command-line interface[2]","Command-line interface[2]","Command-line interface[2]","Command-line interface","No","Yes","No"
"ALZip , URL: /wiki/ALZip
","Yes","Command-line interface[36]","No","No","No","No","No","No","No","No"
"ALZip for Mac , URL: /wiki/ALZip_for_Mac
","No","No","Yes","No","No","No","No","No","No","No"
"Archive Manager , URL: /wiki/Archive_Manager
","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Archive Utility , URL: /wiki/Archive_Utility
","No","No","Yes","No","No","No","No","No","No","No"
"Ark , URL: /wiki/Ark_(software)
","No","No","No","Yes","Yes","Yes","No","No","No","No"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"BetterZip , URL: /wiki/BetterZip
","No","No","Yes","No","No","No","No","No","No","No"
"bsdtar/libarchive , URL: /wiki/Tar_(file_format)#Key_implementations
","Yes, bundled[9]","No","Yes, bundled","Yes","Yes, bundled","Yes","Partial","Unknown","Unknown","No"
"Commander One , URL: /wiki/Commander_One
","No","No","Yes","No","No","No","No","No","No","No"
"Disk ARchiver , URL: /wiki/DAR_(Disk_Archiver)
","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No"
"Filzip , URL: /wiki/Filzip
","Yes","No","No","No","No","No","No","No","No","No"
"FreeArc , URL: /wiki/FreeArc
","Yes","No","No","Yes","Yes","Yes","No","No","No","No"
"GNU tar , URL: /wiki/Tar_(file_format)#Key_implementations
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"iArchiver , URL: /wiki/IArchiver
","No","No","Yes","No","No","No","No","Unknown","Unknown","?"
"Info-ZIP , URL: /wiki/Info-ZIP
","Yes","Yes","Yes","Yes","Yes","Yes[9]","Yes","No","Yes[8]","No"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Yes[7]","Partial","Command-line interface","Yes","No","No","No","Yes","Unknown","?"
"PeaZip , URL: /wiki/PeaZip
","Yes[1]","No","Yes[37]","Yes","Yes","No","No","Unknown","Unknown","?"
"PKZIP , URL: /wiki/PKZIP
","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","Unknown","?"
"PowerArchiver , URL: /wiki/PowerArchiver
","Yes","Unknown","Yes","No","No","No","No","Unknown","Unknown","?"
"Star , URL: /wiki/Tar_(file_format)#Key_implementations
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","?"
"StuffIt , URL: /wiki/StuffIt
","Yes","Unknown","Yes","X86 , URL: /wiki/X86
","No","older version (5.2.0?)","No","Unknown","Unknown","?"
"The Unarchiver , URL: /wiki/The_Unarchiver
","Command-line interface","No","Yes","Command-line interface","No","No","No","Unknown","No","?"
"TUGZip , URL: /wiki/TUGZip
","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"WinAce , URL: /wiki/WinAce
","Yes","Command-line interface[5]","Command-line interface expander only[5]","X86 , URL: /wiki/X86
","No","No","Command-line interface expander only","Unknown","Unknown","?"
"WinRAR , URL: /wiki/WinRAR
","Yes[1]","Yes","Command-line interface[6]","X86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","Command-line interface[6]","Command-line interface[6]","Command-line interface expander only","Yes[38]","Yes","?"
"WinZip , URL: /wiki/WinZip
","Yes[1]","Command-line interface","Yes","No","No","No","Yes","Yes","Unknown","?"
"XAD , URL: /wiki/XAD_(software)
","No","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","?"
"Xarchiver , URL: /wiki/Xarchiver
","No","No","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","?"
"ZipGenius , URL: /wiki/ZipGenius
","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"ZPAQ , URL: /wiki/ZPAQ
","Yes","Unknown","Yes","Yes","No","No","No","Unknown","Unknown","?"
"","Windows , URL: /wiki/Microsoft_Windows
","DOS , URL: /wiki/DOS
","Mac OS X , URL: /wiki/Mac_OS_X
","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","Android , URL: /wiki/Android_(operating_system)
","Windows Mobile , URL: /wiki/Windows_Mobile
","Windows Phone , URL: /wiki/Windows_Phone
"
