"Client","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Read messages","Read messages","Read messages","Sent messages","Sent messages"
"Client","Exists","Default setting","Receiver deletion","Setting receipts","Contact-based setting","Delete sent/read on read","Receipts","Deleting","Deleting request","Editing","Deleting"
"Briar , URL: /wiki/Briar_(software)
","No","-","","","","","Yes","","","",""
"Discord , URL: /wiki/Discord_(software)
","No","-","","","","","No","","","Yes","Yes"
"eBuddy , URL: /wiki/EBuddy
","Yes","","","","","","Yes","","","No","Partial"
"Element , URL: /wiki/Element_(software)
","No","-","","","","","Yes","","","Partial","Yes"
"Gadu-Gadu , URL: /wiki/Gadu-Gadu
","","","","","","","","","","",""
"Gajim , URL: /wiki/Gajim
","No","-","","","","","","","","Yes",""
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","No","","","","","","Yes","","","","Yes"
"ICQ , URL: /wiki/ICQ
","","","","","","","","","","","Yes"
"Jami , URL: /wiki/Jami_(software)
","Yes","Disabled","","","","","","","","",""
"Jitsi , URL: /wiki/Jitsi
","No","-","","","","","","","","",""
"Kadu , URL: /wiki/Kadu_(software)
","","","","","","","","","","",""
"KakaoTalk , URL: /wiki/KakaoTalk
","","","","","","","","","","",""
"Keybase , URL: /wiki/Keybase
","Yes","","","","","","Yes","","","Yes","Yes"
"Kik Messenger , URL: /wiki/Kik_Messenger
","","","","","","","","","","",""
"Line , URL: /wiki/Line_(software)
","No","-","","","","","Yes","","","No","Partial"
"Linphone , URL: /wiki/Linphone
","","","","","","","","","","",""
"Mattermost , URL: /wiki/Mattermost
","No","-","","","","","No","","","Yes","Yes"
"MCabber , URL: /wiki/MCabber
","","","","","","","","","","",""
"Messages , URL: /wiki/Messages_(Apple)
","No","-","","","","","","","","",""
"Messenger , URL: /wiki/Messenger_(software)
","Yes","","","","","","Yes","","","No","Yes"
"Movim , URL: /wiki/Movim
","No","-","","","","","","","","Yes","Yes"
"Palringo , URL: /wiki/Palringo
","","","","","","","","","","",""
"Paltalk , URL: /wiki/Paltalk
","","","","","","","","","","",""
"Pidgin , URL: /wiki/Pidgin_(software)
","","","","","","","","","","Yes",""
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","","","","","","","","","","Yes",""
"RetroShare , URL: /wiki/RetroShare
","No","-","","","","","Yes","","","No","No"
"Ricochet , URL: /wiki/Ricochet_(software)
","","","","","","","","","","",""
"Sicher , URL: /wiki/Sicher_(software)
","Yes","","","","","","","","","",""
"Signal , URL: /wiki/Signal_(software)
","Yes","Disabled","","","","","Yes","","","No","Partial"
"Silent Phone , URL: /wiki/Silent_Circle_(software)
","Yes","","","","","","","","","",""
"Skype , URL: /wiki/Skype
","","","","","","","Yes","","","Yes","Yes"
"Slack , URL: /wiki/Slack_(software)
","","","","","","","Yes","","","Yes","Yes"
"Snapchat , URL: /wiki/Snapchat
","Yes","","","","","","Yes","","","No","Yes"
"Surespot , URL: /wiki/Surespot
","No","-","","","","","","","","",""
"TeamNote , URL: /wiki/TeamNote
","","","","","","","No","","","Yes","Yes"
"Telegram , URL: /wiki/Telegram_(software)
","Yes","Disabled","","","","","Yes","","","Yes","Yes"
"Tencent QQ , URL: /wiki/Tencent_QQ
","","","","","","","","","","",""
"Threema , URL: /wiki/Threema
","No","-","","","","","Yes","","","No","Yes"
"Trillian , URL: /wiki/Trillian_(software)
","","","","","","","Yes","","","",""
"Viber , URL: /wiki/Viber
","Yes","","","","","","Yes","","","Yes","Yes"
"WeChat , URL: /wiki/WeChat
","","","","","","","","","","",""
"WhatsApp , URL: /wiki/WhatsApp
","No","-","","","","","Yes","","","No","Partial"
"Wickr Me , URL: /wiki/Wickr
","Yes","6 days","","","","","","","","","Yes"
"Wire , URL: /wiki/Wire_(software)
","Yes[93]","","","","","","Yes","","","Yes","Yes"
"Client","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Self-destructing messages","Read messages","Read messages","Read messages","Sent messages","Sent messages"
"Client","Exists","Default setting","Receiver deletion","Setting receipts","Contact-based setting","Delete sent/read on read","Receipts","Deleting","Deleting request","Editing","Deleting"
