"Model","USB","Ethernet","Bluetooth","Video interface","SD card slot","FaceTime camera"
"Mac Mini M1","2 USB-A ports and 2 Thunderbolt 3 USB-C 4.0 ports","Yes","Bluetooth 5.0","HDMI 2.0 and Thunderbolt 3/USB-C","No","No"
"Mac Mini (Intel)","2 USB-A ports and 4 Thunderbolt 3 USB-C ports","Yes","Bluetooth 5.0","HDMI 2.0 and Thunderbolt 3/USB-C","No","No"
"iMac 24 in (two ports)","2 Thunderbolt / USB 4 ports","Configurable","Bluetooth 5.0","Thunderbolt 3/USB-C ports","No","1080p FaceTime HD camera"
"iMac 24 in (four ports)","2 Thunderbolt / USB 4 ports and 2 USB 3 ports","Yes","Bluetooth 5.0","Thunderbolt 3/USB-C ports","No","1080p FaceTime HD camera"
"Mac Studio","2 USB-A ports, 2 USB-C 3.2 Gen 2, and 4 Thunderbolt 4 USB-C 4.0 ports","10Gb Ethernet port","Bluetooth 5.0","Thunderbolt 4 USB-C 4.0 ports/HDMI 2.0","Yes","No"
"Mac Pro","3 USB-A ports (one inside case) and Thunderbolt 3 USB-C ports (number dependent on graphics configuration)","Two 10Gb Ethernet ports","Bluetooth 5.0","HDMI and Thunderbolt 3/DisplayPort/USB-C ports (number dependent on graphics configuration)","No","No"
"MacBook Air","2 Thunderbolt 3 USB-C 4.0 ports","No","Bluetooth 5.0","Thunderbolt 3/USB-C ports","No","720p FaceTime HD camera"
"MacBook Pro 13"","2 Thunderbolt 3 USB-C 4.0 ports","No","Bluetooth 5.0","Thunderbolt 3/USB-C ports","No","720p FaceTime HD camera"
"MacBook Pro 14"","3 Thunderbolt 4 USB-C 4.0 ports","No","Bluetooth 5.0","Thunderbolt 4 USB-C 4.0 ports/HDMI 2.0","Yes","1080p FaceTime HD camera"
"MacBook Pro 16"","3 Thunderbolt 4 USB-C 4.0 ports","No","Bluetooth 5.0","Thunderbolt 4 USB-C 4.0 ports/HDMI 2.0","Yes","1080p FaceTime HD camera"
