"Asian interplanetary exploration probes","Asian interplanetary exploration probes","Asian interplanetary exploration probes","Asian interplanetary exploration probes","Asian interplanetary exploration probes","Asian interplanetary exploration probes"
"Mission name","Destination","Type","Year","Vehicle","Outcome"
"Nozomi , URL: /wiki/Nozomi_(probe)
","Mars , URL: /wiki/Mars
","Orbiter","2003","M-V , URL: /wiki/M-V
","Failure"
"Hayabusa , URL: /wiki/Hayabusa
","25143 Itokawa , URL: /wiki/25143_Itokawa
","Sample return","2005-7","M-V , URL: /wiki/M-V
","Success"
"Akatsuki , URL: /wiki/Akatsuki_(probe)
","Venus , URL: /wiki/Venus_(planet)
","Orbiter","2010","H-IIA 202 , URL: /wiki/H-IIA
","Failure (Failed orbit insertion)"
"Akatsuki , URL: /wiki/Akatsuki_(probe)
","Venus , URL: /wiki/Venus_(planet)
","Orbiter","2015","H-IIA 202 , URL: /wiki/H-IIA
","Success"
"IKAROS , URL: /wiki/IKAROS
","Venus , URL: /wiki/Venus_(planet)
","Flyby","2010","H-IIA 202 , URL: /wiki/H-IIA
","Success"
"Shin'en , URL: /wiki/Shin%27en_(spacecraft)
","Venus , URL: /wiki/Venus_(planet)
","Flyby","2010","H-IIA 202 , URL: /wiki/H-IIA
","Failure"
"Yinghuo-1 , URL: /wiki/Yinghuo-1
","Mars , URL: /wiki/Mars
","Orbiter","2011","Zenit-2M , URL: /wiki/Zenit-2M
","Failure"
"Chang'e 2 , URL: /wiki/Chang%27e_2
","4179 Toutatis , URL: /wiki/4179_Toutatis
","Flyby","2012","Long March 3C , URL: /wiki/Long_March_3C
","Success"
"Mars Orbiter Mission , URL: /wiki/Mars_Orbiter_Mission
","Mars , URL: /wiki/Mars
","Orbiter","2013–14","PSLV , URL: /wiki/Polar_Satellite_Launch_Vehicle
","Success"
"Hayabusa2 , URL: /wiki/Hayabusa2
","162173 Ryugu , URL: /wiki/162173_Ryugu
","Sample return","2014–20","H-IIA 202 , URL: /wiki/H-IIA
","Success"
"PROCYON , URL: /wiki/PROCYON
","2000 DP107 , URL: /wiki/2000_DP107
","Flyby","2016","H-IIA 202 , URL: /wiki/H-IIA
","Failure"
"Mio , URL: /wiki/BepiColombo
","Mercury , URL: /wiki/Mercury_(planet)
","Orbiter","2018–24","Ariane 5 , URL: /wiki/Ariane_5
","en route"
"Hope Mars Mission , URL: /wiki/Hope_Mars_Mission
","Mars , URL: /wiki/Mars
","Orbiter","2020–21","H-IIA 202 , URL: /wiki/H-IIA
","Success"
"Tianwen-1 , URL: /wiki/Tianwen-1
","Mars , URL: /wiki/Mars
","Orbiter/Lander/Rover","2020–21","Long March 5 , URL: /wiki/Long_March_5
","Success"
"Aditya-L1 , URL: /wiki/Aditya-L1
","Sun , URL: /wiki/Sun
","Orbiter","2022","PSLV , URL: /wiki/Polar_Satellite_Launch_Vehicle
","Planned"
"DESTINY+ , URL: /wiki/DESTINY%2B
","3200 Phaethon , URL: /wiki/3200_Phaethon
","Flyby","2022–26","Epsilon , URL: /wiki/Epsilon_(rocket)
","Planned"
"Shukrayaan-1 , URL: /wiki/Shukrayaan-1
","Venus , URL: /wiki/Venus_(planet)
","Orbiter and aerobots","2023","GSLV MkIII , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","Planned"
"MMX , URL: /wiki/Martian_Moons_Exploration
","Mars , URL: /wiki/Mars
","Orbiter","2024–2025","H3-24L , URL: /wiki/H3_(rocket)
","Planned"
"MMX , URL: /wiki/Martian_Moons_Exploration
","Phobos , URL: /wiki/Phobos_(moon)
","Sample return","2024–2025","H3-24L , URL: /wiki/H3_(rocket)
","Planned"
"ZhengHe , URL: /wiki/ZhengHe_(spacecraft)
","469219 Kamoʻoalewa , URL: /wiki/469219_Kamo%CA%BBoalewa
","Sample Return","2024–32","Long March 3B , URL: /wiki/Long_March_3B
Long March 7A , URL: /wiki/Long_March_7A
","Planned"
"ZhengHe , URL: /wiki/ZhengHe_(spacecraft)
","311P/PANSTARRS , URL: /wiki/311P/PANSTARRS
","Orbiter","2024–32","Long March 3B , URL: /wiki/Long_March_3B
Long March 7A , URL: /wiki/Long_March_7A
","Planned"
"Mars Orbiter Mission 2 , URL: /wiki/Mars_Orbiter_Mission_2
","Mars , URL: /wiki/Mars
","Orbiter Lander Rover","TBD","GSLV , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle
GSLV MkIII , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","Planned"
"Tianwen-2 , URL: /w/index.php?title=Tianwen-2&action=edit&redlink=1
","Mars , URL: /wiki/Mars
","Sample return","2028–31","Long March 3B , URL: /wiki/Long_March_3B
Long March 5 , URL: /wiki/Long_March_5
Long March 9B , URL: /wiki/Long_March_9
","Planned"
"Gan De , URL: /wiki/Gan_De_(spacecraft)
","Jupiter , URL: /wiki/Jupiter
","Orbiter","2029–35","Long March 5 , URL: /wiki/Long_March_5
","Planned"
"Gan De , URL: /wiki/Gan_De_(spacecraft)
","Uranus , URL: /wiki/Uranus
","Flyby","2029-46","Long March 5 , URL: /wiki/Long_March_5
","Planned"
