"Country","Motorways (Controlled-access highway)","Expressways (Limited-access road)","Primary roads","Primary roads","Secondary roads","Regional destinations","Local destinations","Tourist signs","Temporary Detour"
"Country","Motorways (Controlled-access highway)","Expressways (Limited-access road)","outside urban area","outside urban area","outside urban area","outside urban area","Local destinations","Tourist signs","Temporary Detour"
"Austria , URL: /wiki/Road_signs_in_Austria
","Salzburg","Wien","Villach","Villach","N/A","Salzkammergut[c 1]","Salzkammergut[c 1]","Salzkammergut[c 1]","Umleitung"
"Belgium , URL: /wiki/Road_signs_in_Belgium
","Brussel Bruxelles [c 2]","Kortrijk Courtrai","Gent Gand","Gent Gand","N/A","N/A","Centrum Centre Zentrum","Atomium","Wegomlegging Déviation Umleitung"
"Bulgaria","Ямбол Yambol","Русе Ruse","Павликени Pavlikeni","Павликени Pavlikeni","Бяла Byala","","Център Centre","Етър Etar","Варна Varna"
"Croatia","Zagreb","Bjelovar","Vukovar","Vukovar","Mokošica","","Zračna luka","Plitvička jezera","Obilazak"
"Czechia , URL: /wiki/Road_signs_in_the_Czech_Republic
","BRNO","PRAHA","VYŠKOV","VYŠKOV","N/A","SLOVANY","Letiště","Hrad Bouzov","PRAHA"
"Denmark , URL: /wiki/Road_signs_in_Denmark
","Aarhus","N/A","Skanderborg[c 3]","Skanderborg[c 3]","N/A","","Stadion","Himmelbjerget","Nakskov"
"Finland , URL: /wiki/Road_signs_in_Finland
","HELSINKI HELSINGFORS","LAPPEENRANTA","PORVOO BORGÅ","PORVOO BORGÅ","N/A","KYMINLINNA","Kirjasto","Hiidenkivi","TURKU"
"France , URL: /wiki/Road_signs_in_France
","PARIS","MARSEILLE","BEAUVAIS[c 4]","TOULON","LA CHAPPELLE","N/A","Gare S.N.C.F.","PARC NATUREL","Déviation"
"Germany , URL: /wiki/Road_signs_in_Germany
","Hamburg","Freiburg[c 5]","Lübeck","Lübeck","N/A","","Bahnhof","Burg Eltz","Umleitung"
"Greece , URL: /wiki/Road_signs_in_Greece
","Θεσσαλονίκη Thessaloniki","Πάτρα Patra","Αθήνα Αthina","Αθήνα Αthina","N/A","N/A","Κέντρο","Ακρόπολη Akropolis","Εύοσμος Evosmos"
"Hungary","Budapest","Vác","Gyöngyös","Gyöngyös","Abádszalók","Berekfürdő","◉ Centrum","Vár","Gödöllő"
"Ireland , URL: /wiki/Road_signs_in_Ireland
","Áth Cliath DUBLIN","Ν/Α","Tulach Mhór TULLAMORE[c 6]","Tulach Mhór TULLAMORE[c 6]","Seantrabh SANTRY[c 7]","N/A","Guaire GOREY[c 7]","Srón Bhroin BRANDON POINT","Cúrsa Timpill DETOUR"
"Italy , URL: /wiki/Road_signs_in_Italy
","VENEZIA","UDINE","BERGOSOLE","BERGOSOLE","N/A","","aeroporto","Colfosco","deviazione"
"Liechtenstein , URL: /wiki/Road_signs_in_Switzerland_and_Liechtenstein
","(CH) St. Gallen","(CH) Chur","Schaan","Schaan","Vaduz","N/A","Bahnhof","Burg","Umleitung"
"Lithuania , URL: /wiki/Road_signs_in_Lithuania
","KLAIPĖDA","KAUNAS","VILNIUS","VILNIUS","N/A","","CENTRAS","","Apylanka"
"Netherlands , URL: /wiki/Road_signs_in_the_Netherlands
","A 44 Amsterdam","Den Haag","Arnhem N 50","Arnhem N 50","N/A","","Centrum","Nationaal Park","OMLEIDING Volg A[c 8]"
"Norway , URL: /wiki/Road_signs_in_Norway
","Nannestad","Lillestrøm","Trondheim","Trondheim","N/A","","Sykehus","Kvitsand",""
"Poland , URL: /wiki/Road_signs_in_Poland
","Wrocław","Poznań","Opole","Opole","N/A","","Stacja","Kraków","Objazd"
"Portugal","Lisboa","N/A","Portalegre","Portalegre","Póvoa de Varzim","ALGARVE[c 9]","centro","castelo","Desvio"
"Romania","București","N/A","Pitești","Pitești","N/A","N/A","Centru","Castelul Bran","Ocolire"
"Slovakia , URL: /wiki/Road_signs_in_Slovakia
","Košice","Nitra","Bratislava","Bratislava","","","Centrum","Hrad","obchádzka"
"Slovenia","Maribor","Nova Gorica","Medvode","Medvode","Tomišelj","","Center","Postojnska jama","Obvoz"
"Sweden , URL: /wiki/Road_signs_in_Sweden
","GÖTEBORG","STOCKHOLM","FALUN","FALUN","N/A","NORRMALM","Vårdcentral","Långe Erik",""
"Switzerland , URL: /wiki/Road_signs_in_Switzerland_and_Liechtenstein
","Basel","Chiasso","Moudon","Moudon","Ftan","N/A","Gare CFF","Castello","Umleitung Déviation Deviazione"
"Spain","Villalba[c 10]","Córdoba[c 11]","Oviedo[c 12]","PINTO[c 13]","BADAJOZ","N/A","centro","Navacerrada","DESVÍO"
"UK , URL: /wiki/Road_signs_in_the_United_Kingdom
","Nottingham M1","N/A","Holyhead A55","Holyhead A55","Aylesbury","The NORTH[c 14]","Village Hall","Thorpe Park","Diversion"
