"Display technology","Screen shape","Largest known diagonal","Largest known diagonal","Typical use","Usable in bright room"
"Display technology","Screen shape","(in)","(cm)","Typical use","Usable in bright room"
"Eidophor , URL: /wiki/Eidophor
","Flat","(limited only by brightness)","(limited only by brightness)","TV , URL: /wiki/Television
","No"
"Shadow mask , URL: /wiki/Shadow_mask
CRT , URL: /wiki/Cathode_ray_tube
","Spherical curve or Flat","42[1]","107","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Yes"
"Aperture grille , URL: /wiki/Aperture_grille
CRT , URL: /wiki/Cathode_ray_tube
","Cylindrical curve or Flat","42[2]","107","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Yes"
"Monochrome , URL: /wiki/Monochrome
CRT , URL: /wiki/Cathode_ray_tube
","Spherical curve or Flat","30[3]","76","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
Radar display , URL: /wiki/Radar
Oscilloscope , URL: /wiki/Oscilloscope
","Yes"
"Charactron , URL: /wiki/Charactron
CRT , URL: /wiki/Cathode_ray_tube
","Spherical curve","24","61","Computer monitor , URL: /wiki/Computer_display
Radar display , URL: /wiki/Radar
","No"
"CRT , URL: /wiki/Cathode_ray_tube
","lenticular , URL: /wiki/Lenticular_lens
","80[4]","203","TV , URL: /wiki/Television
","Yes"
"CRT front projection , URL: /wiki/CRT_projector
","Flat","(limited only by brightness)","(limited only by brightness)","TV , URL: /wiki/Television
","No"
"Plasma display panel , URL: /wiki/Plasma_display
","Flat","152[5]","386","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Partial"
"LCD , URL: /wiki/LCD
","Flat","110[10]","274","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Yes"
"LCD self-contained rear-projection , URL: /wiki/LCD_projector
","lenticular , URL: /wiki/Lenticular_lens
","70[11]","178","TV , URL: /wiki/Television
","Yes"
"LCD front-projection , URL: /wiki/LCD_projector
","Flat","(limited only by brightness)","(limited only by brightness)","TV , URL: /wiki/Television
","Yes"
"DLP , URL: /wiki/Digital_Light_Processing
","lenticular , URL: /wiki/Lenticular_lens
","120[12]","305","TV , URL: /wiki/Television
","Yes"
"DLP , URL: /wiki/Digital_Light_Processing
","Flat","(limited only by brightness)","(limited only by brightness)","TV , URL: /wiki/Television
","Yes"
"LCoS , URL: /wiki/Liquid_crystal_on_silicon
","Flat","110[13]","279","TV , URL: /wiki/Television
","Yes"
"LCoS , URL: /wiki/Liquid_crystal_on_silicon
","Flat","(limited only by brightness)","(limited only by brightness)","TV , URL: /wiki/Television
","Yes"
"Laser , URL: /wiki/Laser_video_display
","lenticular , URL: /wiki/Lenticular_lens
","75[14]","191","TV , URL: /wiki/Television
","Yes"
"LED , URL: /wiki/LED_display
","Flat","279.92[15]","711","Billboards , URL: /wiki/Billboard
TV , URL: /wiki/Television
","Yes"
"SED , URL: /wiki/Surface-conduction_electron-emitter_display
","Flat","55[16]","140","Computer monitor , URL: /wiki/Computer_display
TV , URL: /wiki/Television
","Yes"
"FED , URL: /wiki/Field_emission_display
","Flat","?","?","Computer monitor , URL: /wiki/Computer_display
TV , URL: /wiki/Television
","Yes"
"EPD , URL: /wiki/Electrophoretic_display
","Flat (flexible)","?","?","Electronic paper , URL: /wiki/Electronic_paper
","Yes"
"OLED , URL: /wiki/Organic_light-emitting_diode
","Any, but most commonly flat rectangular with or without rounded edges, notch(es) and holes, circular, or curved (flexible)[17]","88[18]","223.52","Computer monitor , URL: /wiki/Computer_display
TV , URL: /wiki/Television
Mobile phone , URL: /wiki/Mobile_phone
","Yes"
"'LED' LCD , URL: /wiki/LED_backlit_LCD
","Flat rectangular, circular, semi circle","80","203","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Yes"
"'QLED' LCD , URL: /wiki/Quantum_dot_display
","Curved or Flat","80","203","TV , URL: /wiki/Television
Computer monitor , URL: /wiki/Computer_display
","Yes"
"Telescopic pixel display , URL: /wiki/Telescopic_pixel_display
","","","","",""
"Ferroelectric LCD , URL: /wiki/Ferroelectric_liquid_crystal_display
","","","","",""
"'mLED' LED , URL: /wiki/Micro-LED
","Curved or Flat","??","??","Mobile phone , URL: /wiki/Mobile_phone
","Yes"
"QDLED , URL: /wiki/Quantum_dot_display
","N/A","N/A","N/A","N/A","Yes"
"IMOD , URL: /wiki/Interferometric_modulator_display
","Flat","1.2[23]","3","Mobile phone , URL: /wiki/Mobile_phone
","Yes"
"Laser Phosphor Display , URL: /wiki/Laser_Phosphor_Display
","Flat / Box","196","497.8","Presentation","Yes"
"Virtual retinal display , URL: /wiki/Virtual_retinal_display
","Any shape","N/A","N/A","virtual reality , URL: /wiki/Virtual_reality
","Depends on system"
