"Product","Creator","Latest stable release date","Latest stable release","License , URL: /wiki/Software_license
","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","Oracle , URL: /wiki/Oracle_Database
","MySQL , URL: /wiki/MySQL
","PostgreSQL , URL: /wiki/PostgreSQL
","MS SQL Server , URL: /wiki/Microsoft_SQL_Server
","ODBC , URL: /wiki/ODBC
","JDBC , URL: /wiki/JDBC
","SQLite , URL: /wiki/SQLite
","Other","Programming language"
"DaDaBIK","Eugenio Tacchini","2021-08-27[±]","11.0 Elba[1]","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","PHP , URL: /wiki/PHP
"
"DatabaseSpy , URL: /wiki/DatabaseSpy
","Altova , URL: /wiki/Altova
","2019-04-02[±]","2019r3[2]","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","","IBM DB2 , URL: /wiki/IBM_DB2
Sybase , URL: /wiki/Sybase
MS Access , URL: /wiki/MS_Access
","C++ , URL: /wiki/C%2B%2B
"
"Database Workbench , URL: /wiki/Database_Workbench
","Upscene Productions","2021-12-08","6.0.3","Proprietary , URL: /wiki/Proprietary_software
","Yes","Wine , URL: /wiki/Wine_(software)
","Wine , URL: /wiki/Wine_(software)
","Yes","Yes","Yes","Yes","Yes","","","InterBase , URL: /wiki/InterBase
Firebird , URL: /wiki/Firebird_(database_server)
SQL Anywhere , URL: /wiki/SQL_Anywhere
NexusDB , URL: /wiki/NexusDB
MariaDB , URL: /wiki/MariaDB
","Delphi , URL: /wiki/Delphi_(programming_language)
"
"DataGrip , URL: /wiki/DataGrip
","JetBrains","2017-09-06","2017.2.2","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Sybase , URL: /wiki/Sybase
DB2 , URL: /wiki/IBM_DB2
H2 , URL: /wiki/H2_(DBMS)
Hypersonic SQL , URL: /wiki/Hypersonic_SQL
Amazon Redshift , URL: /wiki/Amazon_Redshift
Apache Derby , URL: /wiki/Apache_Derby
","Java , URL: /wiki/Java_(programming_language)
"
"DBeaver , URL: /wiki/DBeaver
","Serge Rider","2021-10-03","21.2.2","Apache License , URL: /wiki/Apache_License
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_Database
EXASOL , URL: /wiki/EXASOL
IBM DB2 , URL: /wiki/IBM_DB2
SQL Server , URL: /wiki/Microsoft_SQL_Server
Apache Derby , URL: /wiki/Apache_Derby
Firebird , URL: /wiki/Firebird_(database_server)
JDBC , URL: /wiki/JDBC
","Java , URL: /wiki/Java_(programming_language)
"
"DBEdit , URL: /wiki/DBEdit
","Jef Van Den Ouweland","2012-05-10","2.4.6","GPL , URL: /wiki/GPL
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","IBM DB2 , URL: /wiki/IBM_DB2
HSQLDB , URL: /wiki/HSQLDB
Apache Derby , URL: /wiki/Apache_Derby
H2 , URL: /wiki/H2_(DBMS)
","Java , URL: /wiki/Java_(programming_language)
"
"DbVisualizer , URL: /w/index.php?title=DbVisualizer&action=edit&redlink=1
","DbVis Software AB","2021-11-11","12.1.5","Free Reducted Function Version / Prorietary Pro Version","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","[1] , URL: https://www.dbvis.com/features/database-drivers/
","Java , URL: /wiki/Java_(programming_language)
"
"Epictetus , URL: /wiki/Epictetus_Database_Client
","Antilogic Software","?","?","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","","Yes","Yes","","","","Sybase , URL: /wiki/Sybase
InterBase , URL: /wiki/InterBase
Firebird , URL: /wiki/Firebird_(database_server)
H2 , URL: /wiki/H2_(DBMS)
HSQLDB , URL: /wiki/HSQLDB
","Java , URL: /wiki/Java_(programming_language)
"
"HeidiSQL , URL: /wiki/HeidiSQL
","Ansgar Becker","2021-05-30[±]","11.3[4]","GPL , URL: /wiki/GPL
","Yes","Wine , URL: /wiki/Wine_(software)
","Wine , URL: /wiki/Wine_(software)
","","Yes","Yes","Yes","","","Yes","","Embarcadero Delphi , URL: /wiki/Embarcadero_Delphi
"
"Maatkit , URL: /wiki/Maatkit
","Baron Schwartz , URL: /wiki/Baron_Schwartz
","2010-06-01","5247","GPL , URL: /wiki/GPL
","Yes","Yes","Yes","","Yes","","","","","","","Perl , URL: /wiki/Perl
"
