"Tank","Country","Year introduced","Production total","Crew","Armament number of rounds","Armour thickness (front/side/top)","Weight","Engine","power/weight ratio","Speed","Range"
"Mark I , URL: /wiki/Mark_I_(tank)#Mark_I
","UK","1916","75","8","QF 6-pdr (57mm) , URL: /wiki/QF_6-pounder_Hotchkiss
","12/10/6 mm","28.4 t","Petrol 105 hp (78 kW)","3.7 hp/t","4.5 km/h (2.8 mph)","37 km (23 mi)"
"Female","UK","1916","75","8","Vickers machine gun , URL: /wiki/Vickers_machine_gun
","12/10/6 mm","27.4 t","Petrol 105 hp (78 kW)","3.7 hp/t","4.5 km/h (2.8 mph)","37 km (23 mi)"
"Mark IV , URL: /wiki/Mark_IV_tank
","UK","1917","420","8","QF 6-pdr (57mm) 6 cwt , URL: /wiki/QF_6-pounder_6_cwt_Hotchkiss
Lewis Gun , URL: /wiki/Lewis_gun
","14/12/8 mm","28.5 t","125 hp (93 kW)","","5.6 km/h (3.5 mph)","56 km (35 mi)"
"Female","UK","1917","595[b]","8","5×Lewis guns [10,000]","14/12/8 mm","27 t","125 hp (93 kW)","","5.6 km/h (3.5 mph)","56 km (35 mi)"
"Mark V , URL: /wiki/Mark_V_tank
","UK","1918","200","8","QF 6-pdr (57mm) 6 cwt , URL: /wiki/QF_6-pounder_6_cwt_Hotchkiss
","14/14/8 mm","29.5 t","150 hp (112 kW)","5.1-5.4 hp/t","7.5 km/h (4.7 mph)","72 km (45 mi)"
"Female","UK","1918","200","8","6×.303 MG [14,100]","14/14/8 mm","28.5 t","150 hp (112 kW)","5.1-5.4 hp/t","7.5 km/h (4.7 mph)","72 km (45 mi)"
"Mark V* , URL: /wiki/Mark_V_tank
","UK","1918","200","8 (+14infantry[c])","2× 6-pdr [221], 8×MG [8,400]","14/12/6 mm","33 t","150 hp (112 kW)","5.1-5.4 hp/t","4 km/h (2.5 mph)","63 km (39 mi)"
"Female","UK","1918","432","8 (+14infantry[c])","10×MG [16,800]","14/12/6 mm","32 t","150 hp (112 kW)","5.1-5.4 hp/t","4 km/h (2.5 mph)","63 km (39 mi)"
"Medium Mark A Whippet , URL: /wiki/Whippet_(tank)
","UK","1918","200","3-4","Hotchkiss Mk I machine gun , URL: /wiki/Hotchkiss_M1909_Ben%C3%A9t%E2%80%93Merci%C3%A9_machine_gun
","14/14/5 mm","14 t","Petrol 2×45 hp (34 kW)","6.4 hp/t","13 km/h (8.1 mph)","64 km/h (40 mph)"
"Schneider CA1 , URL: /wiki/Schneider_CA1
","France","1917","400","6","Hotchkiss Mle 1914 machine gun , URL: /wiki/Hotchkiss_Mle_1914_machine_gun
","11.5/11.5/5.5 mm","13.5 t","60 hp (45 kW)","","8 km/h (5.0 mph)","48 km (30 mi)"
"Schneider CA1 , URL: /wiki/Schneider_CA1
","France","1917","400","6","Hotchkiss Mle 1914 machine gun , URL: /wiki/Hotchkiss_Mle_1914_machine_gun
","24/17/5.5 mm","14.6 t","60 hp (45 kW)","","8 km/h (5.0 mph)","75 km (47 mi)"
"Saint-Chamond , URL: /wiki/St_Chamond_(tank)
","France","1917","165","8","75mm Saint-Chamond-Mondragón , URL: /wiki/Saint-Chamond-Mondrag%C3%B3n
","11.5/17/5.5 mm","22 t","90 hp (67 kW) petrol-electric transmission","4.1 hp/t","12 km/h (7.5 mph)","60 km (37 mi)"
"Saint-Chamond , URL: /wiki/St_Chamond_(tank)
","France","1917","235","8","Canon de 75 modèle 1897 , URL: /wiki/Canon_de_75_mod%C3%A8le_1897
","11.5+8/17/5.5 mm","24 t","90 hp (67 kW) petrol-electric transmission","4.1 hp/t","12 km/h (7.5 mph)","60 km (37 mi)"
"Renault FT , URL: /wiki/Renault_FT
","France","1918","3,694[d]","2","7.92 mm Mle 1914 machine gun [4,800]","16/8/6 mm","6.5 t","35 hp (26 kW)","10.7 hp/t","20 km/h (12 mph)","60 km (37 mi)"
"Renault FT , URL: /wiki/Renault_FT
","France","1918","3,694[d]","2","Puteaux SA 18 , URL: /wiki/Puteaux_SA_18
","16/8/6 mm","6.7 t","35 hp (26 kW)","10.7 hp/t","20 km/h (12 mph)","60 km (37 mi)"
"A7V , URL: /wiki/A7V
","Germany","1918","20","18","5.7 cm Maxim-Nordenfelt , URL: /wiki/5.7_cm_Maxim-Nordenfelt
MG 08 , URL: /wiki/MG_08
","30/20/10 mm","32 t","2×100 hp (75 kW)","6.25 hp/t","15 km/h (9.3 mph)","80 km (50 mi)"
