"Name","Nearest city","Skiable area (acres)","Top elevation (feet)","Base elevation (feet)","Vertical (feet)","Runs","Lifts","Snowfall (in/year)","Date Statistics Updated"
"Arapahoe Basin , URL: /wiki/Arapahoe_Basin
","Dillon , URL: /wiki/Dillon,_Colorado
","1,428","13,050","10,520","2,530","147","9","314","March 2020[1]"
"Aspen Highlands , URL: /wiki/Aspen_Highlands
","Aspen , URL: /wiki/Aspen,_Colorado
","1,040","11,675","8,040","3,635","117","5","300","March 2020[2]"
"Aspen Mountain , URL: /wiki/Aspen_Mountain_(ski_area)
","Aspen , URL: /wiki/Aspen,_Colorado
","675","11,212","7,945","3,267","76","8","300","March 2020[3]"
"Beaver Creek , URL: /wiki/Beaver_Creek_Resort
","Beaver Creek , URL: /wiki/Beaver_Creek,_Colorado
","1,832","11,440","8,100","3,340","150","23","325","March 2020[4]"
"Breckenridge , URL: /wiki/Breckenridge_Ski_Resort
","Breckenridge , URL: /wiki/Breckenridge,_Colorado
","2,908","12,998","9,600","3,398","187","34","282","March 2020[5]"
"Buttermilk , URL: /wiki/Buttermilk_(ski_area)
","Aspen , URL: /wiki/Aspen,_Colorado
","470","9,900","7,870","2,030","44","8","200","March 2020[6]"
"Ski Cooper , URL: /wiki/Ski_Cooper
","Leadville , URL: /wiki/Leadville,_Colorado
","470","11,700","10,500","1,200","60","5","260","Jan 2020"
"Copper Mountain , URL: /wiki/Copper_Mountain_(Colorado)
","Copper Mountain , URL: /wiki/Copper_Mountain,_Colorado
","2,490","12,441","9,712","2,738","140","24","278","March 2020[7]"
"Crested Butte , URL: /wiki/Crested_Butte_Mountain_Resort
","Crested Butte , URL: /wiki/Crested_Butte
","1,547","12,162","9,375","2,787","121","15","253","March 2020[8]"
"Echo Mountain , URL: /wiki/Echo_Mountain_Park
","Evergreen , URL: /wiki/Evergreen,_Colorado
","60","10,650","10,050","600","13","3","275",""
"Eldora , URL: /wiki/Eldora_Mountain_Resort
","Nederland , URL: /wiki/Nederland,_Colorado
","680","10,600","9,200","1,400","63","10","225","March 2020[9]"
"Granby Ranch","Granby , URL: /wiki/Granby,_Colorado
","406","9,202","8,202","1,000","35","6","200",""
"Hesperus , URL: /wiki/Hesperus_Ski_Area
","Hesperus , URL: /wiki/Hesperus,_Colorado
","60","8,880","8,100","700","13","2","150",""
"Howelsen , URL: /wiki/Howelsen_Hill_Ski_Area
","Steamboat Springs , URL: /wiki/Steamboat_Springs,_Colorado
","50","7,136","6,696","440","17","1","170",""
"Kendall , URL: /wiki/Kendall_Mountain_Ski_Area
","Silverton , URL: /wiki/Silverton,_Colorado
","16","9,540","9,300","240","11","1","200",""
"Keystone , URL: /wiki/Keystone_Resort
","Keystone , URL: /wiki/Keystone,_Colorado
","3,148","12,408","9,280","3,128","128","20","235","March 2020[10]"
"Loveland , URL: /wiki/Loveland_Ski_Area
","Dillon , URL: /wiki/Dillon,_Colorado
","1,800","13,010","10,800","2,210","94","11","422","December 2020[11]"
"Monarch , URL: /wiki/Monarch_Ski_Area
","Salida , URL: /wiki/Salida,_Colorado
","800","11,960","10,790","1,170","54","5","284",""
"Powderhorn , URL: /wiki/Powderhorn_Resort
","Grand Junction , URL: /wiki/Grand_Junction,_Colorado
","1,600","9,850","8,200","1,650","50","4","250","December 2020[12]"
"Purgatory , URL: /wiki/Purgatory_Resort
","Durango , URL: /wiki/Durango,_Colorado
","1,650","10,822","8,793","2,029","105","12","260","December 2020[13]"
"Silverton Mountain , URL: /wiki/Silverton_Mountain
","Silverton , URL: /wiki/Silverton,_Colorado
","1,819","13,487","10,400","3,087","69","1","400","December 2020[14]"
"Snowmass , URL: /wiki/Snowmass_(ski_area)
","Snowmass Village , URL: /wiki/Snowmass_Village,_Colorado
","3,339","12,510","8,104","4,406","98","21","295","March 2020[15]"
"Steamboat , URL: /wiki/Steamboat_Ski_Resort
","Steamboat Springs , URL: /wiki/Steamboat_Springs,_Colorado
","2,965","10,568","6,900","3,668","169","18","368","December 2020[16]"
"Sunlight , URL: /wiki/Sunlight_Ski_Area
","Glenwood Springs , URL: /wiki/Glenwood_Springs,_Colorado
","680","9,895","7,885","2,010","67","4","252","December 2020[17]"
"Telluride , URL: /wiki/Telluride_Ski_Resort
","Telluride , URL: /wiki/Telluride,_Colorado
","2,000","13,150","8,725","3,790","148","17","276","March 2020[18]"
"Vail , URL: /wiki/Vail_Ski_Resort
","Vail , URL: /wiki/Vail,_Colorado
","5,317","11,570","8,120","3,450","195","31","354","March 2020[19]"
"Winter Park , URL: /wiki/Winter_Park_Resort
","Winter Park , URL: /wiki/Winter_Park,_Colorado
","3,081","12,060","9,000","3,060","166","23","347","March 2020[20]"
"Wolf Creek , URL: /wiki/Wolf_Creek_ski_area
","Pagosa Springs , URL: /wiki/Pagosa_Springs,_Colorado
","1,600","11,904","10,300","1,604","133","9","430","February 2021[21]"
