"Name","Developer / Publisher","Current version","Initial release date","Latest release date","License , URL: /wiki/Software_license
","Cost","Website / documentation"
"Acronis OS Selector , URL: /wiki/Acronis_Disk_Director_Suite
","Acronis International GmbH , URL: /wiki/Acronis
","?","?","?","Proprietary , URL: /wiki/Proprietary_software
","$49.95 (personal use) $79.99 (commercial, per seat) $299.99 (server)","Official website"
"AiR-BOOT","Martin Kiewitz Ben Rietbroek","?","?","?","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License#Version_3
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"AKernelLoader","?","?","?","?","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"Barebox , URL: /wiki/Barebox
","Sascha Hauer the barebox community","?","?","?","GPL-2.0-only , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"BOOTBOOT","bzt","?","2017","Aug, 2021","MIT , URL: /wiki/MIT_licence
","No cost , URL: /wiki/Gratis_versus_libre
","Source repository Official website"
"BootIt Bare Metal (formerly BootIt Next Generation)","TeraByte Unlimited","?","?","?","Proprietary , URL: /wiki/Proprietary_software
","$39.95","Official website"
"BootKey","?","?","?","?","Proprietary , URL: /wiki/Proprietary_software
","?","?"
"BootManager , URL: /wiki/Bootmanager
","?","?","?","?","MIT , URL: /wiki/MIT_License
","No cost , URL: /wiki/Gratis_versus_libre
","?"
"BootX (Apple) , URL: /wiki/BootX_(Apple)
","Apple Inc. , URL: /wiki/Apple_Inc.
","?","?","?","Proprietary , URL: /wiki/Proprietary_software
","bundled with macOS","?"
"BootX (Linux) , URL: /wiki/BootX_(Linux)
","Benjamin Herrenschmidt","?","?","?","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","?"
"Clover (fork of rEFIt)","?","?","?","?","GPLv2 , URL: /wiki/GNU_General_Public_License#Version_2
BSD-2-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
","Source repository"
"Darwin Boot Loader","Apple Inc. , URL: /wiki/Apple_Inc.
","?","?","?","APSL-2.0 , URL: /wiki/Apple_Public_Source_License
","No cost , URL: /wiki/Gratis_versus_libre
","Official Website (Archived)"
"Das U-Boot , URL: /wiki/Das_U-Boot
","DENX Software Engineering","
URL: https://www.wikidata.org/wiki/Q1170607?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","","
URL: https://www.wikidata.org/wiki/Q1170607?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"FreeBSD loader","FreeBSD , URL: /wiki/FreeBSD
","","","","BSD license , URL: /wiki/BSD_licenses
","No cost",""
"GAG","Raster Software","
URL: https://www.wikidata.org/wiki/Q105328758?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","?","
URL: https://www.wikidata.org/wiki/Q105328758?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"GRUB Legacy , URL: /wiki/GNU_GRUB
","GNU Project , URL: /wiki/GNU_Project
","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
",""
"GNU GRUB , URL: /wiki/GNU_GRUB
","GNU Project","
URL: https://www.wikidata.org/wiki/Q212885?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","","8 June 2021 (8 June 2021)","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License#Version_3
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"Grub2Win , URL: /wiki/GNU_GRUB#Variants
","","","","","GPLv3 , URL: /wiki/GNU_General_Public_License#Version_3
","",""
"GRUB4DOS , URL: /wiki/GNU_GRUB#Variants
","","","","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License#Version_2
","","Official website"
"Gujin","","","","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License#Version_2
","","Official website"
"systemd-boot / Gummiboot , URL: /wiki/Gummiboot_(software)
","","","","","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","",""
"iBoot , URL: /wiki/IBoot_(Bootloader)
","Apple .Inc , URL: /wiki/Apple_Inc.
","","","","Proprietary , URL: /wiki/Proprietary_software
","",""
"LILO , URL: /wiki/LILO_(boot_loader)
","","","","","BSD-3-Clause , URL: /wiki/BSD_licenses
","",""
"Limine","mintsuki","2.73","6 April 2020","15 December 2021","BSD-2-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"loadlin , URL: /wiki/Loadlin
","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"MasterBooter","","","","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Source repository"
"NTLDR , URL: /wiki/NTLDR
","Microsoft , URL: /wiki/Microsoft
","","27 July 1993 (Windows NT 3.1)","","Proprietary , URL: /wiki/Proprietary_software
","bundled with Windows",""
"OpenCore","Acidanthera","","4 May 2019","","BSD-3-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
","Source repository"
"OSL2000 Boot Manager","","","","","Proprietary , URL: /wiki/Proprietary_software
","",""
"PLoP Boot Manager","","","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"RedBoot , URL: /wiki/RedBoot
","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"rEFInd , URL: /wiki/REFInd
","","","","","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License#Version_3
BSD-3-Clause , URL: /wiki/BSD_licenses
","",""
"rEFIt , URL: /wiki/REFIt
","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
BSD-3-Clause , URL: /wiki/BSD_licenses
","",""
"Smart Boot Manager","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"SPFdisk","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"SYSLINUX , URL: /wiki/SYSLINUX
","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"TianoCore EDK II , URL: /wiki/TianoCore_EDK_II
","","","","","BSD-2-Clause , URL: /wiki/BSD_licenses
","",""
"Windows Boot Manager , URL: /wiki/Windows_Boot_Manager
","Microsoft , URL: /wiki/Microsoft
","","30 January 2007 (Windows Vista)","","Proprietary , URL: /wiki/Proprietary_software
","bundled with Windows",""
"XOSL , URL: /wiki/XOSL
","","","","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License#Version_2
","",""
"FreeLoader , URL: /w/index.php?title=FreeLoader&action=edit&redlink=1
","","","","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Documentation"
"wolfBoot","wolfSSL , URL: /wiki/WolfSSL
","v1.10","12/04/2018","01/10/2022","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License#Version_2
","No cost , URL: /wiki/Gratis_versus_libre
","Official website"
"Name","Developer / Publisher","Current version","Initial release date","Latest release date","License , URL: /wiki/Software_license
","Cost","Website / documentation"
